prov_name,iec_id,dist_name,polling_centers,male_stations,female_stations,tefa,anpo,aynso,all_observers,hasfefa,teams,agcho_dist_id
Kunar,1514,NOOR GAL,6,15,10,0,0,0,0,1,FEFA,1314
Kunar,1515,NARI,6,17,8,0,0,0,0,1,FEFA,1315
Nooristan,1601,PAROON,8,16,9,14,20,0,34,1,"TEFA, ANPO, FEFA",1401
Nooristan,1607,MANDOL,6,6,6,6,0,0,6,0,TEFA,1402
Nooristan,1605,DUAB,6,7,6,0,4,0,4,1,"ANPO, FEFA",1403
Nooristan,1604,NOOR GRAM,9,13,9,11,4,0,15,1,"TEFA, ANPO, FEFA",1404
Nooristan,1603,WAMA,7,16,13,14,4,0,18,1,"TEFA, ANPO, FEFA",1405
Nooristan,1602,WAYGAL,4,10,9,9,4,0,13,0,"TEFA, ANPO",1406
Nooristan,1606,KAMDESH,3,6,4,5,0,0,5,0,TEFA,1407
Nooristan,1608,BARG-E-MATAL,7,16,10,13,0,0,13,0,TEFA,1408
Badakhshan,1701,FAIZ ABAD,25,45,28,20,0,0,20,1,"TEFA, FEFA",1501
Badakhshan,1704,YAFTAL-E-SUFLA,17,33,21,0,0,0,0,1,FEFA,1502
Badakhshan,1702,ARGO,27,57,36,18,0,0,18,1,"TEFA, FEFA",1503
Badakhshan,1703,ARGHANJ KHWA,3,5,3,3,0,0,3,1,"TEFA, FEFA",1504
Badakhshan,1708,KOHISTAN,8,10,8,0,0,0,0,1,FEFA,1505
Badakhshan,1714,RAGISTAN,7,15,12,0,0,0,0,1,FEFA,1506
Badakhshan,1709,YAWAN,13,19,13,0,0,0,0,1,FEFA,1507
Badakhshan,1713,SHAHR-E-BUZURG,16,23,17,0,0,0,0,1,FEFA,1508
Badakhshan,1711,TASHKAN,12,14,12,12,0,0,12,1,"TEFA, FEFA",1509
Badakhshan,1707,DARAYIM,13,27,15,18,0,0,18,1,"TEFA, FEFA",1510
Badakhshan,1705,KHASH,6,12,11,10,0,0,10,1,"TEFA, FEFA",1511
Badakhshan,1706,BAHARAK,11,13,11,11,0,0,11,1,"TEFA, FEFA",1512
Badakhshan,1712,SHUHADA,8,11,8,0,0,0,0,1,FEFA,1513
Badakhshan,1719,SHIGHNAN,9,18,10,0,0,0,0,1,FEFA,1514
Badakhshan,1727,DARWAZ-E-BAL,8,16,8,0,0,0,0,1,FEFA,1515
Badakhshan,1721,KUFAB,7,13,9,0,0,0,0,1,FEFA,1516
Badakhshan,1720,KHWAHAN,8,12,9,0,0,0,0,1,FEFA,1517
Badakhshan,1715,KISHM,19,35,25,18,0,0,18,0,TEFA,1518
Badakhshan,1717,TAGAB,6,6,6,0,0,0,0,0,,1519
Badakhshan,1718,YAMGAN,10,19,12,0,0,0,0,1,FEFA,1520
Badakhshan,1710,JURM,9,14,11,0,0,0,0,0,,1521
Badakhshan,1716,WARDOOJ,9,15,11,0,0,0,0,0,,1522
Badakhshan,1723,ESHKASHIM,8,11,8,0,0,0,0,1,FEFA,1523
Badakhshan,1722,DARWAZ-E-PAY,7,9,8,0,0,0,0,1,FEFA,1524
Badakhshan,1724,SHIKI,7,9,8,0,0,0,0,1,FEFA,1525
Badakhshan,1726,KIRAN WA MENJAN,5,7,6,0,0,0,0,1,FEFA,1526
Badakhshan,1725,ZEBAK,4,4,4,0,0,0,0,1,FEFA,1527
Badakhshan,1728,WAKHAN,10,11,10,0,0,0,0,1,FEFA,1528
Takhar,1801,TALUQAN,38,94,57,16,0,0,16,1,"TEFA, FEFA",1601
Takhar,1802,HAZAR SUMUCH,6,8,6,5,0,0,5,1,"TEFA, FEFA",1602
Takhar,1803,BAHARAK,9,21,17,16,0,0,16,1,"TEFA, FEFA",1603
Takhar,1804,BANGI,5,16,11,0,0,0,0,1,FEFA,1604
Takhar,1805,CHAL,6,12,10,0,0,0,0,1,FEFA,1605
Takhar,1806,NAMAK AB,5,10,7,0,0,0,0,1,FEFA,1606
Takhar,1808,FARKHAR,11,23,14,16,0,0,16,1,"TEFA, FEFA",1607
Takhar,1807,KALAFGAN,10,23,14,16,0,0,16,1,"TEFA, FEFA",1608
Takhar,1810,RUSTAQ,36,83,50,16,0,0,16,1,"TEFA, FEFA",1609
Takhar,1816,CHAH AB,16,32,28,0,0,0,0,1,FEFA,1610
Takhar,1817,YANGI QALA,9,18,15,0,0,0,0,1,FEFA,1611
Takhar,1814,KHWAJA BAHA WUDDIN,7,13,7,0,0,0,0,1,FEFA,1612
Takhar,1812,DASHT-E-QALA,10,20,13,15,0,0,15,1,"TEFA, FEFA",1613
Takhar,1809,KHWAJA GHAR,14,33,21,16,0,0,16,1,"TEFA, FEFA",1614
Takhar,1811,ESHKAMESH,14,28,21,0,0,0,0,1,FEFA,1615
Takhar,1813,WARSAJ,10,22,14,16,0,0,16,1,"TEFA, FEFA",1616
Takhar,1815,DARQAD,9,15,9,0,0,0,0,1,FEFA,1617
Kunduz,1901,KUNDUZ,60,139,116,20,0,0,20,1,"TEFA, FEFA",1701
Kunduz,1905,HAZRAT-E-IMAM SAHEB,46,104,59,20,0,0,20,1,"TEFA, FEFA",1702
Kunduz,1907,QALA-E-ZAL,19,33,20,20,0,0,20,1,"TEFA, FEFA",1703
Kunduz,1902,CHAR DARA,16,33,20,0,0,0,0,1,FEFA,1704
Kunduz,1903,ALI ABAD,16,21,16,16,0,0,16,1,"TEFA, FEFA",1705
Kunduz,1904,KHAN ABAD,41,53,42,20,0,0,20,1,"TEFA, FEFA",1706
Kunduz,1906,DASHT-E-ARCHI,21,38,23,15,0,0,15,1,"TEFA, FEFA",1707
Balkh,2101,MAZAR-E-SHARIF,48,138,105,20,0,0,20,1,"TEFA, FEFA",1801
Balkh,2102,NAHR-E-SHAHI,9,24,15,17,0,0,17,1,"TEFA, FEFA",1802
Balkh,2112,SHORTEPA,10,19,10,14,0,0,14,1,"TEFA, FEFA",1803
Balkh,2109,DAWLAT ABAD,29,42,31,20,0,0,20,1,"TEFA, FEFA",1804
Balkh,2106,BALKH,30,54,36,20,0,0,20,1,"TEFA, FEFA",1805
Balkh,2103,DEHDADI,14,28,21,20,0,0,20,1,"TEFA, FEFA",1806
Balkh,2104,CHAR KENT,13,19,13,16,0,0,16,1,"TEFA, FEFA",1807
Balkh,2105,MARMUL,5,9,5,6,0,0,6,1,"TEFA, FEFA",1808
Balkh,2110,KHULM,22,35,28,20,0,0,20,1,"TEFA, FEFA",1809
Balkh,2113,KALDAR,9,13,9,10,0,0,10,1,"TEFA, FEFA",1810
Balkh,2111,CHAR BOLAK,32,43,33,20,0,0,20,1,"TEFA, FEFA",1812
Balkh,2108,CHIMTAL,27,49,34,20,0,0,20,0,TEFA,1813
Balkh,2107,SHOLGARA,37,60,39,20,0,0,20,1,"TEFA, FEFA",1814
Balkh,2114,KISHINDEH,16,25,17,20,0,0,20,1,"TEFA, FEFA",1815
Balkh,2115,ZARI,18,26,22,20,0,0,20,1,"TEFA, FEFA",1816
Samangan,2001,AYBAK,21,45,30,20,0,0,20,1,"TEFA, FEFA",1901
Samangan,2002,HAZRAT-E-SULTAN,11,16,13,13,0,0,13,1,"TEFA, FEFA",1902
Samangan,2004,FEROZ NAKHCHI,3,4,3,3,0,0,3,1,"TEFA, FEFA",1903
Samangan,2006,DARA-E-SOOF-E-PAYAN,20,40,29,15,0,0,15,1,"TEFA, FEFA",1904
Samangan,2007,DARA-E-SOOF-E-BALLA,17,30,22,15,0,0,15,1,"TEFA, FEFA",1905
Samangan,2003,KHURAM WA SABAGH,13,21,14,15,0,0,15,1,"TEFA, FEFA",1906
Samangan,2005,ROI-DO-AB,16,31,21,0,0,0,0,1,FEFA,1907
Sar-e-pul,2201,SAR-E-PUL,23,59,41,15,0,0,15,1,"TEFA, FEFA",2001
Sar-e-pul,2202,SAYAD,12,20,16,15,0,0,15,1,"TEFA, FEFA",2002
Sar-e-pul,2203,KOHISTANAT,15,26,17,15,0,0,15,1,"TEFA, FEFA",2003
Sar-e-pul,2204,SOZMA QALA,12,21,13,15,0,0,15,1,"TEFA, FEFA",2004
Sar-e-pul,2206,GOSFANDI,15,27,19,15,0,0,15,1,"TEFA, FEFA",2005
Sar-e-pul,2207,BALKHAB,14,36,23,0,0,0,0,1,FEFA,2006
Sar-e-pul,2205,SANG CHARAK,20,31,27,15,0,0,15,1,"TEFA, FEFA",2007
Ghor,2301,CHIGHCHERAN,44,111,74,18,0,26,44,1,"TEFA, AYNSO, FEFA",2101
Ghor,2304,CHAR SADA,12,18,15,15,0,0,15,1,"TEFA, FEFA",2102
Ghor,2302,DULEENA,12,17,16,15,0,0,15,1,"TEFA, FEFA",2103
Ghor,2303,DAWLATYAR,14,21,17,13,0,8,21,1,"TEFA, AYNSO, FEFA",2104
Ghor,2306,SHAHRAK,22,28,26,18,0,0,18,1,"TEFA, FEFA",2105
Ghor,2308,TAYWARA,18,30,22,18,0,0,18,1,"TEFA, FEFA",2106
Ghor,2305,PASABAND,15,21,18,18,0,0,18,1,"TEFA, FEFA",2107
Ghor,2307,LAL WA SARJANGAL,41,62,46,18,0,10,28,1,"TEFA, AYNSO, FEFA",2108
Ghor,2309,TULAK,18,34,22,16,0,2,18,1,"TEFA, AYNSO, FEFA",2109
Ghor,2310,SAGHAR,13,20,16,18,0,0,18,1,"TEFA, FEFA",2110
Daykundi,2401,NILI,14,27,19,22,0,0,22,1,"TEFA, FEFA",2201
Daykundi,2404,ISHTERLAI,22,36,23,22,0,0,22,1,"TEFA, FEFA",2202
Daykundi,2405,KHEDIR,23,30,23,22,0,0,22,1,"TEFA, FEFA",2203
Daykundi,2406,GETI,24,47,25,22,0,0,22,1,"TEFA, FEFA",2204
Daykundi,2403,GIZAB,20,23,21,22,0,0,22,1,"TEFA, FEFA",2205
Daykundi,2402,SHAHRISTAN,28,40,29,22,0,0,22,1,"TEFA, FEFA",2206
Daykundi,2408,SANG-E-TAKHT,15,30,16,22,0,0,22,1,"TEFA, FEFA",2207
Daykundi,2409,KEJRAN,19,25,19,22,0,0,22,1,"TEFA, FEFA",2208
Daykundi,2407,MIRAMOR,29,43,30,22,0,0,22,1,"TEFA, FEFA",2209
Urozgan,2501,TIRINKOT,16,40,28,16,20,0,36,1,"TEFA, ANPO, FEFA",2301
Urozgan,2503,CHORA,8,16,8,11,4,0,15,1,"TEFA, ANPO, FEFA",2302
Urozgan,2504,SHAHID-E-HASSAS,6,16,8,11,4,0,15,1,"TEFA, ANPO, FEFA",2303
Urozgan,2502,DEHRAOUD,9,38,13,15,6,0,21,1,"TEFA, ANPO, FEFA",2304
Urozgan,2505,KHAS UROZGAN,6,20,12,0,0,0,0,1,FEFA,2305
Zabul,2601,QALAT,15,45,24,16,16,0,32,1,"TEFA, ANPO, FEFA",2401
Zabul,2605,ARGHANDAB,11,21,12,15,4,0,19,1,"TEFA, ANPO, FEFA",2402
Zabul,2604,MIZAN,5,12,5,8,0,0,8,1,"TEFA, FEFA",2403
Zabul,2602,TARANK WA JALDAK,7,13,4,8,8,0,16,1,"TEFA, ANPO, FEFA",2404
Zabul,2603,SHINKAI,7,14,8,10,4,0,14,1,"TEFA, ANPO, FEFA",2405
Zabul,2606,SHAH JOI,11,34,10,15,4,0,19,1,"TEFA, ANPO, FEFA",2406
Zabul,2611,Kakar,0,0,0,0,0,0,0,1,FEFA,2407
Zabul,2607,DAICHOPAN,3,5,1,0,0,0,0,0,,2408
Zabul,2608,ATGHAR,5,9,5,0,0,0,0,0,,2409
Zabul,2610,SHEMEL ZAYI,10,21,10,15,0,0,15,0,TEFA,2410
Zabul,2609,NAW BAHAR,5,8,5,6,0,0,6,0,TEFA,2411
Paktika,1201,SHARAN,27,36,29,20,20,0,40,1,"TEFA, ANPO, FEFA",2501
Paktika,1202,MATA KHAN,10,18,13,15,4,0,19,1,"TEFA, ANPO, FEFA",2502
Paktika,1203,YOSUF KHEL,7,14,12,13,0,0,13,1,"TEFA, FEFA",2503
Paktika,1205,SAR RAWZA,14,18,15,15,0,0,15,1,"TEFA, FEFA",2504
Paktika,1207,ZARGHUN SHAHR,24,35,28,17,4,0,21,1,"TEFA, ANPO, FEFA",2505
Paktika,1204,YAHYA KHEL,10,16,13,17,0,0,17,1,"TEFA, FEFA",2506
Paktika,1206,OMNA,6,10,5,7,4,0,11,0,"TEFA, ANPO",2507
Paktika,1208,GOMAL,24,36,29,17,0,0,17,1,"TEFA, FEFA",2508
Paktika,1210,SURUBI,16,23,16,17,0,0,17,1,"TEFA, FEFA",2509
Paktika,1211,URGOON,28,35,30,17,0,0,17,1,"TEFA, FEFA",2510
Paktika,1213,NIKA,8,13,11,12,0,0,12,0,TEFA,2511
Paktika,1209,JANI KHEL,15,21,18,17,0,0,17,1,"TEFA, FEFA",2512
Paktika,1217,WAZAKHWAH,11,21,18,0,0,0,0,1,FEFA,2513
Paktika,1218,WOR MAMY,12,21,17,0,0,0,0,0,,2514
Paktika,1214,BARMAL,21,43,25,17,0,0,17,0,TEFA,2515
Paktika,1215,GIYAN,12,20,15,17,0,0,17,0,TEFA,2516
Paktika,1212,ZIRUK,10,13,10,10,4,0,14,1,"TEFA, ANPO, FEFA",2517
Paktika,1216,DILA WA KHUSH,8,18,11,0,0,0,0,1,FEFA,2518
Paktika,1219,TURWO,3,7,5,0,0,0,0,0,,2519
Khost,1401,KHOST,50,98,67,20,32,0,52,1,"TEFA, ANPO, FEFA",2601
Khost,1407,SABARI,5,19,10,0,0,0,0,1,FEFA,2602
Khost,1405,MUSA KHEL,12,24,14,17,0,0,17,1,"TEFA, FEFA",2603
Khost,1406,NADIRSHAH KOT,14,17,14,15,0,0,15,1,"TEFA, FEFA",2604
Khost,1402,MANDUZAY,21,28,21,20,8,0,28,1,"TEFA, ANPO, FEFA",2605
Khost,1404,TANAY,17,36,20,20,12,0,32,1,"TEFA, ANPO, FEFA",2606
Khost,1403,GURBUZ,10,20,10,15,6,0,21,1,"TEFA, ANPO, FEFA",2607
Khost,1408,ALI SHER,14,37,23,20,0,0,20,1,"TEFA, FEFA",2608
Khost,1410,QALANDAR,8,14,8,0,0,0,0,1,FEFA,2609
Khost,1412,SHAMUL,6,8,6,7,0,0,7,1,"TEFA, FEFA",2610
Khost,1411,SPERA,12,16,13,0,0,0,0,0,,2611
