province,district,PC_number,PS_number,Eng-Qutbuddin Hilal,Dr. Abdullah Abdullah,Zalmai Rassoul,Abdul Rahim Wardak,Quayum Karzai,Prof-Abdo Rabe Rasool Sayyaf,Dr. Mohammad Ashraf Ghani Ahmadzai,Mohammad Daoud Sultanzoy,Mohd. Shafiq Gul Agha Sherzai,Mohammad Nadir Naeem,Hedayat Amin Arsala,Total
SAR-E-PUL,Balkh Ab,2207096,4,0,527,63,0,0,0,4,0,0,0,0,594
SAR-E-PUL,Balkh Ab,2207097,1,0,499,19,0,0,0,47,3,29,0,0,597
SAR-E-PUL,Balkh Ab,2207097,2,0,490,11,1,0,0,70,1,7,0,0,580
SAR-E-PUL,Balkh Ab,2207097,3,0,570,9,0,0,0,10,0,1,0,0,590
SAR-E-PUL,Balkh Ab,2207097,4,0,421,17,0,0,0,60,2,12,0,1,513
SAR-E-PUL,Balkh Ab,2207098,1,0,432,117,0,0,1,12,1,17,0,0,580
SAR-E-PUL,Balkh Ab,2207098,2,0,398,41,0,0,0,31,0,4,1,0,475
SAR-E-PUL,Balkh Ab,2207098,3,0,441,126,0,2,0,5,1,21,0,0,596
SAR-E-PUL,Balkh Ab,2207098,4,0,460,107,0,0,0,10,0,13,0,0,590
SAR-E-PUL,Balkh Ab,2207099,1,0,491,55,0,0,0,11,5,18,1,1,582
SAR-E-PUL,Balkh Ab,2207099,2,0,492,52,1,0,0,7,2,22,1,0,577
SAR-E-PUL,Balkh Ab,2207099,3,2,525,39,0,1,0,3,1,13,1,0,585
SAR-E-PUL,Balkh Ab,2207100,1,1,426,143,1,0,0,1,2,18,0,0,592
SAR-E-PUL,Balkh Ab,2207100,2,0,441,95,0,0,0,1,2,25,0,0,564
SAR-E-PUL,Balkh Ab,2207100,3,1,381,173,0,0,0,9,3,23,1,0,591
SAR-E-PUL,Balkh Ab,2207100,4,1,475,76,1,0,0,2,4,27,0,0,586
SAMANGAN,Aybak,2001001,1,3,380,2,0,0,26,84,14,1,0,2,512
SAMANGAN,Aybak,2001001,2,6,320,6,0,0,14,13,16,3,0,5,383
SAMANGAN,Aybak,2001002,1,8,409,23,2,1,10,111,4,0,1,2,571
SAMANGAN,Aybak,2001002,2,2,419,17,2,2,3,48,10,3,4,5,515
SAMANGAN,Aybak,2001003,1,2,37,13,1,11,14,478,1,5,7,1,570
SAMANGAN,Aybak,2001003,2,12,37,22,1,2,14,466,2,0,9,6,571
SAMANGAN,Aybak,2001003,3,2,21,8,1,4,26,507,0,0,3,1,573
SAMANGAN,Aybak,2001003,4,1,23,21,0,6,5,392,1,0,1,0,450
SAMANGAN,Aybak,2001004,1,2,52,5,0,0,19,410,0,0,0,2,490
SAMANGAN,Aybak,2001004,2,2,66,3,2,3,20,431,0,0,1,1,529
SAMANGAN,Aybak,2001004,3,3,78,8,3,13,12,382,6,4,19,2,530
SAMANGAN,Aybak,2001005,1,13,136,35,4,5,8,365,2,5,2,2,577
SAMANGAN,Aybak,2001005,2,20,91,37,2,2,8,412,4,1,2,2,581
SAMANGAN,Aybak,2001005,3,2,181,4,1,2,3,347,4,0,3,4,551
SAMANGAN,Aybak,2001005,4,1,16,0,0,5,2,292,0,0,0,4,320
SAMANGAN,Aybak,2001006,1,7,192,5,0,4,12,336,2,0,2,4,564
SAMANGAN,Aybak,2001006,2,2,213,6,1,6,17,303,5,0,5,2,560
SAMANGAN,Aybak,2001006,3,5,204,11,2,0,14,326,1,1,1,1,566
SAMANGAN,Aybak,2001006,4,1,217,10,0,4,7,300,7,2,3,2,553
SAMANGAN,Aybak,2001006,5,3,143,1,2,4,2,139,2,0,2,2,300
SAMANGAN,Aybak,2001007,1,1,351,11,3,5,3,160,4,2,4,3,547
SAMANGAN,Aybak,2001007,2,4,335,20,0,0,3,181,5,0,0,3,551
SAMANGAN,Aybak,2001007,3,1,344,7,1,1,6,172,3,1,8,2,546
SAMANGAN,Aybak,2001007,4,2,325,9,1,6,1,213,5,0,5,2,569
SAMANGAN,Aybak,2001007,5,0,333,23,0,2,6,199,6,1,3,0,573
SAMANGAN,Aybak,2001007,6,3,382,16,1,3,7,156,0,1,2,1,572
SAMANGAN,Aybak,2001007,7,2,337,10,0,3,6,173,6,0,0,1,538
SAMANGAN,Aybak,2001007,8,2,305,8,4,2,9,204,12,1,8,3,558
SAMANGAN,Aybak,2001008,1,7,400,18,0,3,13,124,5,1,0,3,574
SAMANGAN,Aybak,2001008,2,7,392,9,1,2,15,148,3,0,4,2,583
SAMANGAN,Aybak,2001008,3,6,359,23,1,5,10,147,2,4,2,2,561
SAMANGAN,Aybak,2001008,4,6,375,7,1,4,11,150,4,1,1,4,564
SAMANGAN,Aybak,2001008,5,5,378,18,1,0,15,156,2,1,2,0,578
SAMANGAN,Aybak,2001008,6,4,350,12,0,0,22,169,4,0,1,2,564
SAMANGAN,Aybak,2001008,7,7,367,21,0,0,15,155,1,0,0,2,568
SAMANGAN,Aybak,2001008,8,4,410,14,1,1,11,139,3,0,0,0,583
SAMANGAN,Aybak,2001008,9,8,165,20,0,0,11,106,1,0,1,2,314
SAMANGAN,Aybak,2001009,1,2,267,13,2,2,17,276,2,0,2,1,584
SAMANGAN,Aybak,2001009,2,5,238,11,2,3,8,304,5,2,1,1,580
SAMANGAN,Aybak,2001009,3,1,258,8,1,1,17,279,2,0,2,2,571
SAMANGAN,Aybak,2001009,4,1,239,12,4,3,9,269,8,1,4,3,553
SAMANGAN,Aybak,2001009,5,1,217,5,1,0,5,316,1,5,3,5,559
SAMANGAN,Aybak,2001010,1,3,329,11,2,3,11,218,2,1,2,3,585
SAMANGAN,Aybak,2001010,2,4,319,21,0,0,7,208,4,2,0,1,566
