Province,District,PollingCenter,provId,distId,PC Code,psId,TotalVoters,TotalMale,TotalFemale,Kochi,Gender,PS #,voters
KABUL,Nahia 01,Takya Khanahh Jafarya,01,010101,0101015,0101015-03,3270,2347,923,2,M,03,400
KABUL,Nahia 01,Takya Khanahh Jafarya,01,010101,0101015,0101015-04,3270,2347,923,2,M,04,400
KABUL,Nahia 01,Takya Khanahh Jafarya,01,010101,0101015,0101015-05,3270,2347,923,2,M,05,374
KABUL,Nahia 01,Takya Khanahh Jafarya,01,010101,0101015,0101015-06,3270,2347,923,2,M,06,373
KABUL,Nahia 01,Takya Khanahh Jafarya,01,010101,0101015,0101015-07,3270,2347,923,2,F,07,400
KABUL,Nahia 01,Takya Khanahh Jafarya,01,010101,0101015,0101015-08,3270,2347,923,2,F,08,262
KABUL,Nahia 01,Takya Khanahh Jafarya,01,010101,0101015,0101015-09,3270,2347,923,2,F,09,261
KABUL,Nahia 01,Imam Baqer Mosque,01,010101,0101016,0101016-01,1669,1058,611,0,M,01,400
KABUL,Nahia 01,Imam Baqer Mosque,01,010101,0101016,0101016-02,1669,1058,611,0,M,02,329
KABUL,Nahia 01,Imam Baqer Mosque,01,010101,0101016,0101016-03,1669,1058,611,0,M,03,329
KABUL,Nahia 01,Imam Baqer Mosque,01,010101,0101016,0101016-04,1669,1058,611,0,F,04,306
KABUL,Nahia 01,Imam Baqer Mosque,01,010101,0101016,0101016-05,1669,1058,611,0,F,05,305
KABUL,Nahia 02,Qari Abdullah School,01,010102,0101017,0101017-01,544,348,196,0,M,01,348
KABUL,Nahia 02,Qari Abdullah School,01,010102,0101017,0101017-02,544,348,196,0,F,02,196
KABUL,Nahia 02,Hazrat Nabawi Jame Mosque,01,010102,0101018,0101018-01,2063,1491,572,3,M,01,400
KABUL,Nahia 02,Hazrat Nabawi Jame Mosque,01,010102,0101018,0101018-02,2063,1491,572,3,M,02,400
KABUL,Nahia 02,Hazrat Nabawi Jame Mosque,01,010102,0101018,0101018-03,2063,1491,572,3,M,03,346
KABUL,Nahia 02,Hazrat Nabawi Jame Mosque,01,010102,0101018,0101018-04,2063,1491,572,3,M,04,345
KABUL,Nahia 02,Hazrat Nabawi Jame Mosque,01,010102,0101018,0101018-05,2063,1491,572,3,F,05,286
KABUL,Nahia 02,Hazrat Nabawi Jame Mosque,01,010102,0101018,0101018-06,2063,1491,572,3,F,06,286
KABUL,Nahia 02,Ansari High School,01,010102,0101019,0101019-01,3611,2461,1150,1,M,01,400
KABUL,Nahia 02,Ansari High School,01,010102,0101019,0101019-02,3611,2461,1150,1,M,02,400
