provId,id,name,totalVoters,geoId
12,1210,SURUBI,16532,1210
12,1211,URGOON,22134,1211
12,1212,ZIRUK,9934,1212
12,1213,NIKA,6963,1213
12,1214,BARMAL,10161,1214
12,1216,DILA WA KHUSHAMAND,5754,1216
12,1217,WAZAKHWAH,11322,1217
12,1218,WOR MAMAY,13184,1218
12,1219,TURWO,7919,1219
13,1301,PROVINCIAL CAPITAL OF PAKTYA ( GARDEZ ),52483,1301
13,1302,AHMADABA,27756,1302
13,1303,ZURMAT,34543,1303
13,1304,SHWAK,8757,1304
13,1305,WUZA JADRAN,19233,1305
13,1306,SAYYID KARAM,22522,1306
13,1307,JAJI,60136,1307
13,1308,LAJA AHMAD KHEL,25700,1308
13,1309,JANI KHEL,22532,1309
13,1310,SAMKANI,35231,1310
13,1311,DAND PATAN,28685,1311
13,1312,LAJA MANGAL,19631,1312
13,1313,MIRZAKA,20359,1313
13,1314,GARDA SIRAY,9272,1314
13,1315,ROHANI BABA,13969,1315
14,1401,PROVINCIAL CAPITAL OF KHOST ( KHOST ),73729,1401
14,1402,MANDUZAY (ESMAYEL KHEL),19703,1402
14,1403,GURBUZ,14985,1403
14,1404,TANAY,23350,1404
14,1405,MUSA KHEL,15052,1405
14,1406,NADIRSHAH KOT,9312,1406
14,1407,SABARI (YAQUBI),23797,1407
14,1408,ALI SHER,18569,1408
14,1409,BAAK,14666,1409
14,1410,QALANDAR,7682,1410
14,1411,SPERA,11655,1411
14,1412,SHAMUL,6790,1412
14,1413,JAJI MAIDAN,18826,1413
15,1501,PROVINCIAL CAPITAL OF KUNARHA ( ASAD ABAD ),23402,1501
15,1502,MARA WARA,11507,1502
15,1503,WATAPOOR,5930,1503
15,1504,NARANG WA BADIL,11078,1504
15,1505,SAR KANI,17295,1505
15,1506,SHIGAL WA SHELTAN,15106,1506
15,1507,DARA-E-PECH,17636,1507
15,1508,BAR KUNAR,10090,1508
15,1509,SAWKAI,16627,1509
15,1510,KHAS KUNA,17674,1510
15,1511,GHAZI ABAD,3786,1511
15,1512,DANGAM,6791,1512
15,1513,CHAPA DARA,6187,1513
15,1514,NOOR GAL,9200,1514
15,1515,NARI,14925,1515
15,1516,SHELTAN,3646,1516
16,1601,PROVINCIAL CAPITAL OF NOORISTAN ( PAROON ),12113,1601
16,1602,WAYGAL,11199,1602
16,1603,WAMA,16708,1603
16,1604,NOOR GRAM,13545,1604
16,1605,DUAB,11144,1605
16,1606,KAMDESH,10189,1606
16,1607,MANDOL,4879,1607
16,1608,BARG-E-MATAL,11291,1608
17,1701,PROVINCIAL CAPITAL OF BADAKHSHAN ( FAIZ ABAD ),30527,1701
17,1702,ARGO,32995,1702
17,1703,ARGHANJ KHWAH,3795,1703
17,1704,YAFTAL-E-SUFLA,23703,1704
17,1705,KHASH,10432,1705
17,1706,BAHARAK,15846,1706
17,1707,DARAYIM,17977,1707
17,1708,KOHISTAN,3220,1708
17,1709,YAWAN,14529,1709
17,1710,JURM,14891,1710
17,1711,TASHKAN,13205,1711
17,1712,SHUHADA,9714,1712
17,1713,SHAHR-E-BUZURG,15103,1713
17,1714,RAGHISTAN,7867,1714
17,1715,KISHM,40246,1715
17,1717,TAGAB,7196,1717
17,1719,SHIGHNAN,7849,1719
17,1720,KHWAHAN,7245,1720
17,1721,KUFAB,8740,1721
17,1722,DARWAZ-E-PAYIN (MAMAY),8917,1722
17,1723,ESHKASHIM,5588,1723
17,1724,SHIKI,6443,1724
17,1725,ZEBAK,3240,1725
17,1726,KIRAN WA MENJAN,3876,1726
17,1727,DARWAZ-E-BALA (NESAY),7232,1727
17,1728,WAKHAN,4951,1728
18,1801,PROVINCIAL CAPITAL OF TAKHAR ( TALUQAN ),70062,1801
18,1802,HAZAR SUMUCH,7139,1802
18,1803,BAHARAK,14230,1803
18,1804,BANGI,17157,1804
18,1805,CHAL,12647,1805
18,1806,NAMAK AB,6156,1806
18,1807,KALAFGAN,20003,1807
18,1808,FARKHAR,21838,1808
18,1809,KHWAJA GHAR,15621,1809
18,1810,RUSTAQ,47751,1810
18,1811,ESHKAMESH,21517,1811
18,1812,DASHT-E-QALA,5808,1812
18,1813,WARSAJ,16206,1813
18,1814,KHWAJA BAHAWUDDIN,8238,1814
18,1815,DARQAD,1358,1815
18,1816,CHAHAB,24207,1816
18,1817,YANGI QALA,6630,1817
19,1901,PROVINCIAL CAPITAL OF KUNDUZ ( KUNDUZ ),79562,1901
19,1902,CHAR DARAH,6711,1902
19,1903,ALI ABAD,9688,1903
19,1904,KHAN ABAD,23761,1904
19,1905,HAZRATI IMAM SAHIB,50551,1905
19,1906,DASHTI-E-ARCHI,9757,1906
19,1907,QALA-E-ZAL,2656,1907
19,1910,AQTASH,9860,1910
20,2001,PROVINCIAL CAPITAL OF SAMANGAN ( AYBAK ),38427,2001
20,2002,HAZRAT-E-SULTAN,17339,2002
20,2003,KHURAM WA SARBAGH,9807,2003
20,2004,FEROZ NAKHCHEER,6191,2004
20,2005,ROI-DO-AB,19912,2005
20,2006,DARA-E-SOOF-E-PAYIN,19052,2006
20,2007,DARA-E-SOOF-E-PAYIN,30776,2007
21,2102,NAHR-E-SHAHI,28701,2102
21,2103,DEHDADI,28943,2103
21,2104,CHAR KENT,20157,2104
21,2105,MARMUL,9254,2105
21,2106,BALKH,42026,2106
21,2107,SHOLGARA,49114,2107
21,2108,CHIMTAL,19582,2108
21,2109,DAWLAT ABAD,18146,2109
21,2110,KHULM,20311,2110
21,2111,CHAR BOLAK,20705,2111
21,2112,SHORTEPA,9629,2112
21,2113,KALDAR,9212,2113
21,2114,KISHINDEH,21300,2114
21,2115,ZARI,28362,2115
21,210101,PROVINCIAL CAPITAL OF BALKH ( MAZAR-E-SHARIF ),22836,2101
21,210102,PROVINCIAL CAPITAL OF BALKH ( MAZAR-E-SHARIF ),9949,2101
21,210103,PROVINCIAL CAPITAL OF BALKH ( MAZAR-E-SHARIF ),14962,2101
