id,name,distId,provId,distName,voters_total,stations_total,voters_male,stations_male,stations_male-400-count,stations_male-400,stations_male-400-none,station_male-last-a,station_male-last-b,voters_female,stations_female,stations_female-400-count,stations_female-400,stations_female-400-none,station_female-last-a,station_female-last-b
101049,Raabia High School,010104,1,Nahia 04,3202,9,1942,5,3,3X400,2,371,371,1260,4,2,2X400,2,230,230
101050,Haji Ghulam Dastagir Mosque,010104,1,Nahia 04,2319,7,1730,5,3,3X400,2,265,265,589,2,0,,2,295,294
101051,Imam Reza e Ghareeb Mosque,010104,1,Nahia 04,1344,5,810,3,1,1X400,2,205,205,534,2,0,,2,267,267
101052,Mohammad Alam Faizzad High School,010104,1,Nahia 04,2017,6,1450,4,2,2X400,2,325,325,567,2,0,,2,284,283
101053,Jamhoriat High School,010104,1,Nahia 04,870,3,650,2,0,,2,325,325,220,1,0,,1,220,0
101054,Malalai Girls High School,010104,1,Nahia 04,1927,6,1646,5,3,3X400,2,223,223,281,1,0,,1,281,0
101055,Khwaja Abdullah Ansari Mosque,010104,1,Nahia 04,906,3,793,2,0,,2,397,396,113,1,0,,1,113,0
101056,Khwaja Ali Mowafaq Mosque,010104,1,Nahia 04,2403,7,2129,6,4,4X400,2,265,264,274,1,0,,1,274,0
101057,Haji Mohammad Dad Mosque,010104,1,Nahia 04,3532,10,2473,7,5,5X400,2,237,236,1059,3,1,1X400,2,330,329
101058,Naser Khesraw Balkhi Secondary School,010104,1,Nahia 04,1784,6,1297,4,2,2X400,2,249,248,487,2,0,,2,244,243
101059,Ismaelia Jamat Khana,010104,1,Nahia 04,7429,19,4684,12,10,10X400,2,342,342,2745,7,5,5X400,2,373,372
101060,Ustad Misbah High School,010104,1,Nahia 04,3609,10,2380,6,4,4X400,2,390,390,1229,4,2,2X400,2,215,214
101061,Malika Suraya Girls School,010104,1,Nahia 04,7816,20,4377,11,9,9X400,2,389,388,3439,9,7,7X400,2,320,319
101062,Tajwar Sultana Girls School,010104,1,Nahia 04,6094,16,3722,10,8,8X400,2,261,261,2372,6,4,4X400,2,386,386
101063,Mohammad Sediq Farhang School,010104,1,Nahia 04,3241,9,2227,6,4,4X400,2,314,313,1014,3,1,1X400,2,307,307
101064,Deh Keepak Girls School,010104,1,Nahia 04,3088,9,2022,6,4,4X400,2,211,211,1066,3,1,1X400,2,333,333
101065,Fazel Baig Secondary School,010105,1,Nahia 05,3209,9,2469,7,5,5X400,2,235,234,740,2,0,,2,370,370
101066,Shuhadai Fazel Baig Mosque,010105,1,Nahia 05,1683,5,1327,4,2,2X400,2,264,263,356,1,0,,1,356,0
101067,Hazrat Usman Mosque,010105,1,Nahia 05,2697,8,2177,6,4,4X400,2,289,288,520,2,0,,2,260,260
101068,Itefaq Mosque,010105,1,Nahia 05,2068,6,1670,5,3,3X400,2,235,235,398,1,0,,1,398,0
101069,Haji Yaqoub Jame Mosque,010105,1,Nahia 05,2170,6,1576,4,2,2X400,2,388,388,594,2,0,,2,297,297
101070,Naheed Shaheed High School,010105,1,Nahia 05,3837,11,2207,6,4,4X400,2,304,303,1630,5,3,3X400,2,215,215
101071,Mohammad Ismael Hasanzai High School,010105,1,Nahia 05,3742,10,2595,7,5,5X400,2,298,297,1147,3,1,1X400,2,374,373
101072,Mir Ghulam Mohammad Ghubar High Sc,010105,1,Nahia 05,2263,6,1864,5,3,3X400,2,332,332,399,1,0,,1,399,0
101073,Mohammadi Darulhefaz Mosque,010105,1,Nahia 05,2639,8,2123,6,4,4X400,2,262,261,516,2,0,,2,258,258
101074,Wardaki ha Mosque,010105,1,Nahia 05,3749,10,2761,7,5,5X400,2,381,380,988,3,1,1X400,2,294,294
101075,Imam Hussain Mosque,010105,1,Nahia 05,1508,5,998,3,1,1X400,2,299,299,510,2,0,,2,255,255
101076,Speen Kalai Girls High School,010105,1,Nahia 05,2971,8,1855,5,3,3X400,2,328,327,1116,3,1,1X400,2,358,358
101077,Hazrat Shamsul Mashaikh High School,010105,1,Nahia 05,3119,9,2265,6,4,4X400,2,333,332,854,3,1,1X400,2,227,227
101078,Prof. Rasoul Amin High School,010105,1,Nahia 05,1927,6,1328,4,2,2X400,2,264,264,599,2,0,,2,300,299
101079,Polytechnic Mosque,010105,1,Nahia 05,2149,6,1828,5,3,3X400,2,314,314,321,1,0,,1,321,0
101080,Jaghori ha Mosque,010105,1,Nahia 05,3159,9,1824,5,3,3X400,2,312,312,1335,4,2,2X400,2,268,267
101081,Sahib Zaman Mosque,010105,1,Nahia 05,3407,10,2127,6,4,4X400,2,264,263,1280,4,2,2X400,2,240,240
101082,Abu Zar Ghafari High School,010105,1,Nahia 05,6239,17,4009,11,9,9X400,2,205,204,2230,6,4,4X400,2,315,315
101083,Ayub Saber Mosque,010105,1,Nahia 05,6629,18,4967,13,11,11X400,2,284,283,1662,5,3,3X400,2,231,231
101084,Deh e Araban School,010105,1,Nahia 05,2824,8,1671,5,3,3X400,2,236,235,1153,3,1,1X400,2,377,376
101085,Shah e Awlya Mosque,010105,1,Nahia 05,1044,3,705,2,0,,2,353,352,339,1,0,,1,339,0
101086,Hazrat Bilal Mosque,010105,1,Nahia 05,2616,7,2235,6,4,4X400,2,318,317,381,1,0,,1,381,0
101087,Hazrat Mohammad (pbuh) Mosque,010105,1,Nahia 05,3309,9,2303,6,4,4X400,2,352,351,1006,3,1,1X400,2,303,303
101088,Qalla e Kashif High School,010105,1,Nahia 05,8386,22,6435,17,15,15X400,2,218,217,1951,5,3,3X400,2,376,375
101089,Shaheed Mosque,010105,1,Nahia 05,2864,8,2280,6,4,4X400,2,340,340,584,2,0,,2,292,292
101090,Sar Aasyab Girls High School,010106,1,Nahia 06,2209,7,1236,4,2,2X400,2,218,218,973,3,1,1X400,2,287,286
101091,Shah E Welayat Maab Mosque,010106,1,Nahia 06,1975,6,1236,4,2,2X400,2,218,218,739,2,0,,2,370,369
101092,Qalla e Bakhtyar High School,010106,1,Nahia 06,3467,10,2247,6,4,4X400,2,324,323,1220,4,2,2X400,2,210,210
101093,Tuberculosis Institute,010106,1,Nahia 06,1475,4,747,2,0,,2,374,373,728,2,0,,2,364,364
101094,Finance and Accounting Institute (Mali w,010106,1,Nahia 06,2033,6,1444,4,2,2X400,2,322,322,589,2,0,,2,295,294
101095,Jafaria Mosque,010106,1,Nahia 06,2168,6,1154,3,1,1X400,2,377,377,1014,3,1,1X400,2,307,307
101096,Mohammadia Mosque,010106,1,Nahia 06,3168,9,2250,6,4,4X400,2,325,325,918,3,1,1X400,2,259,259
101097,Abdul Ghani Mostaghni High School,010106,1,Nahia 06,1469,5,1055,3,1,1X400,2,328,327,414,2,0,,2,207,207
101098,Markaz Nahia e Shashum (Nahia 6 Cente,010106,1,Nahia 06,672,3,531,2,0,,2,266,265,141,1,0,,1,141,0
101099,Resalat Madrassah,010106,1,Nahia 06,3471,10,1804,5,3,3X400,2,302,302,1667,5,3,3X400,2,234,233
101100,Safed Mosque (White Mosque),010106,1,Nahia 06,4806,13,2330,6,4,4X400,2,365,365,2476,7,5,5X400,2,238,238
101101,Ahmadi Mosque,010106,1,Nahia 06,5818,16,3605,10,8,8X400,2,203,202,2213,6,4,4X400,2,307,306
101102,Wahdat Takya Khanahh,010106,1,Nahia 06,2661,7,1566,4,2,2X400,2,383,383,1095,3,1,1X400,2,348,347
101103,Ummul Baneen High School,010106,1,Nahia 06,3873,11,2066,6,4,4X400,2,233,233,1807,5,3,3X400,2,304,303
101104,Jamia Al Islam Madrassah,010106,1,Nahia 06,1650,5,784,2,0,,2,392,392,866,3,1,1X400,2,233,233
101105,Wali Aser Jame Mosque,010106,1,Nahia 06,2178,6,1195,3,1,1X400,2,398,397,983,3,1,1X400,2,292,291
101106,Mohammad Asef Mael High School,010106,1,Nahia 06,2181,6,1393,4,2,2X400,2,297,296,788,2,0,,2,394,394
101107,Khatemul Anbya Madrassah,010106,1,Nahia 06,2010,6,1212,4,2,2X400,2,206,206,798,2,0,,2,399,399
101108,Gul Khana Secondary School,010106,1,Nahia 06,3455,9,1896,5,3,3X400,2,348,348,1559,4,2,2X400,2,380,379
101109,Hazrat e Rasoul Mosque,010106,1,Nahia 06,1237,4,601,2,0,,2,301,300,636,2,0,,2,318,318
101110,Nabi Akram Mosque,010106,1,Nahia 06,3817,11,2452,7,5,5X400,2,226,226,1365,4,2,2X400,2,283,282
101111,Qayem Aale Mohammad Mosque,010106,1,Nahia 06,3392,10,1774,5,3,3X400,2,287,287,1618,5,3,3X400,2,209,209
101112,Sarwar e Kainat Mosque,010106,1,Nahia 06,1915,5,1144,3,1,1X400,2,372,372,771,2,0,,2,386,385
101113,Chahar Qalla High School,010106,1,Nahia 06,4462,13,2843,8,6,6X400,2,222,221,1619,5,3,3X400,2,210,209
101114,Baqer ul Uloom Madrassah,010106,1,Nahia 06,3583,10,2720,7,5,5X400,2,360,360,863,3,1,1X400,2,232,231
101115,Salman e Farsi Mosque,010106,1,Nahia 06,5286,14,2372,6,4,4X400,2,386,386,2914,8,6,6X400,2,257,257
101116,Safiullah Afzali High School,010106,1,Nahia 06,1392,5,955,3,1,1X400,2,278,277,437,2,0,,2,219,218
101117,Lais Bin e Qais Mosque,010107,1,Nahia 07,423,2,295,1,0,,1,295,0,128,1,0,,1,128,0
101118,Family Haee Reeshkhor High School,010107,1,Nahia 07,3865,10,2348,6,4,4X400,2,374,374,1517,4,2,2X400,2,359,358
101119,Qalla e Fatoh Ahmadia Mosque,010107,1,Nahia 07,2504,8,1638,5,3,3X400,2,219,219,866,3,1,1X400,2,233,233
101120,Ghazi Abdullah High School,010107,1,Nahia 07,2204,6,1565,4,2,2X400,2,383,382,639,2,0,,2,320,319
101121,Ibrahim Khalil Jame Mosque,010107,1,Nahia 07,5600,15,3754,10,8,8X400,2,277,277,1846,5,3,3X400,2,323,323
101122,Chehlsutoon Girls High School,010107,1,Nahia 07,3301,9,1957,5,3,3X400,2,379,378,1344,4,2,2X400,2,272,272
101123,Eidgah Mosque,010107,1,Nahia 07,2040,6,1504,4,2,2X400,2,352,352,536,2,0,,2,268,268
101124,Ghazi Ade Girls High School,010107,1,Nahia 07,3775,10,2388,6,4,4X400,2,394,394,1387,4,2,2X400,2,294,293
101125,Technical Institute,010107,1,Nahia 07,2776,8,2177,6,4,4X400,2,289,288,599,2,0,,2,300,299
101126,Omara Khan High School,010107,1,Nahia 07,2624,8,1765,5,3,3X400,2,283,282,859,3,1,1X400,2,230,229
101127,Hazarat E Nabawi Mosque,010107,1,Nahia 07,2920,9,2034,6,4,4X400,2,217,217,886,3,1,1X400,2,243,243
101128,Aaqa Ali Shams High Shool,010107,1,Nahia 07,4926,13,2931,8,6,6X400,2,266,265,1995,5,3,3X400,2,398,397
101129,Sultan Razia Girls High School,010107,1,Nahia 07,4065,11,2091,6,4,4X400,2,246,245,1974,5,3,3X400,2,387,387
101130,Aemeni Girls High School,010107,1,Nahia 07,2276,7,1328,4,2,2X400,2,264,264,948,3,1,1X400,2,274,274
