id,name,provId,geoId
86,YAWAN,14,1709
79,DARAYEM,14,1707
93,ESHKASHAM,14,1723
88,KISHM,14,1715
91,KARAN-O-MENJAN,14,1726
92,ZEBAK,14,1725
94,WAKHAN,14,1728
96,ARGHANJ KHAWA,14,1703
87,SHAHR-E-BUZURG,14,1713
80,KHASH,14,1705
81,JURM,14,1710
99,KOF AB,14,1721
82,WARDOUJ,14,1716
83,Baharak (Badakhshan),14,1706
100,YAMGAN (GRIWAN),14,1718
98,KHWAHAN,14,1720
77,YAFTAL PAYAN,14,1704
95,SHEGHNAN,14,1719
97,RAGHISTAN,14,1714
102,DARWAZE BALA MAMAI,14,1727
84,SHUHADA,14,1712
103,SHEIKE,14,1724
76,FAIZ ABAD,14,1701
78,URGO,14,1702
101,DARWAZE-E PAYAN NUSAY,14,1722
90,TASHKAN,14,1711
89,TAGAB (KESHM BALA),14,1717
85,Kohistan (Badakhshan),14,1708
311,Provincial Center (QALA-I-NOW),23,3101
314,QADIS,23,3104
315,JAWAND,23,3106
317,MURGHAB,23,3105
313,AB KAMARI,23,3102
312,Muqur (Badghis),23,3103
316,GHORMACH,23,3107
254,DEHE SALAH,16,0908
256,KHOST-O-FERENG,16,0913
253,PUL-I-HESAR,16,0912
251,BORKA,16,0910
255,JELGA (KHWAJA HEJRAN),16,0909
248,KHENJAN,16,0906
247,DOOSHI,16,0903
250,NAHREEN,16,0904
249,BANO ANDARAB,16,0907
245,BAGHLAN JADEED,16,0905
244,Provincial Center (PUL-I-KHUMRI),16,0901
257,FRENG-GHARO,16,0915
258,GOZAR-GAHE-NOOR,16,0914
252,TALA-O-BARFAK,16,0911
286,KOSHENDAH,19,2114
279,SHORTAPA,19,2112
273,PROVINCIAL CENTER (MAZAR SHARIF),19,2101
274,DEHDADI,19,2103
285,CHARKENT,19,2104
284,SHOLGARA,19,2107
280,DAWLATABAD,19,2109
283,CHAMTAL,19,2108
282,CHARBOLAK,19,2111
281,BALKH,19,2106
383,ZAREE,19,2115
277,KHOLM,19,2110
276,MARMOL,19,2105
278,KALDAR,19,2113
275,NAHR-E-SHAHI,19,2102
143,PANJAB,32,1006
141,KOHMARD,32,1004
142,YAKAWULANG,32,1005
138,Province Center(MARKAZ-WOLLAYAT),32,1001	
144,WARAS,32,1007
139,SHEBAR,32,1002
140,SAIGHAN,32,1003
154,MERAMOR,34,2406
155,ISHTRALI,34,2403
