id,name,provId,geoId
156,SANG-E-TAKHTBANDER,34,2407
153,SHAHRESTAN,34,2402
160,GEZAB,34,2409
152,DAIKONDI,34,2401
159,KITEE,34,2405
158,KIJRAN,34,2408
157,KHADEU,34,2404
336,ANAR DARAH,25,3307
341,BALA BLOOK,25,3306
333,PROVINCIAL CENTER (FARAH),25,3301
334,POSHT-I- ROOD,25,3302
338,SHEIB KOH,25,3305
342,GULESTAN,25,3310
337,QALA-I-KAH,25,3304
335,KHAK-I-SAFEID,25,3303
339,LASH JAWEEN,25,3309
340,BAKWA,25,3308
304,GARZIWAN,22,2908
306,SHERIN TAGAB,22,2906
309,KHAN-E-CHARBAGH,22,2914
299,PASHTOON KOTT,22,2902
384,QURGHAN,22,2912
298,PROVINCIAL CENTER (MAIMANA),22,2901
300,KHUWAJA SABZ POSHE WALI,22,2903
302,QAISAR,22,2907
301,ALMAR,22,2904
305,BALCHERAGH,22,2905
303,Kohistan (Faryab),22,2910
310,ANDKHOI,22,2913
307,DAWLAT ABAD,22,2909
308,QARAM QUL,22,2911
48,JAGHORI,6,1114
47,MALESTAN,6,1116
41,WAGHAZ,6,1104
49,Muqur (Ghazni),6,1115
34,Provincial Center (GHAZNI),6,1101
45,NAWUR,6,1110
35,DAH YAK,6,1105
37,KHOWJA OMERY,6,1103
40,JAGHATOO,6,1106
44,ANDER,6,1107
51,GELLAN,6,1117
39,SHAHIDM-WALI-KHOGYANI,6,1102
50,AB BAND,6,1113
46,AJRESTAN,6,1118
136,SAGHAR,31,2310
129,DOWLATYAR,31,2303
128,Provincial Center (CHAGHCHARAN),31,2301
130,CHAHAR SADA,31,2304
133,PASSABAND,31,2305
132,DULEENA,31,2302
131,SHAHRAK,31,2306
134,LAL-O-SARJANGAL,31,2307
135,TOLAK,31,2309
137,TEYORA,31,2308
351,NAD ALI,27,3002
353,GARM SEIR,27,3006
350,NAHRE SARAJ,27,3004
349,PROVINCIAL CENTER (LASHKAR GAH),27,3001
352,NAWEI BARUKZAI,27,3003
357,MOOSA QALAH,27,3009
358,NAWZAD,27,3007
355,KAJAKI,27,3010
354,SANGIN QALAH,27,3008
318,PROVINCIAL CENTER (HERAT),24,3201
329,SHINDAND,24,3214
323,KUSHK,24,3207
324,GULRAN,24,3208
326,GHORYAN,24,3211
319,ENJIL,24,3202
328,ADRASKAN,24,3209
330,FARSI,24,3215
321,PASHTON ZARGHOON,24,3206
331,OBEH,24,3212
385,KISHK-I-KAHNA,24,3210
332,CHESHTOSHARIF,24,3216
320,GUZERA,24,3203
327,ZENDAJAN,24,3205
322,KARUKH,24,3204
325,KOHSAN,24,3213
293,KHAMYAB,20,2806
296,KHWAJA DUKOH,20,2802
287,PROVINCIAL CENTER (SHEIRGHAN),20,2801
291,MANGAJAK,20,2804
292,QARQIN,20,2810
297,KHANAQA,20,2803
288,AQCHAH,20,2807
289,FAIZ ABAD,20,2808
290,MARDYAN,20,2809
161,PROVINCIAL CENTER (KABUL),1,0101
168,GULDARA,1,0111
173,KHAK-I-JABAR,1,0109
174,BAGRAMI,1,0104
391,Surubi (Kabul),1,0115
162,DAHSABZ,1,0105
165,QARABAGH,1,0114
166,FARZA,1,0112
163,MIRBACHKOT,1,0108
167,ESTALEF,1,0113
164,KALAKAN,1,0110
170,PAGHMAN,1,0102
169,SHAKER DARAH,1,0106
171,CHAR ASIAB,1,0103
172,MUSAHI,1,0107
362,PROVINCIAL CENTER (KANDAHAR),28,2701
396,REGESTAN,28,2716
365,Arghandab (Kandahar),28,2702
398,ESPEEN BOLDAK,28,2711
400,ARGHESTAN,28,2708
363,DAMAN,28,2703
395,PANJAI,28,2704
369,ZHERAI,28,2705
364,SHAH WALI KOT,28,2706
368,MAIWAND,28,2710
366,KHAK REIZ,28,2707
4,NAJRAB,2,0205
5,KOH BAND,2,0203
6,TAGAB,2,0206
2,HESA DUWUM KOHISTAN,2,0202
3,KOHISTAN HESA AWAL,2,0204
1,Provincial Center (MAHMOOD RAQI),2,0201
211,QALANDER,9,1410
205,PROVINCIAL CENTER (KHOST),9,1401
206,TERZAYI,9,1408
216,TANAI,9,1404
217,GURBUZ,9,1403
213,MANDOZAYI,9,1402
209,SABARI,9,1407
212,NADERSHAH KOTT,9,1406
210,MUSA KHEIL,9,1405
207,BAK,9,1409
208,JAJI MAIDAN,9,1413
214,SHEMAL,9,1412
215,ESPERA,9,1411
14,BAGRAM,3,0302
12,SHENWARI,3,0303
18,Provincial Center (MAIDAN-SHAHR),4,0401
26,NERKH,4,0402
25,SAYED ABAD,4,0405
31,MOHAMMAD AGHA,5,0505
30,KHUSHI,5,0504
32,KHARWAR,5,0506
27,PROVINCIAL CENTER (PULLE-ALAM),5,0501
29,CHARKH,5,0503
36,ZANA KHAN,6,1108
183,GOMAL,7,1208
175,PROVINCIAL CENTER (SHARAN),7,1201
176,MATA KHAN,7,1202
182,Jani Kheil (Paktika),7,1309
204,AHMAD ABAD,8,1302
196,ZURMAT,8,1303
194,PROVINCIAL CENTER (GARDEIZ),8,1301
195,SAID KARAM,8,1306
223,KAMA,10,0605
224,KOOZ KONAR,10,0606
218,PROVINCIAL CENTER (JALALABAD ),10,0601
220,SURKHROD,10,0603
237,MUHMAND DARA,10,0617
235,SHENWAR,10,0616
225,DARAH NOOR,10,0612
222,RODAT,10,0607
219,BEHSOOD,10,0602
236,BATI KOT,10,0609
234,DUR BABA,10,0622
65,KHAS KUNAR,11,1510
57,SAR KANI,11,1505
63,NOOR GOOL,11,1514
242,ALISHING,12,0703
240,QARGHAI,12,0702
239,PROVINCIAL CENTER (MEHTERLAM),12,0701
119,DASHT-E-QALA,15,1812
107,Khwaja Ghar,15,1809
104,Taloqan - Center of Taloqan,15,1801
112,FARKHAR,15,1808
109,ESHKAMESH,15,1811
261,QALA-I-ZAL,17,1907
259,Provincial Center (Kunduz),17,1901
264,KHAN ABAD,17,1904
260,IMAM SAHEB,17,1905
267,HAZRAT-E-SULTAN,18,2002
266,PROVINCIAL CENTER (AIBAK),18,2001
268,FEROZ NAKHCHEER,18,2004
127,GOSFANDI,21,2206
121,PROVINCIAL CENTER (SAR-I-PUL),21,2201
126,SANGCHARAK,21,2205
122,SUZMA QULA,21,2204
346,CHAR BURJAK,26,3404
344,PROVINCIAL CENTER (ZARANJ),26,3401
345,KANG,26,3402
374,DAICHOPAN,29,2607
370,PROVINCIAL CENTER (QALAT),29,2601
371,SHAH JOI,29,2606
376,TARNK-O-JALDAK,29,2602
388,SHEMEL ZAYI,29,2610
377,SHINKAI,29,2603
375,MIZAN,29,2604
381,SHAHID-E-HASSAS,30,2504
379,CHOARAH,30,2503
380,KHAS UROZGAN,30,2505
378,PROVINCIAL CENTER (TERINKOTT),30,2501
382,DEHRAOUD,30,2502
151,PAREYIAN,33,0807
150,SHATAL,33,0806
149,HESSA-E-AWAL,33,0805
54,WATAPOOR,11,1503
56,NARANG WA BADIL (TARANGO BADIL),11,1504
55,DAREH PEICH,11,1507
53,PROVINCIAL CENTER (ASAD ABAD),11,1501
60,BAR KUNAR,11,1508
64,CHAWKI,11,1509
66,NARAI,11,1515
61,SHIGAL-WA-SHELTAN,11,1506
59,DANGAM,11,1512
58,MURWARA,11,1502
262,CHAR DARA,17,1902
265,DASHT-I-ARCHI,17,1906
263,ALI ABAD,17,1903
243,DAWLAT SHAH,12,0705
241,ALINGAR,12,0704
28,BARAKIBARAK,5,0502
33,AZRAW,5,0507
229,PACHAR WAGAM,10,0611
392,LALPOOR,10,0618
221,CHIPERHAR,10,0605
228,KHOGYANI,10,0608
230,DAHBALA,10,0610
232,ACHIN,10,0615
231,KOTT,10,0613
233,NAZYAN,10,0620
238,GOSHTA,10,0614
227,HESARAK,10,0621
390,DELARAM,26,3406
348,KHASHROAD,26,3405
347,ASL-I-CHAKHANSOOR,26,3403
71,WAIGAL,13,1602
68,Provincial Center (Nooristan),13,1601
69,NOOR GRAM,13,1604
72,WAMA,13,1603
75,BARGUMTAL,13,1608
197,SHAWAK,8,1304
199,LAJA AHMAD KHEIL,8,1308
202,SAMKANAI,8,1310
203,JAJI,8,1307
201,DAND PATAN,8,1311
198,WAZA ZADRAN,8,1305
192,BARMAL,7,1214
193,GAYAN,7,1215
191,WARMAMAI,7,1218
185,URGOON,7,1211
181,ZARGHOON SHAHER,7,1207
186,ZIROK,7,1212
177,YOSEF KHEIL,7,1203
184,Surubi (Paktika),7,1210
188,DELA,7,1216
180,SAR RAWZA,7,1205
178,YAHYA KHEIL,7,1204
190,TURWU,7,1219
189,WAZAKHWA,7,1217
148,DARAH,33,0803
147,ANABA,33,0805
145,BAZARAK,33,0801
146,ROKHA,33,0802
11,SALANK,3,0306
16,SORKH PARSA,3,0309
17,KOHE SAFI,3,0308
13,SEYAGERD GHORBAND,3,0307
15,SHAIKH ALI,3,0310
9,SAYID KHAIL,3,0304
10,JABUL SARAJ,3,0305
8,Provincial Center (Charikar),3,0301
270,DARAH-I-SUF PAYEN,18,2006
269,DARAH-E-SUF HULYA,18,2007
271,RAI-DO-AB,18,2005
272,KHOURAM SAR BAGH,18,2003
123,SAYAD,21,2202
124,KOHISTANAT,21,2203
125,BALKHAB,21,2207
111,NAMAK-AB,15,1806
106,Baharak (Takhar),15,1803
105,HAZAR SAMUCH,15,1802
117,Khwaja Bahawoddin,15,1814
114,Rustaq,15,1810
116,YANGI QALA,15,1817
115,Chah Aab,15,1816
113,Kalafgan,15,1807
120,WARSAJ,15,1813
118,DARQAD,15,1815
110,Chaal,15,1805
108,BANGI,15,1804
24,CHAK,4,0404
19,JALRAIZ,4,0403
23,JAGHATO,4,0408
20,HESA-AWAL-BEHSUD,4,0407
21,MARKAZ-I-BEHSOD,4,0409
22,DAIMIRDAD,4,0406
372,Arghandab (Zabul),29,2605
387,ATGHAR,29,2608
389,NAW BAHAR,29,2609
