IEC ID,AGCHO_ID,ps_total,pc_total,lat,long,dist_name,prov_name,ANPO_obs_count,AYNSO_obs_count,FEFA_obs_count,TEFA_obs_count,NLO_obs_count,Total_Observers
1721,1516,23,7,70.6913850072,37.943129711,Kof Ab,Badakhshan,0,0,0,0,0,0
1722,1524,18,7,70.9114039267,38.2278547582,Darwaz,Badakhshan,0,0,0,5,0,5
1723,1523,20,8,71.4623914038,36.853460029,Ishkashem,Badakhshan,0,0,12,0,0,12
1724,1525,18,7,70.6517312685,38.2065117739,Shaki,Badakhshan,0,0,0,3,0,3
1725,1527,9,4,71.3421288624,36.4265748904,Zebak,Badakhshan,0,0,6,0,0,6
1726,1526,14,5,70.7683186476,35.9299366926,Koran wa Monjan,Badakhshan,0,0,0,0,0,0
1727,1515,25,8,71.1549626762,38.1291974522,Darwaz-e-Balla,Badakhshan,0,0,0,3,0,3
1728,1528,22,10,73.3496236189,37.0572181817,Wakhan,Badakhshan,0,0,0,0,0,0
1801,1601,189,38,69.6088231744,36.7406135106,Taloqan,Takhar,0,0,94,0,29,123
1802,1602,15,6,69.5696716405,36.9263297714,Hazar Sumuch,Takhar,0,0,8,0,5,13
1803,1603,39,9,69.3953136347,36.8328795117,Baharak,Takhar,0,0,19,0,1,20
1804,1604,28,5,69.3380699844,36.6133739777,Bangi,Takhar,0,0,14,0,0,14
1805,1605,23,6,69.5591938666,36.4973962325,Chal,Takhar,0,0,12,0,0,12
1806,1606,18,5,69.7148800193,36.4715551064,Namak Ab,Takhar,0,0,9,0,0,9
1807,1608,39,10,69.9148808737,36.7877070056,Kalafgan,Takhar,0,0,19,0,0,19
1808,1607,39,11,69.9608269839,36.4698995365,Farkhar,Takhar,0,0,19,0,7,26
1809,1614,55,14,69.3979535354,37.0183127264,Khwaja Ghar,Takhar,0,0,27,0,8,35
1810,1609,134,36,69.8172777075,37.1062025083,Rostaq,Takhar,0,0,67,0,1,68
1811,1615,51,14,69.3899334257,36.3673290802,Ishkamish,Takhar,0,0,0,0,0,0
1812,1613,35,10,69.5016557438,37.202200299,Dasht-e-Qala,Takhar,0,0,18,0,5,23
1813,1616,37,10,70.13882092,36.0959718923,Warsaj,Takhar,0,0,18,0,8,26
1814,1612,21,7,69.5821069824,37.3393768115,Khwaja Bahawuddin,Takhar,0,0,0,0,0,0
1815,1617,27,9,69.4992696328,37.4541452525,Darqad,Takhar,0,0,0,0,0,0
1816,1610,61,16,69.879897118,37.4503436148,Chah Ab,Takhar,0,0,31,0,0,31
1817,1611,34,9,69.6699567653,37.4607752901,Yangi Qala,Takhar,0,0,0,0,0,0
1901,1701,285,57,68.8587416946,36.7966571268,Kunduz,Kunduz,0,0,104,22,43,169
1902,1704,43,10,68.5672883635,36.6544050662,Chahar Darah,Kunduz,0,0,19,0,0,19
1903,1705,66,16,68.8778605176,36.5290235793,Ali Abad,Kunduz,0,0,23,6,10,39
1904,1706,88,37,69.1040485847,36.6031132226,Khan Abad,Kunduz,0,0,34,5,0,39
1905,1702,176,44,68.8537619643,37.108454305,Imam Saheb,Kunduz,0,0,64,8,2,74
1906,1707,62,16,69.1572893965,36.9636061443,Dasht-e-Archi,Kunduz,0,0,25,0,3,28
1907,1703,60,19,68.3619650558,36.8975969048,Qala-e-Zal,Kunduz,0,0,21,0,0,21
2001,1901,98,21,67.9866131028,36.2066666413,Aybak,Samangan,0,0,47,0,50,97
2002,1902,33,11,67.8651143207,36.3829507039,Hazrat-e- Sultan,Samangan,0,0,16,0,5,21
2003,1906,38,13,68.1216899231,35.9865047185,Khuram wa Sarbagh,Samangan,0,0,18,0,2,20
2004,1903,10,3,67.5773319776,36.4563667018,Feroz Nakhchir,Samangan,0,0,5,0,2,7
2005,1907,53,16,67.8172588743,35.6354868053,Ruy-e-Du Ab,Samangan,0,0,26,0,0,26
2006,1904,70,20,67.3471575747,36.0250373638,Darah Suf-e- Payin,Samangan,0,0,26,0,2,28
2006,1905,70,20,67.2824556494,35.6806956444,Darah Suf-e-Bala,Samangan,0,0,34,0,2,36
2101,1801,313,48,67.1168146668,36.7097426722,Mazar-e-Sharif,Balkh,0,0,142,71,38,251
2102,1802,41,9,67.1813228856,36.8412368214,Nahr-e- Shahi,Balkh,0,0,19,6,5,30
2103,1806,51,14,67.0080010286,36.6367552322,Deh Dadi,Balkh,0,0,23,3,8,34
2104,1807,33,13,67.2402908135,36.3678859249,Chahar Kent,Balkh,0,0,15,4,0,19
2105,1808,15,5,67.3350263032,36.634699141,Marmul,Balkh,0,0,7,3,0,10
2106,1805,94,30,66.8901430765,36.8156342271,Balkh,Balkh,0,0,43,55,0,98
2107,1814,103,37,66.864645492,36.3032008056,Sholgareh,Balkh,0,0,47,6,3,56
2108,1813,84,27,66.6008688734,36.5178373961,Chemtal,Balkh,0,0,38,2,0,40
2109,1804,74,29,66.797996479,37.0642528519,Dawlat Abad,Balkh,0,0,34,14,4,52
2110,1809,64,22,67.743333119,36.8146242294,Khulm,Balkh,0,0,29,9,0,38
2111,1812,77,32,66.6394352657,36.8332627122,Chahar Bolak,Balkh,0,0,35,7,3,45
2112,1803,30,10,66.8512238113,37.2565985701,Shor Tepa,Balkh,0,0,13,5,0,18
2113,1810,23,9,67.5492104167,37.1271449375,Kaldar,Balkh,0,0,10,0,0,10
2114,1815,44,16,66.9223435088,36.0051761193,Kishindeh,Balkh,0,0,20,4,0,24
2115,1816,51,18,66.72616396,35.8473411325,Zari,Balkh,0,0,0,4,0,4
2201,2001,123,23,66.0565297236,36.2842541009,Sar-e-Pul,Sar-e-Pul,0,0,50,0,30,80
2202,2002,38,12,65.7089525686,36.1498350382,Sayad,Sar-e-Pul,0,0,16,0,3,19
2203,2003,44,15,65.9367057852,35.4381425159,Kohistanat,Sar-e-Pul,0,0,0,0,0,0
2204,2004,35,12,66.2329804533,36.0200025115,Sozma Qala,Sar-e-Pul,0,0,14,0,8,22
2205,2007,59,20,66.3415876291,35.842099242,Sang(San)Charak,Sar-e-Pul,0,0,24,0,15,39
2206,2005,47,15,66.4505764686,36.0628886357,Gosfandi,Sar-e-Pul,0,0,19,0,4,23
2207,2006,60,14,66.6022551746,35.4579870518,Balkh Ab,Sar-e-Pul,0,0,24,0,6,30
2301,2101,213,43,65.3298268316,34.7239735199,Chaghcharan,Ghor,0,26,87,0,0,113
2302,2103,34,12,65.0079196002,34.1187181494,Du Lina,Ghor,0,0,14,0,0,14
2303,2104,39,14,65.7514747062,34.5801985317,Dawlat Yar,Ghor,0,10,16,0,0,26
2304,2102,37,11,65.1178852124,35.1193570846,Chahar Sadra,Ghor,0,0,14,0,0,14
2305,2107,34,12,65.0898212397,33.5894810291,Pasaband,Ghor,0,0,0,0,0,0
2306,2105,55,22,64.3355136878,34.1023912197,Shahrak,Ghor,0,0,21,0,0,21
2307,2108,110,41,66.2741001464,34.6042581286,Lal Wa Sarjangal,Ghor,0,10,44,0,0,54
2308,2106,42,14,64.3844584775,33.4835368377,Taywarah,Ghor,0,0,21,0,0,21
2309,2109,57,18,63.7141707921,34.0092078235,Tolak,Ghor,0,2,23,0,0,25
2310,2110,40,14,63.6736469292,33.5808660481,Saghar,Ghor,0,0,16,0,0,16
