unit,agcho_prov,agcho_dist,agcho_prov_id,agcho_dist_id,iec_dist,iec_prov,iec_prov_id,iec_dist_id,iec_id,agcho_dist_id_fix,iec_id_fix
Provincial_Center,Laghman,Mehtarlam,7,701,MEHTARLAM,LAGHMAN,7,1,701,701,701
District,Laghman,Alishang,7,702,ALISHING,LAGHMAN,7,3,703,702,703
District,Laghman,Qarghayi,7,703,QARGHAYEE,LAGHMAN,7,2,702,703,702
District,Laghman,Alingar,7,704,ALINGAR,LAGHMAN,7,4,704,704,704
District,Laghman,Daulat Shah,7,705,DAWLAT SHAH,LAGHMAN,7,5,705,705,705
Provincial_Center,Panjsher,Bazarak,8,801,BAZARAK,PANJSHIR,8,1,801,801,801
District,Panjsher,Shutul,8,802,SHUTUL,PANJSHIR,8,6,806,802,806
District,Panjsher,Rukha,8,803,RUKHA,PANJSHIR,8,2,802,803,802
District,Panjsher,Dara,8,804,DARAH,PANJSHIR,8,3,803,804,803
District,Panjsher,Khenj (Hes-e- Awal),8,805,HISSA-E-AWAL,PANJSHIR,8,4,804,805,804
District,Panjsher,Onaba(Anawa),8,806,UNABA,PANJSHIR,8,5,805,806,805
District,Panjsher,Parian,8,807,PARYAN,PANJSHIR,8,7,807,807,807
Provincial_Center,Baghlan,Pul-e- khumri,9,901,PUL-E-KHUMRI,BAGHLAN,9,1,901,901,901
District,Baghlan,Baghlan-e-jadid,9,902,BAGLAN-E-JADE,BAGHLAN,9,5,905,902,905
District,Baghlan,Dahana-e-Ghory,9,903,DAHANA-E-GHURI,BAGHLAN,9,2,902,903,902
District,Baghlan,Dushi,9,904,DUSHI,BAGHLAN,9,3,903,904,903
District,Baghlan,Nahrin,9,905,NAHREEN,BAGHLAN,9,4,904,905,904
District,Baghlan,Tala wa barfak,9,906,TALA WA BARF,BAGHLAN,9,11,911,906,911
District,Baghlan,Khenjan,9,907,KHINJAN,BAGHLAN,9,6,906,907,906
District,Baghlan,Andarab,9,908,ANDARAB,BAGHLAN,9,7,907,908,907
District,Baghlan,Khwaja Hejran,9,909,JALGA,BAGHLAN,9,9,909,909,909
District,Baghlan,Burka,9,910,BURKA,BAGHLAN,9,10,910,910,910
District,Baghlan,Pul-e-Hesar,9,911,PUL-E-HISAR,BAGHLAN,9,12,912,911,912
District,Baghlan,Deh Salah,9,912,DEH SALAH,BAGHLAN,9,8,908,912,908
District,Baghlan,Khowst wa Fereng,9,913,KHOST WA FIRI,BAGHLAN,9,13,913,913,913
District,Baghlan,Guzargah-e- Nur,9,914,GOZARGAH-E-NUR,BAGHLAN,9,14,914,914,914
District,Baghlan,Firing Wa Gharu,9,915,FIRING WA GHARU,BAGHLAN,9,15,915,915,915
Provincial_Center,Bamyan,Bamyan,10,1001,BAMYAN,BAMYAN,10,1,1001,1001,1001
District,Bamyan,Sayghan,10,1002,SAIGHAN,BAMYAN,10,3,1003,1002,1003
District,Bamyan,Yakawlang,10,1003,YAKAWLANG,BAMYAN,10,5,1005,1003,1005
District,Bamyan,Panjab,10,1004,PANJAB,BAMYAN,10,6,1006,1004,1006
District,Bamyan,Shibar,10,1005,SHEBAR,BAMYAN,10,2,1002,1005,1002
District,Bamyan,Kahmard,10,1006,KAHMARD,BAMYAN,10,4,1004,1006,1004
District,Bamyan,Waras,10,1007,WARAS,BAMYAN,10,7,1007,1007,1007
Provincial_Center,Ghazni,Ghazni,11,1101,GHAZNI,GHAZNI,11,1,1101,1101,1101
District,Ghazni,Khwaja Umari,11,1102,KHWAJA OMAR,GHAZNI,11,3,1103,1102,1103
District,Ghazni,Wali Muhammad-e- Shahid,11,1103,WALI MOHAM,GHAZNI,11,2,1102,1103,1102
District,Ghazni,Waghaz,11,1104,WAGHAZ,GHAZNI,11,4,1104,1104,1104
District,Ghazni,Andar,11,1105,ANDAR,GHAZNI,11,7,1107,1105,1107
District,Ghazni,Deh Yak,11,1106,DEH YAK,GHAZNI,11,5,1105,1106,1105
District,Ghazni,Zana Khan,11,1107,ZANAKHAN,GHAZNI,11,8,1108,1107,1108
District,Ghazni,Rashidan,11,1108,RASHIDAN,GHAZNI,11,9,1109,1108,1109
District,Ghazni,Jaghatu,11,1109,JAGHATU,GHAZNI,11,6,1106,1109,1106
District,Ghazni,Qarabagh,11,1110,QARA BAGH,GHAZNI,11,11,1111,1110,1111
District,Ghazni,Giro,11,1111,GIRO,GHAZNI,11,12,1112,1111,1112
District,Ghazni,Nawur,11,1112,NAWUR,GHAZNI,11,10,1110,1112,1110
District,Ghazni,Jaghuri,11,1113,JAGHURI,GHAZNI,11,14,1114,1113,1114
District,Ghazni,Muqur,11,1114,MUQUR,GHAZNI,11,15,1115,1114,1115
District,Ghazni,Ab Band,11,1115,AB BAND,GHAZNI,11,13,1113,1115,1113
District,Ghazni,Ajrestan,11,1116,AJRISTAN,GHAZNI,11,18,1118,1116,1118
District,Ghazni,Malestan,11,1117,MALISTAN,GHAZNI,11,16,1116,1117,1116
District,Ghazni,Gelan,11,1118,GELAN,GHAZNI,11,17,1117,1118,1117
District,Ghazni,Nawa,11,1119,,,,,,1119,0
Provincial_Center,Paktya,Gardez,12,1201,GARDEZ,PAKTYA,13,1,1301,1201,1301
District,Paktya,Sayed Karam,12,1202,SAYYID KARAM,PAKTYA,13,6,1306,1202,1306
District,Paktya,Ahmadaba,12,1203,AHMADABA,PAKTYA,13,2,1302,1203,1302
District,Paktya,Zurmat,12,1204,ZURMAT,PAKTYA,13,3,1303,1204,1303
District,Paktya,Shawak,12,1205,SHWAK,PAKTYA,13,4,1304,1205,1304
District,Paktya,Zadran,12,1206,WUZA ZADRAN,PAKTYA,13,5,1305,1206,1305
District,Paktya,Lija Ahmad Khel,12,1207,LAJA AHMAD K,PAKTYA,13,8,1308,1207,1308
District,Paktya,Ali Khel (Jaji),12,1208,JAJI ARYOB,PAKTYA,13,7,1307,1208,1307
District,Paktya,Jani Khel,12,1209,JANI KHEL,PAKTYA,13,9,1309,1209,1309
District,Paktya,Chamkani,12,1210,SAMKANI,PAKTYA,13,10,1310,1210,1310
District,Paktya,Dand wa Patan,12,1211,DAND PATAN,PAKTYA,13,11,1311,1211,1311
Provincial_Center,Kunar,Asad Abad,13,1301,ASAD ABAD,KUNAR,15,1,1501,1301,1501
