id,name,provId,geoId,totalPopulation
1605,Warsaj,16,1813,29900
1606,Farkhar,16,1808,38200
1607,Kalfagan,16,1807,31200
1608,Rustaq,16,1810,141700
1609,Chah Ab,16,1816,65000
1610,Yangi Qala,16,1817,33800
1611,Darqad,16,1815,18900
1612,Khwaja Ghar,16,1809,67300
1613,Baharak,16,1803,7800
1614,Dashti Qala,16,1812,17000
1615,Hazar Sumuch,16,1802,13600
1616,Khwaja Bahawuddin,16,1814,11800
1617,Namak Ab,16,1806,8800
1701,Kunduz,17,1901,249000
1702,Imam Sahib,17,1905,185400
1703,Qalay-I- Zal,17,1907,59500
1704,Chahar Dara,17,1902,61300
1705,Aliabad,17,1903,40600
1706,Khanabad,17,1904,151800
1707,Dashte Archi,17,1906,85600
1801,Aybak,18,2001,81800
1802,Hazrati Sultan,18,2002,34500
1803,Dara-I-Sufi Bala,18,2007,56000
1804,Dara-I-Sufi Payin,18,2006,64100
1805,Ruyi Du Ab,18,2005,35500
1806,Khuram Wa Sarbagh,18,2003,36300
1807,Feroz Nakhchir,18,2004,10300
1901,Sari Pul,19,2201,142900
1902,Sangcharak,19,2205,137300
1903,Kohistanat,19,2203,62200
1904,Balkhab,19,2207,40600
1905,Sozma Qala,19,2204,47700
1906,Sayyad,19,2202,44100
1907,Gosfandi,19,2206,0
2001,Chaghcharan,20,2301,94300
2002,Shahrak,20,2306,41800
2003,Tulak,20,2309,41300
2004,Saghar,20,2310,27400
2005,Taywara,20,2308,70600
2006,Pasaband,20,2305,66700
2007,Lal Wa Sarjangal,20,2307,95400
2008,Charsada,20,2304,15100
2009,Dawlat Yar,20,2303,20900
2010,Du Layna,20,2302,18900
2101,Nili,21,2401,13800
2102,Gizab,21,2409,55000
2103,Ishtarlay,21,2403,0
2104,Kajran,21,2408,0
2105,Khadir,21,2404,0
2106,Gaiti,21,2405,0
2107,Miramor,21,2406,0
2108,Sangi Takht,21,2407,0
2109,Shahristan,21,2402,108900
2201,Tirin Kot,22,2501,63600
2202,Chora,22,2503,35000
2203,Khas Uruzgan,22,2505,57500
2204,Shahidi Hassas,22,2504,51000
2205,Dihrawud,22,2502,52100
2301,Qalat,23,2601,29000
2302,Shahjoy,23,2606,49100
2303,Arghandab,23,2605,27400
2304,Daychopan,23,2607,33100
2305,Mizan,23,2604,11400
2306,Tarnak Wa Jaldak,23,2602,14400
2307,Shinkay,23,2603,19700
2308,Atghar,23,2608,7300
2309,Shamulzayi,23,2610,37500
2310,Kakar,23,2611,20200
2311,Naw Bahar,23,2609,0
2401,Sharan,24,1201,38700
2402,Zarghun Shahr,24,1207,28300
2403,Dila,24,1216,21200
2404,Waza Khwa,24,1217,19400
2405,Wor Mayi,24,1218,3000
2406,Gomal,24,1208,6500
2407,Omna,24,1206,10200
2408,Sarobi,24,1210,10500
2409,Barmal,24,1214,29200
2410,Gayan,24,1215,29200
2411,Urgun,24,1211,46300
2412,Ziruk,24,1212,16200
2413,,24,,0
2414,Sar Hawza,24,1205,19500
2415,Mata Khan,24,1202,20900
2416,Jani Khel,24,1209,20000
2417,Turwo,24,1219,1700
2418,Yahya Khel,24,1204,14600
2419,Yosuf Khel,24,1203,11400
2501,Khost(Matun),25,1401,71700
2502,Jaji Maidan,25,1413,17700
2503,Tani,25,1404,33600
2504,Spira,25,1411,15400
2505,Mosa Khail,25,1405,27600
2506,Mando Zayi,25,1402,33600
2507,Tere Zayi,25,1408,28000
2508,Nadir Shah Kot,25,1406,16800
2509,Sabri,25,1407,30500
2510,Bak,25,1409,9900
2511,Gurbuz,25,1403,13700
2512,Qalandar,25,1410,6100
2513,Shamal,25,1412,8500
2601,Mazari Sharif,26,2101,187700
2602,Nahri Shahi,26,2102,36800
2603,Zari,26,2115,31400
2604,Shortepa,26,2112,36400
2605,Dawlatabad,26,2109,39300
2606,Balkh,26,2106,102600
2607,Chahar Bolak,26,2111,66300
2608,Chimtal,26,2108,72700
2609,Sholgara,26,2107,105500
2610,Kishindih,26,2114,32700
2611,Chahar Kint,26,2104,42900
2612,Dihdadi,26,2103,47400
2613,Kaldar,26,2113,15800
2614,Khulm,26,2110,65800
2615,Marmul,26,2105,9800
2701,Shibirghan,27,2801,148700
2702,Khwaja Du Koh,27,2802,0
2703,Darzab,27,2811,45500
2704,Mangajek,27,2804,41000
2705,Qarqin,27,2810,20800
2706,Aqcha,27,2807,91600
2707,Mardyan,27,2809,38900
2708,Fayzabad,27,2808,36000
2709,Kham Ab,27,2806,10700
2710,Khaniqa,27,2803,0
2711,Qush Tepa,27,2805,14300
2801,Maymana,28,2901,59500
2802,Pashtun Kot,28,2902,159300
2803,Almar,28,2904,55800
2804,Qaysar,28,2907,122300
2805,Kohistan,28,2910,38200
2806,Bilchiragh,28,2905,46200
2807,Gurziwan,28,2908,54600
2808,Shirin Tagab,28,2906,65800
2809,Dawlatabad,28,2909,95800
2810,Qaramqol,28,2911,17100
2811,Khani Chahar Bagh,28,2914,22200
2812,Andkhoy,28,2913,21400
2814,Qurghan,28,2912,52500
2901,Lashkar Gah,29,3001,84100
2902,Nahri Sarraj,29,3004,98000
2903,Kajaki,29,3010,59900
2904,Musa Qala,29,3009,49700
2905,,29,,
2906,Naw Zad,29,3007,42700
2907,Washer,29,3005,13000
2908,Nad Ali,29,3002,99200
2909,Nawa-I- Barak Zayi,29,3003,78000
2910,,29,,0
2911,Garmser,29,3006,73800
2912,Sangin,29,3008,50300
2913,Reg(Khanshin),29,3011,22100
3001,Kandahar,30,2701,468200
3002,Daman,30,2703,24800
3003,Shah Wali Kot,30,2706,36400
3004,Arghandab,30,2702,51600
3005,Khakrez,30,2707,19200
3006,,30,,0
3007,Maywand,30,2710,40700
3008,Panjwayi,30,2704,82800
3009,Registan,30,2716,1600
3010,,30,,0
3011,Spin Boldak,30,2711,41000
3012,Arghistan,30,2708,28900
3013,Maruf,30,2715,27700
3014,,30,,0
3015,Nesh,30,2712,11300
3016,Zhari,30,2705,49500
3101,Qala-I- Naw,31,3101,38700
3102,Ab Kamari,31,3102,39700
3103,Qadis,31,3104,63600
3104,Jawand,31,3106,53800
3105,Ghormach,31,3107,39500
3106,Bala Murghab,31,3105,51000
3107,Muqur,31,3103,19300
3201,Hirat,32,3201,254800
3202,Injil,32,3202,200200
3203,Guzara,32,3203,111200
3204,Pashtun Zarghun,32,3206,77400
3205,Karukh,32,3204,47400
3206,Koshk,32,3207,65900
3207,Gulran,32,3208,57300
3208,Kohsan,32,3213,32900
3209,Ghoryan,32,3211,53800
3210,Zanda  Jan,32,3205,40600
3211,Adraskan,32,3209,33300
3212,Obe,32,3212,51000
3213,Farsi,32,3215,23100
3214,Shindand,32,3214,112200
3215,Chishti Sharif,32,3216,14200
3216,Koshki Kohna,32,3210,35100
3301,Farah,33,3301,75600
3302,Bakwa,33,3308,20100
3303,Gulistan,33,3310,23400
3304,Pur Chaman,33,3311,38800
3305,Bala Buluk,33,3306,48400
3306,Khaki Safed,33,3303,17000
3307,Anar Dara,33,3307,22300
3308,Qala-i-Kah,33,3304,21600
3309,Lash Wa Juwayn,33,3309,26800
3310,Shib Koh,33,3305,16700
3311,Pusht Rod,33,3302,32700
3401,Zaranj,34,3401,43100
3402,Kang,34,3402,24200
3403,Chahar Burjak,34,3404,36400
3404,Chakhansur,34,3403,28900
3405,Khashrod,34,3405,18900
3406,Dilaram,34,3406,0
