distId,provId,solar_year,gregorian_year,province_name_eng,district_number,district_name_eng,rural_fem,rural_male,rural_total,urban_fem,urban_male,urban_total,fem_population,male_population,total_population,units
611,6,1398,2019-2020,Nangarhar,11,Pachiragam,22967,24299,47266,,,,22967,24299,47266,exact
612,6,1398,2019-2020,Nangarhar,12,Darah -e- S.Noor,21924,22862,44786,,,,21924,22862,44786,exact
613,6,1398,2019-2020,Nangarhar,13,Kot,28579,29264,57843,,,,28579,29264,57843,exact
614,6,1398,2019-2020,Nangarhar,14,Goshta,14876,15416,30292,,,,14876,15416,30292,exact
615,6,1398,2019-2020,Nangarhar,15,Achin,26118,26951,53069,,,,26118,26951,53069,exact
616,6,1398,2019-2020,Nangarhar,16,Shinwar,32625,33967,66592,,,,32625,33967,66592,exact
617,6,1398,2019-2020,Nangarhar,17,Muhmand Dِِara,24272,25605,49877,,,,24272,25605,49877,exact
618,6,1398,2019-2020,Nangarhar,18,Lalpoor,11093,11627,22720,,,,11093,11627,22720,exact
619,6,1398,2019-2020,Nangarhar,19,Sher Zad,36148,37494,73642,,,,36148,37494,73642,exact
620,6,1398,2019-2020,Nangarhar,20,Nazyan,7829,8493,16322,,,,7829,8493,16322,exact
621,6,1398,2019-2020,Nangarhar,21,Hesarak,16704,17506,34210,,,,16704,17506,34210,exact
622,6,1398,2019-2020,Nangarhar,22,Dur Baba,12527,13325,25852,,,,12527,13325,25852,exact
623,6,1398,2019-2020,Nangarhar,23,Spin ghar,28559,29748,58307,,,,28559,29748,58307,exact
701,7,1398,2019-2020,Laghman,1,provincial Capital (Mehterlam),67335,71069,138404,2790,2968,5758,70125,74037,144162,exact
702,7,1398,2019-2020,Laghman,2,Qarghayee,53112,55785,108897,,,,53112,55785,108897,exact
703,7,1398,2019-2020,Laghman,3,Alishing,38758,40499,79257,,,,38758,40499,79257,exact
704,7,1398,2019-2020,Laghman,4,Alingar,52329,55130,107459,,,,52329,55130,107459,exact
705,7,1398,2019-2020,Laghman,5,Dawlat Shah,18008,18942,36950,,,,18008,18942,36950,exact
706,7,1398,2019-2020,Laghman,6,Bad pash,4046,4181,8227,,,,4046,4181,8227,exact
801,8,1398,2019-2020,Panjsher,1,province Center (Bazarak),10179,10713,20892,,,,10179,10713,20892,exact
802,8,1398,2019-2020,Panjsher,2,Rukha,12397,13064,25461,,,,12397,13064,25461,exact
803,8,1398,2019-2020,Panjsher,3,Darah,7569,7838,15407,,,,7569,7838,15407,exact
804,8,1398,2019-2020,Panjsher,4,Hissa-e- Awal (Khinj),21662,22732,44394,,,,21662,22732,44394,exact
805,8,1398,2019-2020,Panjsher,5,Unaba,9657,10321,19978,,,,9657,10321,19978,exact
806,8,1398,2019-2020,Panjsher,6,Shutul,6003,6140,12143,,,,6003,6140,12143,exact
807,8,1398,2019-2020,Panjsher,7,Paryan,8090,8362,16452,,,,8090,8362,16452,exact
808,8,1398,2019-2020,Panjsher,8,Ab shar,6003,6270,12273,,,,6003,6270,12273,exact
