provId,Province,ECC
1,KABUL,507
2,KAPISA,42
3,PARWAN,
4,MAYDANWARDAK,
5,LOGAR,133
6,NANGARHAR,836
7,LAGHMAN,176
8,PANJSHIR,3
9,BAGHLAN,81
10,BAMYAN,6
11,GHAZNI,86
12,PAKTIKA,477
13,PAKTYA,793
14,KHOST,880
15,KUNARHA,225
16,NOORESTAN,2
17,BADAKHSHAN,3
18,TAKHAR,
19,KUNDUZ,14
20,SAMANGAN,2
21,BALKH,4
22,SARE PUL,3
23,GHOR,142
24,DAYKUNDI,21
25,URUZGAN,2
26,ZABUL,28
27,KANDAHAR,1573
28,JAWZJAN,
29,FARYAB,4
30,HELMAND,220
31,BADGHIS,
32,HERAT,17
33,FARAH,18
34,NIMROZ,61
