station_id,polling_id,delta,Ashraf Ghani Ahmadzai,Dr. Abdullah Abdullah,Hamed Karzai,Ramazan Bashardost,other
4846,906075,4,0,0,600,0,0
4847,906072,1,0,0,556,0,0
4848,906072,2,0,0,600,0,0
4849,906072,3,0,0,600,0,0
4850,906072,4,0,0,588,0,0
4851,906073,1,0,0,600,0,0
4852,906073,2,0,0,600,0,0
4853,906073,3,0,0,600,0,0
4854,906073,4,0,0,600,0,0
4855,906070,1,0,0,600,0,0
4856,906070,2,0,0,600,0,0
4857,906070,3,0,0,600,0,0
4858,906070,4,0,0,600,0,0
4859,906071,1,0,0,600,0,0
4860,906071,2,0,0,570,0,0
4861,906071,3,0,0,600,0,0
4862,1601227,1,0,44,16,1,1
4863,1601227,2,0,48,18,0,2
4864,1601227,3,0,339,32,0,10
4865,2307184,1,4,91,155,0,9
4866,2307184,2,1,85,157,0,8
4867,1601229,1,7,317,39,12,14
4868,1601229,2,2,112,22,2,8
4869,1601228,1,2,96,82,20,12
4870,1601228,2,3,225,39,15,18
4871,1516200,1,2,224,65,28,68
4872,1516200,2,1,103,10,4,123
4873,1516201,1,11,146,111,3,15
4874,1516201,2,0,132,71,8,20
4875,2407220,1,0,212,8,1,4
4876,2407220,2,0,287,3,1,2
4877,2407220,3,1,188,5,0,5
4878,2407220,4,0,403,1,0,1
4879,2407220,5,0,507,2,0,0
4880,2407221,1,1,178,57,0,25
4881,2407221,2,0,267,41,0,21
4882,2407222,1,1,70,89,0,35
4883,2407222,2,1,73,98,0,17
4884,2407222,3,0,123,60,0,15
4885,2407222,4,0,95,231,0,7
4886,2407223,1,0,80,34,0,10
4887,2407223,2,0,78,26,0,7
4888,2407223,3,0,24,18,0,1
4889,2407223,4,0,222,85,0,2
4890,2407224,1,13,8,491,0,17
4891,2407224,2,2,7,609,0,9
4892,2407224,3,4,18,443,0,0
4893,2407225,1,1,56,19,0,0
4894,2407225,2,1,56,13,0,2
4895,2407225,3,0,86,9,0,4
4896,2407225,4,0,229,28,0,0
4897,2407226,1,0,504,70,0,2
4898,2407226,2,0,436,140,0,0
4899,2407227,1,2,190,405,0,0
4900,2407227,2,1,86,498,0,2
4901,1614221,1,0,214,7,2,7
4902,1614221,2,0,154,10,1,5
4903,1614221,3,0,205,5,10,5
4904,1614220,1,1,260,5,4,6
4905,1614220,2,1,281,16,4,10
4906,1614220,3,1,300,80,2,2
4907,1614223,1,0,240,15,2,5
4908,1614223,2,0,398,25,0,0
4909,1614222,1,0,129,14,0,1
4910,1614222,2,0,118,11,1,7
4911,2009103,1,2,43,223,3,60
4912,2009103,2,6,22,114,2,73
4913,1204089,1,5,2,152,1,67
4914,1204089,2,3,10,184,2,32
4915,1204089,3,0,48,395,1,57
4916,1011277,1,1,8,9,0,1
4917,1011277,2,0,12,105,1,5
4918,1011277,3,0,13,80,0,4
4919,1011277,4,0,3,28,0,0
4920,1011277,5,4,3,146,0,7
4921,1011276,1,10,12,239,3,22
4922,1011276,2,8,8,182,3,9
4923,1011276,3,13,23,186,8,16
4924,1011276,4,3,29,272,50,36
4925,1011276,5,18,14,202,3,81
4926,1011276,6,4,2,284,5,18
4927,2501034,1,6,13,22,4,4
4928,2501034,2,23,44,71,9,9
4929,2501034,3,9,7,51,7,18
4930,2501035,1,19,23,62,14,7
4931,2501035,2,15,30,56,17,7
4932,2501035,3,5,15,61,11,8
4933,1011279,1,1,6,240,0,12
4934,1011279,2,2,3,156,0,15
4935,1011279,3,0,0,200,0,10
4936,1011278,1,2,2,78,1,6
4937,1011278,2,15,3,93,1,10
4938,1011278,3,5,4,110,2,20
4939,1011278,4,9,7,205,1,12
4940,1011278,5,0,1,35,0,0
4941,1011278,6,47,4,181,0,2
4942,1011278,7,0,0,27,0,3
4943,1011278,8,4,2,56,0,2
4944,2501030,1,25,61,68,16,14
4945,2501030,2,33,64,159,14,22
4946,2501030,3,26,62,177,9,23
4947,2501031,1,0,3,7,2,2
4948,2501031,2,1,3,0,1,0
4949,2501032,1,18,14,51,18,10
4950,2501032,2,45,29,90,23,9
4951,2501032,3,19,14,82,29,23
4952,2501033,1,62,54,91,41,14
4953,2501033,2,73,57,89,45,12
4954,2501033,3,44,39,50,23,2
4955,2501033,4,38,64,86,28,11
4956,2501033,5,38,73,93,42,8
4957,2406177,1,2,97,62,0,18
4958,2406177,2,0,64,48,0,12
4959,2406177,3,1,80,29,0,19
4960,2406177,4,1,76,40,0,11
4961,2406176,1,0,202,75,1,5
4962,2406176,2,0,165,26,2,3
4963,2406176,3,0,159,45,0,1
4964,2406176,4,0,203,13,0,5
4965,2406175,1,3,120,91,0,3
4966,2406175,2,0,227,66,2,3
4967,2406175,3,0,84,44,0,14
4968,2406175,4,0,247,34,0,4
4969,2406174,1,0,91,45,1,15
4970,2406174,2,0,79,55,0,7
4971,2406174,3,2,102,54,0,8
4972,2406173,1,0,100,83,0,19
4973,2406173,2,0,67,45,3,24
4974,2406173,3,0,79,39,0,16
4975,2406172,1,1,144,32,0,10
4976,2406172,2,0,103,56,1,6
4977,2406172,3,1,101,46,0,6
4978,2406172,4,3,52,33,0,7
4979,2406172,5,0,280,45,0,4
4980,2406172,6,0,221,66,0,16
4981,2406171,1,1,151,33,1,4
4982,2406171,2,1,227,38,0,8
4983,2406171,3,2,225,64,1,3
4984,2406171,4,0,173,16,0,3
4985,2406170,1,3,127,51,1,18
4986,2406170,2,4,75,36,2,52
4987,2406179,1,2,143,39,0,51
4988,2406179,2,0,128,44,0,51
4989,2406179,3,0,73,51,0,80
4990,2406179,4,0,116,39,0,40
4991,2406178,1,0,75,39,0,4
4992,2406178,2,0,79,30,0,9
4993,2406178,3,0,73,74,0,15
4994,2406178,4,0,130,42,0,6
4995,101100,1,2,30,57,0,2
4996,101100,2,4,23,55,31,7
4997,101100,3,4,24,22,21,2
4998,101100,4,5,25,66,48,7
4999,101100,5,3,36,106,57,14
5000,101100,6,3,22,43,44,10
5001,101100,7,6,16,47,23,11
5002,101100,8,2,18,56,36,7
5003,101100,9,2,30,112,33,15
5004,101100,10,0,11,61,21,5
5005,101100,11,0,3,63,25,4
5006,101100,12,3,13,123,53,8
5007,2402081,1,4,31,207,45,9
5008,2402081,2,10,18,209,41,18
5009,2402081,3,8,23,180,40,16
5010,2402081,4,8,16,161,43,21
5011,2402081,5,2,6,53,80,5
5012,2402081,6,5,13,83,45,9
5013,2402081,7,0,25,63,48,11
5014,2402081,8,1,13,150,40,13
5015,2402080,1,3,128,78,7,11
5016,2402080,2,1,60,31,2,14
5017,2402080,3,1,48,20,4,8
5018,2402080,4,1,105,68,1,7
5019,2402080,5,5,106,66,2,13
5020,904100,1,0,0,396,0,197
5021,904100,2,0,0,440,0,157
5022,904100,3,1,0,564,0,28
5023,904100,4,0,0,535,0,50
5024,904100,5,0,0,548,0,45
5025,904100,6,0,1,288,0,306
5026,904101,1,47,42,500,0,3
5027,904101,2,0,1,778,0,12
5028,904101,3,0,0,790,0,5
5029,904101,4,0,0,657,1,23
5030,904101,5,0,2,683,0,1
5031,904102,1,17,21,552,0,2
5032,904102,2,0,6,493,0,4
5033,904102,3,0,4,208,0,6
5034,904102,4,8,27,541,0,12
5035,904102,5,0,36,453,0,0
5036,904102,6,0,7,635,0,0
5037,904103,1,5,0,239,0,1
5038,904103,2,8,39,540,1,6
5039,904103,3,10,0,376,0,2
5040,904103,4,80,29,385,17,85
5041,904103,5,1,39,525,0,34
5042,904104,1,13,11,368,32,10
5043,904104,2,47,42,500,0,3
5044,904104,3,149,15,406,7,7
5045,904104,4,82,27,446,0,8
5046,612278,1,0,2,227,330,37
5047,612278,2,0,10,37,444,59
5048,612278,3,0,22,57,414,30
5049,612278,4,0,1,27,449,5
5050,612279,1,0,0,1,325,0
5051,612279,2,0,0,0,345,0
5052,612275,1,0,3,39,280,26
5053,612275,2,0,2,81,324,106
5054,612276,1,0,47,40,238,19
5055,612276,2,2,72,42,223,25
5056,612277,1,0,3,21,232,21
5057,612270,1,0,2,18,306,131
5058,612270,2,0,9,8,304,64
5059,612271,1,0,7,138,141,10
5060,612271,2,0,3,99,113,1
5061,612271,3,1,348,45,178,16
5062,612272,1,0,0,47,293,3
5063,612272,2,0,1,4,234,0
5064,612272,3,0,0,144,334,25
5065,612273,1,0,0,176,220,17
5066,612273,2,1,0,183,263,58
5067,612273,3,0,0,258,118,5
5068,802039,1,1,0,198,1,0
5069,802039,2,0,0,214,2,4
5070,802038,1,1,0,297,2,4
5071,802038,2,1,0,181,0,2
5072,802035,1,1,2,524,1,3
5073,802035,2,0,0,600,0,0
5074,802035,3,4,0,191,0,2
5075,802035,4,0,0,190,5,2
5076,802034,1,125,0,408,0,2
5077,802034,2,1,0,594,0,0
5078,802031,1,0,0,155,0,0
5079,802031,2,0,0,0,0,0
5080,802031,3,1,1,110,0,1
5081,802033,1,4,0,42,0,6
5082,802033,2,2,0,31,0,1
5083,802032,1,0,1,435,0,2
5084,802032,2,0,0,600,0,0
5085,2801028,1,4,3,10,0,1
5086,2801028,2,8,2,73,3,4
5087,2801028,3,57,0,268,0,5
5088,2801028,4,1,0,120,1,0
5089,2801028,5,13,12,138,0,4
5090,2801028,6,0,1,124,0,1
5091,2801028,7,2,0,237,0,1
5092,2801028,8,2,0,20,0,1
5093,2801028,9,2,0,15,0,0
5094,2801028,10,1,1,60,0,5
