"Province","District ID","Polling Center Name and Location","PC Code","Estimated Voters","Total PS","Male","Female","Kuchi"
"Kabul",101,"bagh wazir,majeed zaboly home",101287,1000,2,1,1,0
"Kabul",101,"Masjid Dooda Mast/Dooda Mast Village",101502,900,3,2,1,
"Kabul",101,"hisa 3 khair khana,sarwar kayenat masque",101295,3700,7,5,2,0
"Kabul",101,"hisa 3 khai khana,hazrat khider masque",101292,2000,4,3,1,0
"Kabul",101,"lab jar,sad bin waqas masque",101302,2900,5,3,2,0
"Kabul",101,"jakshan barq khai khana,sawad hayaati school",101296,4400,8,5,3,0
"Kabul",101,"lab jar, hazrat khairulbashar masque",101301,2900,6,4,2,0
"Kabul",101,"  Khuaj Sultan Bayazeed Masjid in Khoja Boghra.",101309,2000,4,3,1,0
"Kabul",101,"sarpol khwaja boghraa,hazrat noh masque",101307,2000,4,2,2,0
"Kabul",101,"500 family,500family high school",101303,11200,19,14,5,0
"Kabul",101,"pasta kachalo,sawad hayati kair khana girls schol",101304,3400,6,4,2,0
"Kabul",101,"behinde airport,tahaawi masque",101289,4400,8,5,3,0
"Kabul",101,"Imam bin Zafar mosque ",101504,2000,4,3,1,
"Kabul",101,"khwaja boghraa,fire station",101298,4400,8,5,3,0
"Kabul",101,"Freshta Nejat Parwareshga located in Ahangari Hai Khair Khana ",101291,4400,8,5,3,0
"Kabul",101,"qasaba khana saazi,qasaba high school",101306,8600,15,9,4,2
"Kabul",101,"pasta kachalo,shah awleya masque",101305,2000,4,2,2,0
"Kabul",101,"ziarat khwaja boghraa,zaid bin sabit masque",101311,2000,4,2,2,0
"Kabul",101,"khwaja boghraa,khwaja mahidin jashti masque",101299,2000,4,3,1,0
"Kabul",101,"tapa 500 family,shohada 500family masque",101310,2000,4,3,1,0
"Kabul",101,"hisa 3 khai khana,no12khair khana high school",101294,9400,17,12,5,0
"Kabul",101,"do jampa khwaja boghraa,qatibia masque",101290,2000,4,2,2,0
"Kabul",101,"hisa 3 khai khana,faqir firoozi sacandary school",101293,7000,12,9,3,0
"Kabul",101,"khwaja boghraa,white hazrat khidar masque ",101297,4400,8,5,3,0
"Kabul",101," Masjid Imame Abo Hanifa of  Khuja Bughra area ",101300,2000,4,3,1,0
"Kabul",101,"sarpol khwaja boghraa,hazrat yusaf masque",101308,2000,4,2,2,0
"Kabul",101,"  Hazrat Bilal Masjid at the back of Airport ",101503,2600,5,3,2,
"Kabul",101,"Qala-e-Zaman Khan High School, Qala-e-Zaman Khan Area. ",101506,900,2,1,1,
"Kabul",101,"first makroryan,laama shaheed high school",101317,6500,12,8,4,0
"Kabul",101,"deh khudaydaad,ghafoor ahmad high school",101316,2700,5,3,2,0
"Kabul",101,"qala zaman khan,hazrat bilaal masque",101315,1500,3,2,1,0
"Kabul",101,"qala ahmad khan,qala ahmadkhan sacandry schol",101318,3700,7,4,3,0
"Kabul",101,"first makroryan,naazo anasacandary school",101319,3700,7,4,3,0
"Kabul",101,"qala zamankhan,abo abaida masque",101325,2200,4,3,1,0
"Kabul",101," Da Khudaidad Girl School. ",101321,2000,4,3,1,0
"Kabul",101,"qala zamankhan,ayob ansari masque",101320,1500,3,2,1,0
"Kabul",101,"qala shoraa,namania qala shoraa masque",101324,1500,3,2,1,0
"Kabul",101,"Now abad dah khodad litercy school ",101505,1200,3,2,1,
"Kabul",101,"qala zaman khan,qala zamankhan sacandry schol",101312,8200,14,9,3,2
"Kabul",101,"haalo khail,haalokhail sacandary school",101313,3200,6,3,1,2
"Kabul",101,"shahrak khorasan,shahrak khorasan high school",101314,6500,12,8,4,0
"Kabul",101,"dehkhudaidad,osman ghani masque",101322,1500,3,2,1,0
"Kabul",101,"first makroryan, markaz nahia",101323,2700,5,3,2,0
"Kabul",101," chashma kotal secondary school ",101326,2800,5,3,2,0
"Kabul",101,"tahia maskan,qari nikmuhammad high school",101328,4300,8,5,3,0
"Kabul",101,"now abd dekapak girls school",101507,900,3,2,1,
"Kabul",101,"sar kotal khairkhana,naahia 17 center",101327,4800,8,4,2,2
"Kabul",101,"Mohammadia School, Shahrak Mohamadia.",101508,900,3,2,1,
"Kabul",101,"bakhtyaran,bkhtyaran sacandary school",101329,2900,5,3,2,0
"Kabul",101,"tarakhail,tarakhail sacandary school",101330,3400,6,4,2,0
"Kabul",101,"marad khani,directrite of department afaire",101031,1000,2,1,1,0
"Kabul",101,"Shrine Abdull Fazel ( morad khani)",101488,1200,3,2,1,
"Kabul",101,"deh afghanan,rangha masque",101020,1000,2,1,1,0
"Kabul",101,"shahdoshamshira,shahdoshamshira high school",101029,2500,5,3,2,0
"Kabul",101,"istiqlal high school,istiqlal high school",101028,6500,13,10,3,0
"Kabul",101,"joy shir ,parsa primary school",101022,4300,8,5,3,0
"Kabul",101,"joy shir ,ansaary high school",101021,4300,8,6,2,0
"Kabul",101,"karti parwan,omar farooq masque",101027,1000,2,1,1,0
"Kabul",101,"bagh bala, abdullah ibni masood masque",101019,2000,4,2,2,0
"Kabul",101,"karti parwan,maaz bini jabal masque",101026,1000,2,1,1,0
"Kabul",101,"karti parwan cinema baharistan,mir ahmad masque",101024,3500,7,5,2,0
"Kabul",101,"joy shir deh afghanan,qari abdullah school",101023,3500,7,4,3,0
"Kabul",101,"karti ariana,karti ariana sacandry school",101025,6700,12,8,4,0
"Kabul",101,"tol abcakan,nayebsalar masque",101030,1000,2,1,1,0
"Kabul",101,"mirwais maidan,sang kashan masque",101042,1000,2,1,1,0
"Kabul",101,"university,law and political seince faqolty",101045,4800,9,6,3,0
"Kabul",101,"deh bori,mahmod hotaky high school",101033,7200,12,8,4,0
"Kabul",101,"karti char,sayed jamaludin afghan sacandry school",101034,5200,9,6,3,0
"Kabul",101,"tapa salam,wais masque",101043,2400,4,2,2,0
"Kabul",101,"now abaddehmazang,amirhmza sacandry school",101040,3400,6,4,2,0
"Kabul",101,"guzargah,guzargah sacandry school",101041,2000,4,2,2,0
"Kabul",101,"end bus stop university,sofi islam school",101032,4300,8,5,3,0
"Kabul",101,"deh mazang,amir dostmuhammad khan school",101039,2800,5,3,2,0
"Kabul",101,"saray ghazni,sayed jamaludin teacher training ",101038,2800,5,3,2,0
"Kabul",101,"No. 19 School of Jamal Mina ",101036,4800,8,5,3,0
"Kabul",101,"karti mamorin,karti mamori masque",101044,3400,6,4,2,0
"Kabul",101,"jamal mina,no13jamal mina sacandry school",101035,4800,8,5,3,0
"Kabul",101,"karti char,rabeh balkhi high school",101047,4800,8,5,3,0
"Kabul",101,"karti char, higher education ministry",101046,2000,4,2,2,0
"Kabul",101," Masjid Hanzala Masjid, Dehmazang at the back side of Tolay Sawar.",101037,2000,4,2,2,0
"Kabul",101,"karti parwan,wazir muhammad akbarkhan sacandry school",101056,3800,7,4,3,0
"Kabul",101,"charahi taymani,jamaat khana ismayalya",101051,4500,8,5,3,0
"Kabul",101,"salang,jamhooriat high school",101063,3900,7,4,3,0
"Kabul",101," Altaqwa Private High School, Taimani.  ",101068,3800,7,5,2,0
"Kabul",101,"shahrara,muhammad alam faizad high school",101065,4800,8,5,3,0
"Kabul",101,"karti parwan,ghaziayob no2 sacandry school",101055,3800,7,4,3,0
"Kabul",101,"karti parwan, nadria high school",101058,4800,8,5,3,0
"Kabul",101,"shahrak police,mahmood sediq farhang sacandary school",101064,5600,10,6,4,0
"Kabul",101,"shahri now,khwaja ali mowfaq masque",101067,2000,4,2,2,0
"Kabul",101," Masjid Milad Nabi, Bagh Bala Area.",101048,4300,8,5,3,0
"Kabul",101,"Manochehrey Female school, Charahi Taimani",101052,2000,4,2,2,0
"Kabul",101,"parozha wazir abad,kadakistan no 1",101061,2900,5,3,2,0
"Kabul",101,"kolola pushta,imamrazay gharib masque",101059,5300,9,6,3,0
"Kabul",101,"karti parwan,baba Nanak high school",101057,4400,8,5,3,0
"Kabul",101,"shahrara,haaji ghulam dastagir masque",101066,2900,6,4,2,0
"Kabul",101,"karti parwan,rabya high school",101054,5700,10,6,4,0
