"Province","District ID","Polling Center Name and Location","PC Code","Estimated Voters","Total PS","Male","Female","Kuchi"
"Nangerhar",618,"Sapdary Masque, Sapdary",1006185,1300,3,,,3
"Nangerhar",618,"Mirlala yard,Kandi Mir Lala",1006179,480,1,,1,
"Nangerhar",618,"court of justice,Sangar Saray",1006157,1900,4,2,,2
"Nangerhar",618,"Yard, Deh Ghazi",1006181,1680,3,3,,
"Nangerhar",618,"Gardaw Yard, Gardaw",1006176,1400,3,,2,1
"Nangerhar",618,"Mirzakhail school, Mirzakhail",1006159,1500,3,2,1,
"Nangerhar",618,"High School,Bar Landa puch",1006152,1440,3,,3,
"Nangerhar",618,"Masque,Kandi Mir Lala",1006180,1440,3,3,,
"Nangerhar",618,"Landa Puch Clinic, Landa Puch",1006151,1440,3,3,,
"Nangerhar",618,"Qalie Akhund Masque,Qalie Akhund",1006149,1440,3,3,,
"Nangerhar",618,"Yard, kande",1006177,960,2,2,,
"Nangerhar",618,"Totkai  Masque, Totkai",1006165,1400,3,2,1,
"Nangerhar",618,"Gardan, Deh Ghazi",1006182,1440,3,,3,
"Nangerhar",618,"Wata pur Masque,Wata pur",1006167,480,1,,1,
"Nangerhar",618,"Kuz Landa puch Masque, Kuz landa puch",1006168,840,2,2,,
"Nangerhar",618,"Spadry Masque, Spadry",1006155,2880,5,3,2,
"Nangerhar",618,"Masque,Zakhail",1006162,2800,5,3,2,
"Nangerhar",618,"Murad Ali High School,Zarshawai",1006173,3000,5,3,2,
"Nangerhar",618,"Wakeel Gardan,Qalie Akhund",1006150,1440,3,,3,
"Nangerhar",618,"Sangar saray Clinic, Sangar Saray",1006158,1440,3,,2,1
"Nangerhar",618,"Yard,Kuz landa puch",1006169,960,2,,2,
"Nangerhar",618,"kuchi village maidan, kuchi",1006184,960,2,,,2
"Nangerhar",618,"Arbapan Place,Arabapan",1006172,1440,3,3,,
"Nangerhar",618,"Zali Akhund School,Zarshawai",1006174,960,2,1,1,
"Nangerhar",618,"Empty place,Warsah Faqeer",1006170,1920,4,2,2,
"Nangerhar",618,"Khakhi Masque, khakhi",1006153,480,1,1,,
"Nangerhar",618,"Yard , Mama khail",1006163,1440,3,3,,
"Nangerhar",618,"Sheergar School, Spadry",1006156,1440,3,2,1,
"Nangerhar",618,"Masque, Mamakhail",1006164,840,2,,2,
"Nangerhar",618,"Darband school,Dar Bank",1006160,720,2,1,1,
"Nangerhar",618,"Distric building,Gayek",1006161,2160,4,2,2,
"Nangerhar",618,"Shahed khudai dad school, Kande",1006178,480,1,,1,
"Nangerhar",618,"Wata pur Yard, wata pur",1006166,480,1,1,,
"Nangerhar",618,"Gardaw Masque,Gardaw",1006175,1900,4,2,,2
"Nangerhar",618,"Khakhi Maidan,khakhi",1006154,480,1,,1,
"Nangerhar",619,"Bazkashkute,Bazkashkute",1007201,1440,3,3,,
"Nangerhar",619,"Masque,Kachra,",1007194,960,2,1,1,
"Nangerhar",619,"Islam pore village Masque,Islam pore",1007214,1300,3,,,3
"Nangerhar",619,"Howz gardan,kuz kashkot",1007198,960,2,,2,
"Nangerhar",619,"Jame Masque, old village",1007209,1200,2,1,1,
"Nangerhar",619,"Masque,Pachahi qala",1007193,1920,4,2,2,
"Nangerhar",619,"pure village Masque, Budraylie Pure village",1007207,960,2,2,,
"Nangerhar",619,"Sarkand, Masque",1007203,480,1,1,,
"Nangerhar",619,"Femal School, Bodyali village",1007187,960,2,,2,
"Nangerhar",619,"Central Masque, Khewa center",1007190,2400,4,4,,
"Nangerhar",619,"Howz gardan,kuz kashkot",1007199,960,2,2,,
"Nangerhar",619,"Kuz kuti khulasa Saha, Kuz kuta",1007195,1680,3,2,1,
"Nangerhar",619,"Karage Masque,Gurage",1007196,1920,4,3,,1
"Nangerhar",619,"Brak School,Qala Tak",1007210,1500,3,,3,
"Nangerhar",619,"Central Masque,Qala Tak",1007192,2400,4,4,,
"Nangerhar",619,"Sarkand.Sarkand",1007202,700,2,,2,
"Nangerhar",619,"Bazark Masque, Bazark",1007191,1440,3,3,,
"Nangerhar",619,"Masque,Rahmat Abad",1007208,1200,2,1,1,
"Nangerhar",619,"Masque, Shamel village",1007206,1400,3,2,1,
"Nangerhar",619,"Yasin Baba Clinic, Yasin baba",1007204,2400,4,2,2,
"Nangerhar",619,"Pure village Madarasa, Budraylie Pure village",1007205,960,2,,2,
"Nangerhar",619,"Masque",1007188,1920,4,2,2,
"Nangerhar",619,"Bazkashkute,Bazkashkute",1007200,960,2,,2,
"Nangerhar",619,"Khewa Central clinic, central khewa",1007212,1440,3,,3,
"Nangerhar",619,"Femal School, Sheykhan",1007213,960,2,,2,
"Nangerhar",619,"Karage Clinic,Gurage",1007197,1300,3,,2,1
"Nangerhar",619,"Dande Masque, Emal khan village",1007189,1440,3,3,,
"Nangerhar",619,"Clinic, Bazark",1007211,1320,3,,3,
"Nangerhar",619,"Big Village Masque",1007186,960,2,2,,
"Nangerhar",620,"Sutan Maidan,Sutan",1008235,1440,3,3,,
"Nangerhar",620,"Lama Tak Masque,Lalma Tak",1008222,960,2,1,1,
"Nangerhar",620,"Clinic,Kashmond Qala",1008227,960,2,,2,
"Nangerhar",620,"Majkandol Maidan, Majkandol",1008231,1440,3,2,1,
"Nangerhar",620,"Masque,Areman",1008233,1400,3,2,1,
"Nangerhar",620,"Safar kala, Safar kala",1008221,2400,4,2,2,
"Nangerhar",620,"Sutan Maidan,Sutan",1008234,1464,3,,3,
"Nangerhar",620,"Masque, Umar Qala",1008225,1200,2,1,1,
"Nangerhar",620,"Awdarak School, Awdarak",1008237,960,2,,2,
"Nangerhar",620,"Waikal Maindan,waikal",1008230,1920,4,2,2,
"Nangerhar",620,"Male school, Qalie shahie",1008219,2880,5,5,,
"Nangerhar",620,"Clinic, Bamba kut",1008223,2500,5,3,2,
"Nangerhar",620,"Bar kote School,Kashmond Qala",1008226,960,2,2,,
"Nangerhar",620,"Shukali Maidan,shukali",1008224,2500,5,3,2,
"Nangerhar",620,"Sarwar masque,Sarwar",1008220,1300,3,2,1,
"Nangerhar",620,"Bar Kali Maidan, Amla",1008216,2400,4,2,2,
"Nangerhar",620,"Dak Maidan, Daka",1008217,1920,4,2,2,
"Nangerhar",620,"Kuz Kali Maidan, Amla",1008215,3100,6,2,2,2
"Nangerhar",620,"Shemol maidan, shemol",1008229,2880,5,3,2,
"Nangerhar",620,"Femal School,Qalie Shahi",1008218,2400,4,,4,
"Nangerhar",620,"Awdarak maidan,Awdarak",1008236,960,2,2,,
"Nangerhar",620,"Wetran school, Wetran",1008232,960,2,1,1,
"Nangerhar",620,"Sar kalak Masque, Sarkalak",1008228,960,2,1,1,
"Nangerhar",621,"karez Kaber Clinic,Karez kaber",1002058,1440,3,,3,
"Nangerhar",621,"Mohammadi High School, Baland Ghar",1002063,2400,4,4,,
"Nangerhar",621,"Hada School,Hada",1002067,1920,4,4,,
"Nangerhar",621,"Karez Kaber School, Karez kaber",1002059,1920,4,4,,
"Nangerhar",621,"Bahr Abad Primary School,Bahr abad",1002071,2400,4,4,,
"Nangerhar",621,"Gulam Mohammad Dera, Bani Gah",1002062,1900,4,,3,1
"Nangerhar",621,"Maidan,Wolayaty (provencial)",1002066,1440,3,,3,
"Nangerhar",621,"Saracha primary school, Saracha",1002057,4200,7,4,3,
"Nangerhar",621,"Janan Primary School,Qalie Janan",1002045,3840,7,4,3,
"Nangerhar",621,"Farm Hada High school, Farm hada",1002069,2880,6,4,2,
"Nangerhar",621,"Nahre Shahie Ahadkor,khushgombad",1002049,2600,5,3,2,
"Nangerhar",621,"Daman Masque, Araban",1002073,1300,3,,,3
"Nangerhar",621,"Jame Masque, khushgumbad bani Square",1002054,1700,3,2,1,
"Nangerhar",621,"Banda Masque, Bani Gah",1002061,3100,6,4,,2
"Nangerhar",621,"Reshteen Masque, Wolayate( Provencial)",1002065,2400,4,4,,
"Nangerhar",621,"Bahr Abad Femal School,Bahr Abad",1002072,1920,4,,4,
"Nangerhar",621,"Tamerat Masque, Tamerat",1002052,2400,4,4,,
"Nangerhar",621,"Masque,Jamali",1002050,2400,4,4,,
"Nangerhar",621,"Clinic, Uch tangay",1002060,2400,4,2,2,
"Nangerhar",621,"Nahed Shahed School,Tamerat",1002053,1440,3,,3,
"Nangerhar",621,"Stream 11,10,Stream,11,10",1002047,1920,4,4,,
"Nangerhar",621,"Zankoi School, Zankoi village",1002506,1200,2,1,1,
"Nangerhar",621,"Femil Clinic, Hada",1002068,1440,3,,3,
"Nangerhar",621,"Clinic, Qasim Abad",1002070,2400,4,2,2,
"Nangerhar",621,"Qalie Malakh school, Jamali",1002051,1440,3,,3,
"Nangerhar",621,"Samarkhail School, Samarkhail",1002055,1920,4,4,,
"Nangerhar",621,"Samarkhail School, Samarkhail",1002056,1440,3,,3,
"Nangerhar",621,"Khushgumbad School,Qalie Reage",1002046,3000,5,3,2,
"Nangerhar",621,"Baland Ghar Clinic, Baland ghar",1002064,1920,4,,4,
"Nangerhar",621,"Haji Samargul Park, Stream 11,10",1002048,1440,3,,3,
"Nangerhar",622,"Kot High School, jaba village",1014348,1871,4,2,2,
"Nangerhar",622,"Empty place, Atakhail",1014347,920,2,,2,
"Nangerhar",622,"Big Masque,Bandok",1014340,1882,4,2,2,
"Nangerhar",622,"Big Masque,Do Ani villege",1014344,972,2,2,,
"Nangerhar",622,"comman house, Haiderkhani",1014350,923,2,,2,
"Nangerhar",622,"Big Masque,Sepahie Village",1014341,950,2,2,,
"Nangerhar",622,"Tarlay Empty place , Tarelay villge",1014352,954,2,,2,
"Nangerhar",622,"Gig Masque,Atakhail",1014346,950,2,2,,
"Nangerhar",622,"Empty place,Do Ani Village",1014345,922,2,,2,
"Nangerhar",622,"Tarlay old big Masque, Tarelay village",1014351,914,2,2,,
"Nangerhar",622,"High school,Purshakhail",1014339,2814,5,3,2,
"Nangerhar",622,"Gig Masque, Haider khani",1014349,960,2,2,,
"Nangerhar",622,"Comman house,Sepahie village",1014342,954,2,,2,
"Nangerhar",622,"Comman house, Laghorje",1014338,1442,3,,3,
"Nangerhar",622,"Secondary School, Said Ahmad khail",1014343,2822,5,3,2,
"Nangerhar",622,"Primary School, Laghorchi",1014337,1430,3,3,,
"Laghman",701,"Karanj Kochis' school, Mehtarlam",1201029,2160,4,,,4
"Laghman",701,"Public Health Hospital, Village guestroom, Mehtarlam",1201004,4219,8,5,3,
"Laghman",701,"Khairbad village mosque, Village guestroom, Mehtarlam",1201024,2070,4,2,2,
"Laghman",701,"Akhondzadagano village Mosque, Village guestroom, Mehtarlam",1201027,750,2,1,1,
"Laghman",701,"Immigrants camp, Mehtarlam",1201032,1600,3,2,1,
"Laghman",701,"Seh sadi Boys and Girls' School , Mehtarlam",1201014,3089,6,4,2,
"Laghman",701,"Arsalah qala, Mehtarlam",1201030,2400,4,2,2,
"Laghman",701,"Shaheed Mawlawi Habiburrahman High School/Girls' school, Mehtarlam",1201017,1752,3,2,1,
"Laghman",701,"Deh Ziarat School, Mehtarlam",1201026,2567,5,3,2,
"Laghman",701,"Kutab zayee",1201031,1000,2,1,1,
"Laghman",701,"Chalamtio School, Village guestroom, Mehtarlam",1201013,3388,7,5,2,
"Laghman",701,"Shahre naw first Experimental School, TB Clinic, Mehtarlam",1201003,3791,7,5,2,
"Laghman",701,"Haidar khani Kalkoot School, Mehtarlam",1201008,2866,5,3,2,
"Laghman",701,"Mastoori High school, Mehtarlam",1201002,3748,7,,7,
"Laghman",701,"Karanj village Mosque, Village guestroom, Mehtarlam, Mehtarlam",1201021,722,2,1,1,
"Laghman",701,"Shirgar School, Mehtarlam",1201025,1564,3,2,1,
"Laghman",701,"Deeway School, Mehtarlam",1201023,2228,4,2,2,
"Laghman",701,"Chardehi School, Mehtarlam",1201007,1981,4,2,2,
"Laghman",701,"Shamangul Mosque, Village guestroom, Mehtarlam",1201009,2548,5,3,2,
"Laghman",701,"Harmal Boys and Girls' School, Mehtarlam",1201015,3440,6,4,2,
"Laghman",701,"Alisheng Village School, Mehtarlam",1201020,4382,8,5,3,
"Laghman",701,"Katal Girls' School, Mehtarlam",1201016,2610,5,2,1,2
"Laghman",701,"Gameen village Mosque and School, Mehtarlam",1201005,4849,9,5,4,
"Laghman",701,"Sultan Khail village Mosque, Village guestroom, Mehtarmlam",1201022,1208,3,2,1,
"Laghman",701,"Ali khail School, Mehtarlam, Mehtarlam",1201019,2952,6,4,2,
"Laghman",701,"Teergarpoo Jomat, Mehtarlam",1201006,2970,5,3,2,
"Laghman",701,"Badi Abad Village guestroom/ House of the Head of the viillage, Mehtarlam",1201018,2284,4,2,2,
"Laghman",701,"Gularam School, Village guestroom, Mehtarlam",1201012,1048,2,1,1,
"Laghman",701,"Shamtio Mosque, Village guestroom, Mehtarlam",1201010,2363,4,2,2,
"Laghman",701,"Garwach Village mosque, Village guestroom, Mehtarlam",1201028,720,2,1,1,
"Laghman",701,"Kachoor School, Village guestroom, Mehtarlam",1201011,2110,4,2,2,
"Laghman",701,"Roshan High school, Mehtarlam",1201001,9354,16,16,,
"Laghman",702,"Surkhakano High school, Qarghayee",1202043,3000,7,3,2,2
"Laghman",702,"Kambiri Ahmadzai Kochis' Mosque and Guestroom, Qarghayee",1202051,1877,4,,,4
"Laghman",702,"Baloch abad Mosque and Baryalay guestroom, Qarghayee",1202048,1570,3,2,1,
"Laghman",702,"Ghandi Abdul Rahimzai Big Mosque and Village guestroom, Qarghayee",1202049,1966,4,2,2,
"Laghman",702,"Mashakilo Big Mosque and Clinic, Qarghayee",1202039,3046,6,4,2,
"Laghman",702,"Kandi village NSP Buidling, Qarghayee",1202052,1000,2,1,1,
"Laghman",702,"Charbagh Big Mosque and Girls' High school, Qarghayee",1202035,3654,7,4,3,
"Laghman",702,"Kakas School and Village guestroom, Qarghayee",1202045,3290,6,2,1,3
"Laghman",702,"Nahre Kareem School and village guestroom, Qarghayee",1202036,3242,6,3,3,
"Laghman",702,"Kharooto village Hazrat Omar Mosque and Guestroom, Qarghayee",1202040,4000,8,4,2,2
"Laghman",702,"Qalatak village mosque and Guestroom",1202034,3000,6,3,2,1
"Laghman",702,"Kamalpoor Big mosque and School, Qarghayee",1202047,1645,3,2,1,
"Laghman",702,"Haji Samad Khan Mosque and guestroom, Sewati, Qarghayee",1202038,1793,3,2,1,
"Laghman",702,"Logar lam khan qala, Qarghayee",1202053,810,2,1,1,
"Laghman",702,"Zerano Village Clinic",1202127,1200,3,2,1,
"Laghman",702,"Qarghi Boys High school and Girls' secondary school, Qarghayee",1202033,3031,6,4,2,
"Laghman",702,"Aziz khan kas Mosque, and Gul Pachah Ulfat Mosque, Qarghayee",1202044,3100,6,2,2,2
"Laghman",702,"Mandarwar Elementary and High school, Qarghayee,",1202041,2260,4,2,2,
"Laghman",702,"Sarkandobaba Hotel and Malak Durani Guestroom, Qarghayee,",1202046,1216,3,2,1,
"Laghman",702,"Farmankhil village Guestroom, Qarghayee",1202042,3054,6,4,2,
"Laghman",702,"Dara ghar School, Qarghayee",1202050,1697,3,2,1,
"Laghman",702,"Islam Abad Keshmand, Qarghayee",1202054,2250,4,2,2,
"Laghman",702,"Pacha kalat Mosque and village guestroom, Qarghayee",1202037,1670,3,2,1,
"Laghman",703,"Kachoor School, Village guestroom,Aleengar",1203058,2066,4,2,2,
"Laghman",703,"Sakhri village Mosque and ground, Aleengar, Aleengar",1203057,1415,3,2,1,
"Laghman",703,"Darjayee School, Aleengar, Aleengar",1203056,1255,3,2,1,
"Laghman",703,"Neemnayee village Mosque, Aleengar, Aleengar",1203067,2970,5,3,2,
"Laghman",703,"Kondahgul village mosque, Aleengar, Aleengar",1203082,1361,3,2,1,
"Laghman",703,"Mangoo School and tent, Aleengar, Aleengar",1203080,1502,3,2,1,
"Laghman",703,"Aram Khil School and Village Mosuque, Aleengar, Aleengar",1203070,2694,5,3,2,
"Laghman",703,"Engineer Shir Mohammad High school and Girls' School, Aleengar,",1203062,3738,7,4,3,
"Laghman",703,"Sala wa Olya Village ground, Aleengar, Aleengar",1203061,2226,4,2,2,
"Laghman",703,"Shekhano Elementary and High school, Aleengar, Aleengar",1203068,3488,6,3,3,
"Laghman",703,"Qasaba village Mosque and guestroom, Aleengar, Aleengar,",1203065,3392,6,4,2,
"Laghman",703,"Waranta village Mosque and ground, Aleengar, Aleengar",1203064,1950,4,2,2,
"Laghman",703,"Salaw safla Sahebzadagan Mosque, Aleengar, Aleengar,",1203060,1932,4,2,2,
"Laghman",703,"Salaw safla School, Aleengar, Aleengar",1203059,1744,3,2,1,
"Laghman",703,"Sandarwa School and Clinic, Aleengar, Aleengar",1203063,1558,3,2,1,
"Laghman",703,"Dara Koh School, Dara Koh Village",1203128,2400,6,3,3,
"Laghman",703,"Paryana School, Aleengar, Aleengar",1203077,3202,6,3,3,
"Laghman",703,"Chetlah",1203084,670,2,1,1,
"Laghman",703,"Kolak School, Aleengar, Aleengar",1203078,3626,7,4,3,
"Laghman",703,"Tag School, Aleengar, Aleengar",1203083,1320,3,2,1,
"Laghman",703,"Mandal Village Guestroom, Aleengar, Aleengar",1203079,2948,5,3,2,
"Laghman",703,"Kandi Mosque and village guestroom, Aleengar, Aleengar",1203055,1482,3,2,1,
"Laghman",703,"Udhar mosque ",1203085,710,2,1,1,
"Laghman",703,"Sayemi School in Sawoo Valley (Darah), Aleengar, Aleengar",1203075,2676,5,3,2,
"Laghman",703,"Parwayee School, Aleengar, Aleengar,",1203076,2290,4,2,2,
"Laghman",703,"Mazri School and Public Building, Aleengar, Aleengar",1203073,1500,4,2,2,
"Laghman",703,"An empty house in Ezat khil Village, Aleengar, Aleengar",1203072,2356,4,2,2,
"Laghman",703,"Qalatak School and Clinic, Aleengar, Aleengar",1203066,2939,5,3,2,
"Laghman",703,"A yard in Dalajeegar village, Aleengar, Aleengar",1203069,2813,5,3,2,
"Laghman",703,"Kotali Religious school, Aleengar, Aleengar",1203081,1091,3,1,2,
"Laghman",703,"An empty house in Mandoozi Village, Aleengar, Aleengar",1203071,2629,5,3,2,
"Laghman",703,"A building in Kalam dara (valley), Aleengar, Aleengar",1203074,2744,5,3,2,
"Laghman",704,"Doglan village and Guestroom, Dawlat shah",1205119,2120,4,2,2,
"Laghman",704,"Noorah keleh, Dawlat shah",1205126,840,2,1,1,
"Laghman",704,"An empty hotel and guestroom in District center, Dawlat shah",1205115,2344,4,2,2,
"Laghman",704,"Keel Mosque and ground, Dawlat shah",1205110,1391,3,2,1,
"Laghman",704,"Darmangi Village Mosque and Guestroom, Dawlat shah",1205116,1930,4,2,2,
"Laghman",704,"Khoaja Kando Village Mosque and Guestroom, Dowees seema, Dawlat shah",1205120,3380,6,4,2,
"Laghman",704,"Nayewa village Mosque and Guestroom, Dawlat shah",1205121,1664,3,2,1,
"Laghman",704,"Gomandook Moque and Guestroom, Dawlat shah",1205112,959,2,1,1,
"Laghman",704,"Neel Khan Mosque and Guestroom, Dawlat shah",1205111,1540,3,2,1,
"Laghman",704,"Tambali Mosque and ground, Dawlat shah, Dawlat shah",1205109,3323,6,4,2,
"Laghman",704,"Newbeladi School, Dawlat shah",1205125,730,2,1,1,
"Laghman",704,"Peetek Mosque and Guestroom, Dawlat shah , Dawlat shah",1205114,3800,7,4,3,
"Laghman",704,"Baladeh Village Mosque and Guestroom, Dawlat shah, Dawlatshah",1205122,1315,3,2,1,
"Laghman",704,"Darabagh Village Mosque and Guestroom, Dawlat shah",1205118,2196,4,2,2,
"Laghman",704,"Zarakmer School, Dawlat shah, Dawlat shah",1205123,720,2,1,1,
"Laghman",704,"Chasheedar School, Dawlat shah",1205124,1360,3,2,1,
"Laghman",704,"Bankari School, Dawlat shah",1205117,1424,3,2,1,
"Laghman",704,"Kark Mosque and Guestroom, Dawlat shah",1205113,2287,4,2,2,
"Laghman",705,"Peradawleh village Mosque and Guestroom, Aleesheng, Aleesheng",1204100,1432,3,2,1,
"Laghman",705,"Dehra Mia saheb village mosque and Guestroom, Aleesheng, Aleesheng",1204101,1398,3,2,1,
"Laghman",705,"Kotwal khando village Mosque and public place, Gonpal) Aleesheng",1204093,3498,6,3,3,
"Laghman",705,"Masamoo village and Guestroom, Aleesheng, Aleesheng",1204103,1805,4,2,2,
"Laghman",705,"Nooram payan village Mosque and Guestroom, Aleesheng, Aleesheng",1204102,2285,4,2,2,
"Laghman",705,"Watangato School and empty house, Aleesheng, Aleesheng",1204090,2114,4,2,2,
"Laghman",705,"Shamkat school and village guestroom, Aleesheng, Aleesheng",1204096,1658,3,2,1,
"Laghman",705,"Kandeel village Mosque and Empty house, Aleesheng, Aleesheng",1204092,3481,6,3,3,
"Laghman",705,"Parmawal village Mosque and Guestroom, Aleesheng, Aleesheng",1204094,1872,4,3,1,
"Laghman",705,"An empty place in Ghazi Aba village, Aleesheng, Aleesheng",1204089,1326,3,2,1,
"Laghman",705,"Salab sofla Big Mosuque, Aleesheng",1204107,2450,5,3,2,
"Laghman",705,"Domya Village Mosque and Guestroom, Aleesheng, Aleesheng",1204099,1404,3,2,1,
"Laghman",705,"Barakzeyoo Boys and Girls' school, Aleesheng, Aleesheng",1204095,2429,5,3,2,
"Laghman",705,"Mia Abdul Kareem School and Clinic, Aleesheng, Aleesheng,",1204088,3782,7,3,2,2
"Laghman",705,"Enjeel School and Kala bazar clinic, Aleesheng, Aleesheng",1204091,3590,6,4,2,
"Laghman",705,"Shamkat kochi village Mosque and Guestroom, Aleesheng, Aleesheng",1204106,1800,3,,,3
"Laghman",705,"Islam Abad Boys and Girls' School, Aleesheng, Aleesheng",1204097,3250,6,3,3,
"Laghman",705,"Areenay Kochi village Mosque and Guestroom, Aleesheng, Aleesheng",1204105,1440,3,,,3
"Laghman",705,"Salab school and empty ground, Aleesheng, Aleesheng",1204098,2476,5,3,2,
"Laghman",705,"Shukorman School, Aleesheng, Aleesheng",1204086,1576,3,2,1,
"Laghman",705,"Tarang School, Aleesheng , Aleesheng",1204087,1703,3,2,1,
"Laghman",705,"Chanak Mosque, Aleesheng",1204108,820,2,1,1,
"Laghman",705,"Saigal village Mosque and Guestroom, Aleesheng, Aleesheng",1204104,1732,3,2,1,
"Panjshir",801,"Manjohor",3301007,600,1,1,,
"Panjshir",801,"Malspa",3301003,1650,3,3,,
"Panjshir",801,"Khanis",3301006,1600,3,,3,
"Panjshir",801,"Malspa",3301004,1500,3,,3,
"Panjshir",801,"Khanis",3301005,1600,3,3,,
"Panjshir",801,"Bazaarak",3301001,5500,10,5,5,
"Panjshir",801,"Manjohor",3301008,600,2,,2,
"Panjshir",801,"Sanagana",3301002,3100,6,3,3,
"Panjshir",802,"Markaz Dara",3304043,2200,4,4,,
"Panjshir",802,"Tenbana",3304056,1150,2,1,1,
"Panjshir",802,"Faren Gall",3304064,1800,3,3,,
"Panjshir",802,"Astat Kalan",3304053,600,1,,1,
"Panjshir",802,"Khowja",3304047,2400,4,2,2,
"Panjshir",802,"Parngal",3304062,950,2,,2,
"Panjshir",802,"Dost Ali",3304051,1200,2,,2,
"Panjshir",802,"Parngal",3304061,800,2,2,,
"Panjshir",802,"Jar Ali",3304057,2100,4,2,2,
"Panjshir",802,"Malima",3304055,1800,3,,3,
"Panjshir",802,"Tan kho",3304060,600,1,,1,
"Panjshir",802,"Markaz Dara",3304044,1600,3,,3,
"Panjshir",802,"Tan kho",3304059,600,1,1,,
"Panjshir",802,"Dost Ali",3304050,2400,4,4,,
"Panjshir",802,"Sari Safid dar",3304046,4300,8,4,4,
"Panjshir",802,"Malima",3304054,2200,4,4,,
"Panjshir",802,"Gullab Khail",3304063,1200,2,1,1,
"Panjshir",802,"Faren Gall",3304065,1800,3,,3,
"Panjshir",802,"Pasgran",3304045,3601,7,4,3,
"Panjshir",802,"Astat Kalan",3304052,600,1,1,,
"Panjshir",802,"Baba Ali",3304048,2200,4,2,2,
"Panjshir",802,"Hali Shafi",3304058,1200,2,1,1,
"Panjshir",802,"Sangi Khan",3304049,2700,5,3,2,
"Panjshir",803,"Mata",3305019,1800,3,2,1,
"Panjshir",803,"Safid Chare",3305010,300,1,,1,
"Panjshir",803,"Ghanjo",3305017,2400,4,2,2,
"Panjshir",803,"Mata",3305018,2400,4,2,2,
"Panjshir",803,"Dashterewat Cline",3305092,1200,2,,,2
"Panjshir",803,"Omarz",3305012,7200,12,6,6,
"Panjshir",803,"Khawar",3305015,2800,5,5,,
"Panjshir",803,"Markaz Khanj",3305009,350,1,1,,
"Panjshir",803,"Omarz",3305013,4800,8,4,4,
"Panjshir",803,"Pashghor",3305011,7200,12,6,6,
"Panjshir",803,"Dasht Raiwat",3305014,2800,5,,5,
"Panjshir",803,"Dor nama",3305016,4700,8,4,4,
"Panjshir",804,"Dosta ( Kojan Jishta)",3307068,1150,2,1,1,
"Panjshir",804,"Choam bala Paryan",3307081,1100,2,1,1,
"Panjshir",804,"Varach Dah Pariayn",3307080,900,2,1,1,
"Panjshir",804,"Nowdang",3307070,600,1,1,,
"Panjshir",804,"Gull Koh",3307076,2000,4,2,2,
"Panjshir",804,"Dah khowak",3307073,1200,2,1,1,
"Panjshir",804,"Nowdang",3307071,600,1,,1,
"Panjshir",804,"Shal zor pariyan",3307095,1200,2,,,2
"Panjshir",804,"Aryoub",3307075,1200,2,1,1,
"Panjshir",804,"Kor Paitab",3307066,1200,2,2,,
"Panjshir",804,"Abu Anifa Religious  School",3307096,1200,2,,,2
"Panjshir",804,"Tol Panjsher",3307074,600,1,1,,
"Panjshir",804,"Kor Paitab",3307067,1000,2,,2,
"Panjshir",804,"Shal Kach",3307077,1200,2,1,1,
"Panjshir",804,"Do Abi Khowak",3307078,700,2,1,1,
"Panjshir",804,"Shaniz",3307082,1000,2,1,1,
"Panjshir",804,"Qala",3307072,1200,2,1,1,
"Panjshir",804,"Chawni khorak",3307094,1200,2,,,2
"Panjshir",804,"Nowdang",3307069,1200,2,1,1,
"Panjshir",804,"Pass Mazar",3307083,1750,3,2,1,
"Panjshir",804,"Shar Bland",3307079,850,2,1,1,
"Panjshir",805,"Janan Joy",3306088,800,2,1,1,
"Panjshir",805,"Andro Sat",3306089,2300,4,2,2,
"Panjshir",805,"Do Abi marghi wa Arzoo Shatal",3306093,1200,2,,,2
"Panjshir",805,"RayDarA",3306087,900,2,1,1,
"Panjshir",805,"Dah Kalan",3306084,1800,3,2,1,
"Panjshir",805,"Saighawar",3306085,1200,2,1,1,
"Panjshir",805,"Saighawar",3306086,1200,2,1,1,
"Panjshir",805,"Koraba",3306091,1100,2,1,1,
"Panjshir",805,"Koraba",3306090,2200,4,2,2,
"Panjshir",806,"Markaz Anaba",3303031,3100,6,,6,
"Panjshir",806,"Sangin",3303041,900,2,1,1,
"Panjshir",806,"Shafa",3303039,1000,2,1,1,
"Panjshir",806,"Tawakh",3303034,1700,3,3,,
"Panjshir",806,"Gym Mosque",3303037,2900,5,,5,
"Panjshir",806,"Zaman kor",3303029,2000,4,2,2,
"Panjshir",806,"Ab Dara",3303036,2700,5,5,,
"Panjshir",806,"Tawakh",3303035,1650,3,,3,
"Panjshir",806,"Darband",3303040,1000,2,1,1,
"Panjshir",806,"Qalacha",3303042,900,2,1,1,
"Panjshir",806,"Markaz Anaba",3303030,3100,6,6,,
"Panjshir",806,"Fraj",3303032,1500,3,3,,
"Panjshir",806,"Fraj",3303033,1800,3,,3,
"Panjshir",806,"Dashatak",3303038,1900,5,3,2,
"Panjshir",807,"Markaz Rokha",3302022,3200,6,3,3,
"Panjshir",807,"Marashtan",3302025,1200,2,1,1,
"Panjshir",807,"Markaz Rokha",3302021,3200,6,3,3,
"Panjshir",807,"Hesarak",3302024,1200,2,1,1,
"Panjshir",807,"Qabzan",3302023,4400,8,4,4,
"Panjshir",807,"Shaikhan",3302020,5000,9,5,4,
"Panjshir",807,"Paiya pusht",3302028,2400,4,2,2,
