id,name,distId,provId,lon,lat,ps_total,ps_male,ps_female
3201475,Mawlana Jame,3201,32,62.18022871,34.373389482,4,2,2
105474,Haji Ahmad Shah Mosque,105,1,69.2623854700001,34.60836995,4,2,2
106394,Dara-E-Shakar Dara High School,106,1,69.0344398500001,34.68545039,7,4,3
106395,Qala-E-Murad Big High School,106,1,69.0754151400001,34.66741061,6,3,3
114366,Abdul Rahman Ba Ba Secondary School,114,1,69.18468964,34.86588865,4,2,2
114367,Abdul Wakil Shaheed High School,114,1,69.15720909,34.84395674,5,3,2
115479,Yar Del Orya Khel Mosque,115,1,69.7199007500001,34.56868747,3,2,1
115480,Tezen-E-Khas Primary School,115,1,69.57981103,34.36484157,3,2,1
115517,Guga Manda School,115,1,69.5957826100001,34.57776629,2,1,1
115518,Sperkundi School,115,1,69.83624382,34.66239124,2,1,1
603084,Bakhtaan Clinic,603,6,70.40295759,34.43259103,2,0,2
603085,Fateh Abad Clinic,603,6,70.22309465,34.35657341,3,3,0
1007150,Takhta Ha Mosque,1007,10,66.9258533500001,34.08106757,2,1,1
1007151,Waaz Darghan Mosque,1007,10,66.9716103900001,34.03167321,2,1,1
1007159,Toop-E-Ismael Mosque,1007,10,66.9681941800001,34.11790565,3,2,1
1205081,Big Mosque,1205,12,69.0737705700001,32.9709349,2,2,0
1205082,Mohammad Hayat Guest House,1205,12,69.07476653,32.97138823,2,0,2
614495,Dor Khel Maidan,614,6,70.802447,34.35120751,2,2,0
615355,Koshtal Mainz Village Mosque,615,6,70.6941538280001,34.096795171,3,3,0
615362,Perokhelo Tapa Mosque,615,6,70.758938,34.11713102,4,3,1
615363,Deh Sarak Kuhna High School,615,6,70.73537675,34.13147321,2,1,1
617462,Amaan Village Speen Mosque,617,6,70.89086265,34.22176719,4,3,1
101123,Resalat Madrassa,101,1,69.1319405400001,34.499387,6,3,3
101124,Safid Mosque,101,1,69.12361663,34.4925901500001,7,4,3
101130,Sultan Razia Girls High School,101,1,69.15713866,34.49059366,10,3,7
101131,Family Haie Reshkhur High School,101,1,69.13631605,34.43177569,6,3,3
101157,Sayed Noor Mohammad Shah Mohammadia Mosque,101,1,69.2320002100001,34.51012161,4,3,1
101158,Ahmadi Mosque,101,1,69.23463786,34.50590043,5,3,2
101182,Alfath High School,101,1,69.20139129,34.53786616,6,3,3
101183,Abul Qasim Ferdawsi High School,101,1,69.20102822,34.5415653200001,5,3,2
101198,Mohammadia Mosque,101,1,69.1753669700001,34.56037592,4,2,2
101199,Bibi Ruqia Mosque,101,1,69.16987809,34.56087391,4,2,2
101213,Fatimia Mosque,101,1,69.17151227,34.54594068,4,2,2
101214,Sarak-E-Chahar Mosque,101,1,69.1659330900001,34.54569498,2,1,1
101218,Haji Qasim Mosque,101,1,69.1978509400001,34.54416071,3,2,1
101219,Bibi Mahru Girls High School,101,1,69.2000190200001,34.54655347,6,2,4
1208126,Mawlavi Serajuddin Madressa,1208,12,69.00664213,32.18463805,4,3,1
1208127,Shekin Bazaar Mosque,1208,12,68.85172837,32.44728365,3,3,0
1308207,Moti School,1308,13,69.67766876,33.885779689,2,1,1
1309170,Kotkai Mosque,1309,13,69.7848217,33.66666217,3,3,0
1401003,Omer Village Dermand,1401,14,69.9427947,33.32614995,5,4,1
1401004,Mohammad Vally Shah Hojra,1401,14,69.94409176,33.3276505000001,4,2,2
1902115,Salarzai Mosque,1902,19,68.849979684,36.632766822,3,2,1
1905093,Nomania Secondary School,1905,19,68.89822911,37.19456548,4,3,1
1905094,Ortablaqi School,1905,19,68.9059141100001,37.15549619,4,3,1
2005072,Aabkhorak Madrassa,2005,20,67.76274366,35.50397325,4,3,1
2005073,Do Aab Madrassa,2005,20,67.81933833,35.5649199800001,3,2,1
2804069,Chaar Changhoo High School,2804,28,66.08406227,37.00583957,5,3,2
2804070,Mangjeek School,2804,28,66.1370851500001,37.01402769,4,2,2
2806086,Qarnas School,2806,28,65.7169530400001,37.53171547,3,2,1
2806087,Chopli Tapa,2806,28,65.80223849,37.49518735,2,1,1
2909158,Qozi Bay Qala Girls High School,2909,29,64.88473039,36.41997614,5,3,2
2909159,Jar Qala School,2909,29,64.90297028,36.36500584,4,2,2
3202078,Shohada Secondary School,3202,32,62.39698059,34.2796054400001,2,2,0
3206128,Shah Abad School,3206,32,62.62732016,34.22481174,5,3,2
3206129,Gul Meer High School,3206,32,62.59203992,34.2180142,3,2,1
3401007,Zaranj Hostel,3401,34,61.858275,30.946666,3,2,1
101086,Hazrat Shamsul Mashayakh High School,101,1,69.1124520000001,34.524206,8,4,4
101022,Parsa Primary School,101,1,69.1707000000001,34.5335,8,4,4
101060,Dehkepak Girls High School,101,1,69.12468,34.5444570000001,8,3,5
2309189,Khameen Secondary School,2309,23,63.82927902,33.82865917,3,2,1
2309190,Arbab Malek Private House,2309,23,63.85116644,34.14520214,4,2,2
615375,Medanak Sadeq Hujra,615,6,70.6901128,34.13027579,3,2,1
620402,Tarkhai Primary School,620,6,70.79602604,34.0716142,3,2,1
1201017,Merza Qala Mosque,1201,12,68.76837563,33.13743336,3,3,0
1201018,Asghar Guest House,1201,12,68.76859979,33.13720056,3,0,3
3203117,Kochis Location,3203,32,62.3762902600001,34.06038433,2,1,1
404083,Saleh Mohammad House,404,4,68.66176371,34.13266218,4,2,2
1214264,Makhfirollah Guest House,1214,12,69.3419584800001,32.7912084700001,2,0,2
2709131,Juma Khan Private House,2709,27,65.1603010800001,32.05788655,2,1,1
3104075,Gunbad Mosque,3104,31,63.70694444,34.67777777,2,1,1
1007188,Mosque,1007,10,66.9287503030001,34.2747286090001,3,2,1
1111406,Qari Abdullah School,1111,11,68.14171882,33.2470753150001,3,2,1
101014,Khwaja Safa Mosque,101,1,69.178974,34.5070420000001,2,1,1
101016,Ansori Balkhi School,101,1,69.1897200000001,34.52555,5,3,2
101141,Deh Dana Girls High School,101,1,69.1335300000001,34.4696,6,2,4
101153,Mohammad Hashim Maiwandwal High School,101,1,69.224282,34.506806,5,3,2
101160,Usman Ghani Mosque,101,1,69.2342,34.5,5,3,2
101162,Shah Pacha Mosque,101,1,69.2250440000001,34.509681,5,3,2
101248,500 Family Mosque,101,1,69.149183,34.591459,3,2,1
101496,Emam Jafar Mosque,101,1,69.1290000000001,34.4891000000001,3,2,1
101291,Parwareshgah Fresht-E-Nejat,101,1,69.159334,34.5828730000001,7,3,4
101308,Hazrat-E-Yousuf Mosque,101,1,69.1600000000001,34.5853000000001,4,2,2
2717015,Haji Arab School,2716,27,65.709543,31.592479,6,3,3
2717052,Salo Khan Chaman Mosque,2716,27,65.696402,31.591113,7,4,3
101237,Abdul Ghafor Nadim High School,101,1,69.13585256,34.5765601,7,4,3
101238,Hazrat Yousuf Mosque,101,1,69.14429722,34.56518055,6,2,4
101257,Imam Mohammad Taqi Mosque,101,1,69.06990089,34.50474088,3,1,2
101258,Abdur Rahim Shaheed High School,101,1,69.07752777,34.49613888,12,6,6
101262,Musa Ibne Jafar Mosque,101,1,69.06700537,34.48731744,3,1,2
101263,Marefat High School,101,1,69.0546793500001,34.49991778,9,5,4
617463,Sulh Azadi Commerce High School,617,6,71.0442289900001,34.20087095,4,4,0
101529,Prozha Khurasan Mosque,101,1,69.160067815,34.572254345,3,2,1
101530,Khoja Bughra Mosque,101,1,69.1636212000001,34.581793968,3,2,1
101531,Sedeq Akbar High School,101,1,69.068285149,34.606757086,5,3,2
105533,Haji Abdullah Khan Mosque,105,1,69.390961368,34.56682518,3,2,1
105541,Qais Wa Lang Mosque,105,1,69.372638397,34.603846217,3,2,1
106542,Shahrak Alghawi Mosque,106,1,69.1692788,34.617692925,3,2,1
605511,School,605,6,70.622426047,34.403086896,3,2,1
602509,Primary School,602,6,70.6639169250001,34.387488467,3,2,1
603510,Saido Khil School,603,6,70.3233744390001,34.4240597190001,3,2,1
605514,Mosque,605,6,70.65022811,34.431119083,3,2,1
606515,Gambiri School,606,6,70.530009643,34.5637407340001,3,2,1
608516,High School,608,6,70.189873303,34.347362086,3,2,1
801097,Koh Manjahoor Secondary School,801,8,69.546815897,35.3097522400001,3,2,1
801098,Marshal Faheem Mosque,801,8,69.47956859,35.277739142,3,2,1
903262,Sang Sorakh Secondary School,903,9,68.7691969190001,35.758910542,3,2,1
903263,Nasri Secondary School,903,9,68.8050768240001,35.837026663,3,2,1
903264,School,903,9,68.647883396,35.598126999,3,2,1
1701284,Al Jahad High School,1701,17,70.536641035,37.105604606,3,2,1
1704292,Warig High School,1704,17,70.455790503,37.298549245,3,2,1
1704293,Pahn Dara Secondary School,1704,17,70.426839277,37.364836385,3,2,1
1707294,Targani Payan Madrasa,1707,17,70.4372775030001,36.864329893,3,2,1
1404182,Shahr Kli Mosque,1404,14,69.867197476,33.288715133,3,2,1
1401024,Mohammad Anwer Mosque And Hojra,1401,14,69.881096,33.3340150000001,3,2,1
1211163,Orgon Old School,1211,12,69.158374,32.918975,2,2,0
1214252,Molla Aqib Khan Guest House,1214,12,69.286422,32.740717,3,0,3
1728211,Khana Qala Panja Mosque,1728,17,72.794213572,36.976909753,2,1,1
1701008,Itifaq Mosque,1701,17,70.5771989,37.11921975,6,4,2
1701009,Ziauddin Shaheed School,1701,17,70.5295239800001,37.15679029,4,3,1
1906185,Mula Qali High School,1906,19,69.1745375400001,37.08745351,3,2,1
1905067,Qarghan Tapa Secondary School,1905,19,68.94444444,37.21777777,4,3,1
1701019,Makhfi High School Old Building,1701,17,70.5808419300001,37.11750057,5,3,2
1702056,Shahr-E-Wahdat Girls High School,1702,17,70.42126568,37.05186245,4,3,1
