id,name,provId,geoId,totalPopulation,observersFirstRound,observersRunOff
1604,Nurgaram,16,1604,31400,15,12
1603,Wama,16,1603,10800,18,20
1602,Waygal,16,1602,19100,13,7
1606,Kamdesh,16,1606,24500,5,0
1608,Barg-e- Matal,16,1608,15000,13,0
1701,Faiz Abad,17,1701,64700,20,82
1704,Yaftal-e-Sufla,17,1704,51300,0,34
1702,Argo,17,1702,76200,18,66
1703,Arghanj Khwa,17,1703,15600,3,8
1708,Kohistan,17,1708,16100,0,0
1714,Raghistan,17,1714,38500,0,0
1709,Yawan,17,1709,31500,0,0
1713,Shahr-e-Buzorg,17,1713,50800,0,34
1711,Teshkan,17,1711,29100,12,23
1707,Darayem,17,1707,59900,18,36
1705,Khash,17,1705,37000,10,5
1706,Baharak,17,1706,28000,11,29
1712,Shuhada,17,1712,33600,0,12
1719,Shighnan,17,1719,27000,0,2
1727,Darwaz-e-Balla,17,1727,22500,0,3
1721,Kof Ab,17,1721,21800,0,0
1720,Khwahan,17,1720,16100,0,0
1715,Keshem,17,1715,78600,18,45
1717,Tagab,17,1717,27300,0,7
1718,Yamgan,17,1718,25000,0,0
1710,Jorm,17,1710,36500,0,16
1716,Warduj,17,1716,21300,0,19
1723,Ishkashem,17,1723,13500,0,12
1722,Darwaz,17,1722,25700,0,5
1724,Shaki,17,1724,25600,0,3
1726,Koran wa Monjan,17,1726,9300,0,0
1725,Zebak,17,1725,7700,0,6
1728,Wakhan,17,1728,14500,0,0
1801,Taloqan,18,1801,219000,16,123
1802,Hazar Sumuch,18,1802,13400,5,13
1803,Baharak,18,1803,30000,16,20
1804,Bangi,18,1804,34100,0,14
1805,Chal,18,1805,27500,0,12
1806,Namak Ab,18,1806,11900,0,9
1808,Farkhar,18,1808,45400,16,26
1807,Kalafgan,18,1807,34200,16,19
1810,Rostaq,18,1810,159400,16,68
1816,Chah Ab,18,1816,76300,0,31
1817,Yangi Qala,18,1817,43200,0,0
1814,Khwaja Bahawuddin,18,1814,22600,0,0
1812,Dasht-e-Qala,18,1812,31100,15,23
1809,Khwaja Ghar,18,1809,65200,16,35
1811,Ishkamish,18,1811,57300,0,0
1813,Warsaj,18,1813,36900,16,26
1815,Darqad,18,1815,26200,0,0
1901,Kunduz,19,1901,304600,20,169
1905,Imam Saheb,19,1905,225800,20,74
1907,Qala-e-Zal,19,1907,67500,20,21
1902,Chahar Darah,19,1902,71400,0,19
1903,Ali Abad,19,1903,45800,16,39
1904,Khan Abad,19,1904,156300,20,39
1906,Dasht-e-Archi,19,1906,82400,15,28
2101,Mazar-e-Sharif,21,2101,368100,20,251
2102,Nahr-e- Shahi,21,2102,43700,17,30
2112,Shor Tepa,21,2112,38500,14,18
2109,Dawlat Abad,21,2109,101900,20,52
2106,Balkh,21,2106,116300,20,98
2103,Deh Dadi,21,2103,65600,20,34
2104,Chahar Kent,21,2104,43200,16,19
2105,Marmul,21,2105,11100,6,10
2110,Khulm,21,2110,68900,20,38
2113,Kaldar,21,2113,19400,10,10
2116,Sharak-e-Hayratan,21,2116,0,0,0
2111,Chahar Bolak,21,2111,78700,20,45
2108,Chemtal,21,2108,89200,20,40
2107,Sholgareh,21,2107,110600,20,56
2114,Kishindeh,21,2114,47300,20,24
2115,Zari,21,2115,42600,20,4
2001,Aybak,20,2001,100500,20,97
2002,Hazrat-e- Sultan,20,2002,40200,13,21
2004,Feroz Nakhchir,20,2004,12700,3,7
2006,Darah Suf-e- Payin,20,2006,69400,15,28
2007,Darah Suf-e-Bala,20,2007,62900,15,36
2003,Khuram wa Sarbagh,20,2003,38800,15,20
2005,Ruy-e-Du Ab,20,2005,44300,0,26
2201,Sar-e-Pul,22,2201,0,15,80
2202,Sayad,22,2202,0,15,19
2203,Kohistanat,22,2203,0,15,0
2204,Sozma Qala,22,2204,0,15,22
2206,Gosfandi,22,2206,0,15,23
2207,Balkh Ab,22,2207,0,0,30
2205,Sang(San)Charak,22,2205,0,15,39
2301,Chaghcharan,23,2301,131800,44,113
2304,Chahar Sadra,23,2304,26600,15,14
2302,Du Lina,23,2302,35100,15,14
2303,Dawlat Yar,23,2303,31800,21,26
2306,Shahrak,23,2306,58200,18,21
2308,Taywarah,23,2308,88900,18,21
2305,Pasaband,23,2305,92200,18,0
2307,Lal Wa Sarjangal,23,2307,108900,28,54
2309,Tolak,23,2309,50000,18,25
2310,Saghar,23,2310,33700,18,16
2401,Nili,24,2401,39600,22,31
2404,Ashtarlay,24,2403,46300,22,31
2405,Khadir,24,2404,45300,22,1
2406,kiti,24,2405,32600,22,1
2403,Gizab,24,2409,65800,22,2
2402,Shahristan,24,2402,64599,22,43
2408,Sang-e-Takht,24,2407,49300,22,0
2409,Kajran,24,2408,34100,22,23
2407,Miramor,24,2406,60900,22,27
2501,Tirin Kot,25,2501,99700,36,85
2503,Chora,25,2503,49700,15,19
2504,Shahid-e-Hassas,25,2504,57300,15,17
2502,Dehrawud,25,2502,59400,21,34
2505,Khas Uruzgan,25,2505,54900,0,24
2601,Qalat,26,2601,34300,32,80
2605,Arghandab,26,2605,31700,19,13
2604,Mizan,26,2604,13400,8,0
2602,Tarnak Wa Jaldak,26,2602,16700,16,20
2603,Shinkay,26,2603,22900,14,18
2606,Shah Joy,26,2606,56800,19,22
2611,Kakar,26,2611,0,0,0
2607,Day chopan,26,2607,38300,0,3
2608,Atghar,26,2608,8400,0,0
2610,Shomulzay,26,2610,25100,15,0
2609,Naw Bahar,26,2609,18300,6,0
1201,Sharan,12,1201,48600,40,77
1202,Mata Khan,12,1202,24200,19,21
1203,Yosuf Khel,12,1203,13100,13,19
1205,Sar Hawzeh(Rawzeh),12,1205,22500,15,25
1207,Zarghun Shahr,12,1207,29100,21,36
1204,Yahya Khel,12,1204,16900,17,21
1206,Omna,12,1206,11800,11,0
1208,Gomal,12,1208,7600,17,25
1210,Sarobi,12,1210,12100,17,0
1211,Urgun,12,1211,53700,17,37
1213,Nika,12,1213,12100,12,0
1209,Jani Khel,12,1209,23300,17,0
1217,Waza Khah,12,1217,22500,0,0
1218,Wor Mamay,12,1218,3400,0,0
1214,Bermel (Burmul),12,1214,33800,17,0
1215,Gian,12,1215,33900,17,0
1212,Ziruk,12,1212,18700,14,13
1216,Dila,12,1216,24500,0,0
1219,Turwo (Tarwe),12,1219,2000,0,0
1401,Khost(Matun),14,1401,133700,52,135
1407,Sabri,14,1407,68900,0,0
1405,Musa Khel,14,1405,39800,17,0
1406,Nadir Shah Kot,14,1406,31000,15,15
1402,Mando Zayi,14,1402,54800,28,36
1404,Tani,14,1404,58000,32,44
1403,Gurbuz,14,1403,25500,21,22
1408,Tere Zayi,14,1408,43400,20,30
1410,Qalandar,14,1410,9900,0,12
1412,Shamal (Shamul),14,1412,13300,7,10
1411,Spera,14,1411,23600,0,0
1409,Bak,14,1409,21500,0,14
1413,Jaji Maydan,14,1413,23400,28,24
2801,Shiberghan,28,2801,161700,17,169
2804,Mingajik,28,2804,41700,14,0
2802,Khwaja Du Koh,28,2802,26200,9,12
2805,Qush Tepa,28,2805,22800,14,0
2808,Fayz Abad,28,2808,40500,14,15
2803,Khanaqa,28,2803,22600,9,10
2807,Aqcha,28,2807,73900,14,29
2809,Mardyan,28,2809,37500,12,15
2810,Qarqin,28,2810,23800,12,0
2806,Khamyab,28,2806,13600,0,8
2811,Darz Ab,28,2811,47800,0,0
2901,Maymana,29,2901,78500,20,88
2903,Khwaja Sabzposh,29,2903,49400,15,32
2902,Pashtun kot,29,2902,183500,15,46
2906,Shirin Tagab,29,2906,79100,15,30
2904,Almar,29,2904,68300,0,0
2907,Qaysar,29,2907,138400,15,1
2910,Kohistan,29,2910,53100,15,0
2908,Garziwan,29,2908,73700,15,36
2905,Bil Cheragh,29,2905,50700,15,0
2909,Dawlat Abad,29,2909,47200,15,2
2913,Andkhoy,29,2913,38700,15,27
2911,Qaram Qol,29,2911,19100,10,12
2914,Khan-e-Chahar Bagh,29,2914,22500,10,3
2912,Qorghan,29,2912,45800,15,16
3101,Qala-e-Naw,31,3101,64099,45,73
3103,Muqur,31,3103,23100,13,10
3102,Ab Kamari,31,3102,71600,25,35
3104,Qadis,31,3104,88400,23,41
3106,Jawand,31,3106,76600,17,0
3105,Bala Murghab,31,3105,94500,12,13
3107,Ghormach,31,3107,53600,17,0
3201,Hirat,32,3201,436300,68,246
3202,Injil,32,3202,237800,38,79
3207,Kushk,32,3207,121000,26,38
3205,Zinda Jan,32,3205,55500,23,28
3203,Guzara,32,3203,142700,38,50
3206,Pashtun Zarghun,32,3206,97500,26,39
3204,Karukh,32,3204,62000,23,32
3208,Gulran,32,3208,91500,26,28
3211,Ghoryan,32,3211,85900,8,32
3209,Adraskan,32,3209,52200,20,32
3215,Farsi,32,3215,29800,15,19
3212,Obe,32,3212,73600,20,28
3210,Kushk-e-Kohna,32,3210,44400,17,18
3213,Kohsan,32,3213,52900,22,29
3214,Shindand,32,3214,173800,0,42
3216,Chisht-e-Sharif,32,3216,23100,15,27
3301,Farah,33,3301,108400,56,142
3308,Bakwa,33,3308,34500,0,0
3306,Bala Buluk,33,3306,69500,17,1
3303,Khak-e-Safed,33,3303,29500,11,0
3302,Pusht Rod,33,3302,39500,21,23
3304,Qala-e-Kah,33,3304,29900,27,23
3305,Shib Koh,33,3305,22700,10,19
3309,Lash-e-Juwayn,33,3309,27100,26,7
3310,Gulestan,33,3310,42200,0,3
3311,Pur Chaman,33,3311,52000,17,0
3307,Anar Dara,33,3307,27100,14,18
3001,Lashkar Gah,30,3001,100200,59,109
3004,Nahr-e-Saraj,30,3004,114200,32,46
3002,Nad-e-Ali,30,3002,88600,23,32
3003,Nawa-e-Barak Zaiy,30,3003,90400,22,35
3008,Sangin,30,3008,58100,15,0
3009,Musa Qaleh,30,3009,57500,15,0
3007,Naw Zad,30,3007,49500,10,0
3005,Wa Sher,30,3005,15200,0,2
3006,Garm Ser,30,3006,85500,16,21
3010,Kajaki,30,3010,69300,0,0
3012,Baghran,30,3012,0,0,0
3011,Reg(khan Neshin),30,3011,25600,12,0
3013,Deh shu,30,3013,0,0,0
2701,Kandahar,27,2701,491500,60,161
2702,Arghandab,27,2702,60200,20,32
2705,Zheray,27,2705,83400,16,29
2704,Panj wayi,27,2704,84700,16,38
2703,Daman,27,2703,33700,24,30
2706,Shah Wali Kot,27,2706,42200,10,11
2707,Khakrez,27,2707,22200,13,9
2710,Maywand,27,2710,57000,16,15
2716,Reg,27,2716,8700,0,8
2714,Shor Abak,27,2714,11200,0,0
2711,Spin Boldak,27,2711,97800,16,60
2708,Arghistan,27,2708,33400,16,15
2713,Miyanshin,27,2713,14600,16,0
2712,Nesh,27,2712,13000,0,0
2709,Ghorak,27,2709,9400,5,0
2715,Maruf,27,2715,32100,16,0
3401,Zaranj,34,3401,54900,44,69
3402,Kang,34,3402,21800,18,23
3404,Chahar Burjak,34,3404,25700,12,22
3403,Chakhansur,34,3403,23100,8,28
3405,Khash Rod,34,3405,24700,6,20
1312,Laja Mangal,,1312,0,16,2
808,Abshar,,808,0,10,8
2718,Takhta Pul,,2718,0,0,4
2717,Dand,,2717,0,24,2
2506,Chenarto,,2507,0,2,4
1313,Meerzaka,,1313,0,22,9
3014,Marja,,3014,0,0,25
3406,Delaram,,3406,0,0,18
