id,name,distId,provId,lat,lon,closed,ps_female,ps_male,ps_total
101001,Ashuqan-O-Arifan High School,101,1,34.50867443,69.18066344,0,2,3,5
1308138,Venus Khel Mosque,1308,13,33.8758094800001,69.6333802,0,0,3,3
605160,Darbang School,605,6,34.4562396270002,70.5942892450001,0,1,2,3
619243,Mama Khel High School,619,6,34.2467299400001,69.99698577,0,2,0,2
614499,Private House,614,6,34.4795246200001,70.92009011,0,2,0,2
615385,Bandar Khola Jaame Mosque,615,6,34.0697958200001,70.76374529,1,0,2,2
3214301,Qandiz Qademi Mosque ,3214,32,33.3064080500001,62.1427384500001,0,1,3,4
3203117,Kochis Location,3203,32,34.06038433,62.3762902600001,0,1,1,2
2106177,Shamsullah Private House,2106,21,36.9106549360001,66.8483468630001,0,1,1,2
206095,Shaheed Hafizullah Secondary School,206,2,34.8870519400001,69.68533361,0,0,3,3
310131,District Building ,310,3,34.9465631600001,68.5413121510001,0,1,1,2
3212376,Posht-E- Paji Mosque,3212,32,34.27624227,63.2414726200001,0,1,1,2
3212377,Sarwan School ,3212,32,34.2890784900001,63.0578306700001,0,2,3,5
307090,Du Aab Mosque,307,3,35.0053074100001,68.86111751,0,1,2,3
2301039,Jandak School,2301,23,34.99556325,65.70398113,0,2,3,5
704076,Parwayee School,704,7,34.86126123,70.36992997,0,1,1,2
704080,Mango School And Tent,704,7,34.8866182900001,70.3794519700001,0,1,1,2
704081,Kotaly Islamic Madrassa,704,7,34.9232741800001,70.3919603200001,0,1,1,2
1506063,Primary School,1506,15,34.9498063500001,71.22808631,0,2,3,5
1506064,District Compound,1506,15,34.96645553,71.27483787,0,2,3,5
1512054,Byadad Primary School,1512,15,35.0156009800001,71.39875741,0,2,2,4
2305113,Takhta Tarma Bazar Tent,2305,23,33.7876423800001,64.8916015,0,1,2,3
2305134,Surkhak Village Mosque,2305,23,33.6059789600001,65.2299954800001,1,1,1,2
2309178,Tolak School,2309,23,33.9718644400001,63.71988353,0,1,2,3
2309186,Tagab Ashlan Secondary School,2309,23,34.12008072,63.6318589600001,0,1,3,4
2309192,Arbab Mir Gul Private House,2309,23,34.15350051,63.5195672500001,0,1,1,2
2309193,Sang Khalq Primary School,2309,23,33.94593145,63.79730451,0,1,2,3
3007196,Asad Suri High School,3007,30,32.404516,64.4708569100001,0,1,6,7
3009184,Noor Mohammad Private House,3009,30,32.23240214,64.6983095,0,2,3,5
3009185,Khan Mohammad Mosque,3009,30,32.26020614,64.7452245400001,0,2,3,5
3105153,Akazi School,3105,31,35.6137384700001,63.3107353200001,0,1,1,2
3105158,Joy-E- Kar School,3105,31,35.52160345,63.37038205,0,1,2,3
3105168,Mahalla-E- Paheen  School,3105,31,35.3253650400001,63.6413523900001,0,2,3,5
3105188,Sarkhlang Joy-E-Ganj Mosque,3105,31,35.6121543500001,63.32484536,0,1,1,2
3303055,Kariz Sadiq Mosque ,3303,33,32.90659178,61.90357121,0,1,1,2
3303239,Ghorchi Mosque ,3303,33,32.60276273,62.09337379,0,1,1,2
3304072,Hassan Abad Ulya Mosque ,3304,33,32.2993253600001,61.29710971,0,1,1,2
3306149,Todanak Village Tent (Kuchi),3306,33,32.76432537,62.5784622400001,0,1,1,2
3310177,Mughol Abad Mosque ,3310,33,32.55547772,63.2338586800001,0,1,1,2
205039,Qazi Abdul Jamil  School ,205,2,34.95213325,69.59841878,0,2,1,3
206078,Ghazi Usman High School,206,2,34.85358832,69.6453694300001,0,0,3,3
308143,Mula Ahmad Khel School,308,3,34.85720486,69.3929361000001,0,1,1,2
308144,Dandar School,308,3,34.7948341900001,69.4639738100001,0,1,1,2
703093,Kotwal Khando Village Mosque,703,7,34.77972019,70.11452913,0,1,2,3
1513082,Morchal Village Primary School,1513,15,34.9973961100001,70.7366576,0,1,3,4
1514083,Bar Noor Gul Boys High School,1514,15,34.6140800600001,70.7620080800001,0,2,1,3
1702054,Gazan Mosque,1702,17,36.9862397700001,70.63250517,0,1,2,3
1702055,Bagh Mubarak School,1702,17,37.05528508,70.6547012300001,0,1,2,3
2308232,Seb Talkh School,2308,23,33.5924181500001,64.22200661,0,1,1,2
3104086,Qoole Zardak,3104,31,34.7617870900001,63.5289074300001,0,1,1,2
3310172,Qala Kohna Boys Primary School,3310,33,32.61456274,63.6732466,0,1,1,2
3406057,Dangar Abad ,3405,34,32.1934924000001,63.5580162300001,0,1,1,2
306064,Takhma Mosque,306,3,35.1753623310001,69.2223161540001,0,1,2,3
3104080,Nawa Mullah Gadah Mosque,3104,31,34.7153144150001,63.863211312,0,1,1,2
309142,Ziarat-E-Shah Daleer Lolenj ,309,3,34.9163567540001,68.6460671160001,0,1,1,2
101013,Takya Khana-E-Umomi,101,1,34.5108701,69.1751191100001,0,2,3,5
101244,No.16Th Secondary School,101,1,34.5695,69.13307222,0,3,4,7
102417,Orya Khel Secondary School,102,1,34.5427799100001,68.964355,0,1,1,2
102418,Saha-E-Kuchiha,102,1,34.48005115,68.94906596,0,1,2,3
103422,Malik Khani House,103,1,34.3522922200001,69.1171451000001,0,1,1,2
103423,Chahar Asyab Boys High School,103,1,34.41689761,69.1451815300001,0,1,2,3
104459,Shaheed Mohammad Arif Zarif Secondary School,104,1,34.4701052120001,69.2006840620001,0,2,2,4
104460,Kariz Bakr Primary School,104,1,34.4675,69.31333333,0,1,2,3
105472,Deh Sabz-E-Khas Girls High School,105,1,34.646100641,69.3945421760001,0,1,1,2
105474,Haji Ahmad Shah Mosque,105,1,34.6083699500002,69.2623854700001,0,2,2,4
106394,Dara-E-Shakar Dara High School,106,1,34.6854503900001,69.03443985,0,3,4,7
106395,Qala-E-Murad Big High School,106,1,34.66741061,69.07541514,0,3,3,6
114366,Abdul Rahman Ba Ba Secondary School,114,1,34.8658886500001,69.18468964,0,2,2,4
114367,Abdul Wakil Shaheed High School,114,1,34.8439567400001,69.15720909,0,2,3,5
115479,Yar Del Orya Khel Mosque,115,1,34.56868747,69.7199007500001,0,1,2,3
115480,Tezen-E-Khas Primary School,115,1,34.3648415700001,69.57981103,0,1,2,3
115517,Guga Manda School,115,1,34.5777662900001,69.5957826100001,0,1,1,2
115518,Sperkundi School,115,1,34.66239124,69.83624382,0,1,1,2
603084,Bakhtaan Clinic,603,6,34.43259103,70.40295759,0,2,0,2
603085,Fateh Abad Clinic,603,6,34.3565734100001,70.2230946500001,0,0,3,3
1007150,Takhta Ha Mosque,1007,10,34.0810675700001,66.9258533500001,0,1,1,2
1007151,Waaz Darghan Mosque,1007,10,34.0316732100001,66.9716103900001,0,1,1,2
1007159,Toop-E-Ismael Mosque,1007,10,34.1179056500001,66.9681941800001,0,1,2,3
1205081,Big Mosque,1205,12,32.9709349,69.0737705700001,0,0,2,2
1205082,Mohammad Hayat Guest House,1205,12,32.9713882300001,69.07476653,0,2,0,2
1208126,Mawlavi Serajuddin Madressa,1208,12,32.1846380500001,69.00664213,0,1,3,4
1208127,Shekin Bazaar Mosque,1208,12,32.44728365,68.8517283700001,0,0,2,2
1308207,Moti School,1308,13,33.885779689,69.6776687600001,0,1,1,2
1309170,Kotkai Mosque,1309,13,33.6666621700001,69.7848217000001,0,0,2,2
1401003,Omer Village Dermand,1401,14,33.3261499500001,69.9427947,0,1,3,4
1401004,Mohammad Vally Shah Hojra,1401,14,33.3276505000001,69.94409176,0,1,1,2
1902115,Salarzai Mosque,1902,19,36.632766822,68.8499796840001,0,1,2,3
1905093,Nomania Secondary School,1905,19,37.1945654800001,68.89822911,0,1,3,4
1905094,Ortablaqi School,1905,19,37.1554961900001,68.9059141100001,0,1,2,3
2005072,Aabkhorak Madrassa,2005,20,35.5039732500001,67.76274366,0,1,3,4
2005073,Do Aab Madrassa,2005,20,35.5649199800001,67.81933833,0,1,2,3
2804069,Chaar Changhoo High School,2804,28,37.00583957,66.0840622700001,0,2,2,4
2804070,Mangjeek School,2804,28,37.01402769,66.1370851500001,0,2,2,4
