id,name,provId,geoId,totalPopulation,observersFirstRound,observersRunOff
1513,Chapa Dara,15,1513,0,8,0
1514,Nurgal,15,1514,0,0,11
1515,Nari,15,1515,0,0,0
1601,Poruns,16,1601,"13,200",34,23
1607,Mandol,16,1607,0,6,0
1605,Du Ab,16,1605,"7,700",4,3
1604,Nurgaram,16,1604,"31,400",15,12
1603,Wama,16,1603,"10,800",18,20
1602,Waygal,16,1602,"19,100",13,7
1606,Kamdesh,16,1606,"24,500",5,0
1608,Barg-e- Matal,16,1608,"15,000",13,0
1701,Faiz Abad,17,1701,"64,700",20,82
1704,Yaftal-e-Sufla,17,1704,"51,300",0,34
1702,Argo,17,1702,"76,200",18,66
1703,Arghanj Khwa,17,1703,"15,600",3,8
1708,Kohistan,17,1708,"16,100",0,0
1714,Raghistan,17,1714,"38,500",0,0
1709,Yawan,17,1709,"31,500",0,0
1713,Shahr-e-Buzorg,17,1713,"50,800",0,34
1711,Teshkan,17,1711,"29,100",12,23
1707,Darayem,17,1707,"59,900",18,36
1705,Khash,17,1705,"37,000",10,5
1706,Baharak,17,1706,"28,000",11,29
1712,Shuhada,17,1712,"33,600",0,12
1719,Shighnan,17,1719,"27,000",0,2
1727,Darwaz-e-Balla,17,1727,"22,500",0,3
1721,Kof Ab,17,1721,"21,800",0,0
1720,Khwahan,17,1720,"16,100",0,0
1715,Keshem,17,1715,"78,600",18,45
1717,Tagab,17,1717,"27,300",0,7
1718,Yamgan,17,1718,"25,000",0,0
1710,Jorm,17,1710,"36,500",0,16
1716,Warduj,17,1716,"21,300",0,19
1723,Ishkashem,17,1723,"13,500",0,12
1722,Darwaz,17,1722,"25,700",0,5
1724,Shaki,17,1724,"25,600",0,3
1726,Koran wa Monjan,17,1726,"9,300",0,0
1725,Zebak,17,1725,"7,700",0,6
1728,Wakhan,17,1728,"14,500",0,0
1801,Taloqan,18,1801,"219,000",16,123
1802,Hazar Sumuch,18,1802,"13,400",5,13
1803,Baharak,18,1803,"30,000",16,20
1804,Bangi,18,1804,"34,100",0,14
1805,Chal,18,1805,"27,500",0,12
1806,Namak Ab,18,1806,"11,900",0,9
1808,Farkhar,18,1808,"45,400",16,26
1807,Kalafgan,18,1807,"34,200",16,19
1810,Rostaq,18,1810,"159,400",16,68
1816,Chah Ab,18,1816,"76,300",0,31
1817,Yangi Qala,18,1817,"43,200",0,0
1814,Khwaja Bahawuddin,18,1814,"22,600",0,0
1812,Dasht-e-Qala,18,1812,"31,100",15,23
1809,Khwaja Ghar,18,1809,"65,200",16,35
1811,Ishkamish,18,1811,"57,300",0,0
1813,Warsaj,18,1813,"36,900",16,26
1815,Darqad,18,1815,"26,200",0,0
1901,Kunduz,19,1901,"304,600",20,169
1905,Imam Saheb,19,1905,"225,800",20,74
1907,Qala-e-Zal,19,1907,"67,500",20,21
1902,Chahar Darah,19,1902,"71,400",0,19
1903,Ali Abad,19,1903,"45,800",16,39
1904,Khan Abad,19,1904,"156,300",20,39
1906,Dasht-e-Archi,19,1906,"82,400",15,28
2101,Mazar-e-Sharif,21,2101,"368,100",20,251
2102,Nahr-e- Shahi,21,2102,"43,700",17,30
2112,Shor Tepa,21,2112,"38,500",14,18
2109,Dawlat Abad,21,2109,"101,900",20,52
2106,Balkh,21,2106,"116,300",20,98
2103,Deh Dadi,21,2103,"65,600",20,34
2104,Chahar Kent,21,2104,"43,200",16,19
2105,Marmul,21,2105,"11,100",6,10
2110,Khulm,21,2110,"68,900",20,38
2113,Kaldar,21,2113,"19,400",10,10
2116,Sharak-e-Hayratan,21,2116,0,0,0
2111,Chahar Bolak,21,2111,"78,700",20,45
2108,Chemtal,21,2108,"89,200",20,40
2107,Sholgareh,21,2107,"110,600",20,56
2114,Kishindeh,21,2114,"47,300",20,24
2115,Zari,21,2115,"42,600",20,4
2001,Aybak,20,2001,"100,500",20,97
2002,Hazrat-e- Sultan,20,2002,"40,200",13,21
2004,Feroz Nakhchir,20,2004,"12,700",3,7
2006,Darah Suf-e- Payin,20,2006,"69,400",15,28
2007,Darah Suf-e-Bala,20,2007,"62,900",15,36
2003,Khuram wa Sarbagh,20,2003,"38,800",15,20
2005,Ruy-e-Du Ab,20,2005,"44,300",0,26
2201,Sar-e-Pul,22,2201,0,15,80
2202,Sayad,22,2202,0,15,19
2203,Kohistanat,22,2203,0,15,0
2204,Sozma Qala,22,2204,0,15,22
2206,Gosfandi,22,2206,0,15,23
2207,Balkh Ab,22,2207,0,0,30
2205,Sang(San)Charak,22,2205,0,15,39
2301,Chaghcharan,23,2301,"131,800",44,113
2304,Chahar Sadra,23,2304,"26,600",15,14
2302,Du Lina,23,2302,"35,100",15,14
2303,Dawlat Yar,23,2303,"31,800",21,26
2306,Shahrak,23,2306,"58,200",18,21
2308,Taywarah,23,2308,"88,900",18,21
2305,Pasaband,23,2305,"92,200",18,0
2307,Lal Wa Sarjangal,23,2307,"108,900",28,54
2309,Tolak,23,2309,"50,000",18,25
2310,Saghar,23,2310,"33,700",18,16
2401,Nili,24,2401,"39,600",22,31
2404,Ashtarlay,24,2403,"46,300",22,31
2405,Khadir,24,2404,"45,300",22,1
2406,kiti,24,2405,"32,600",22,1
2403,Gizab,24,2409,"65,800",22,2
2402,Shahristan,24,2402,"64,599",22,43
2408,Sang-e-Takht,24,2407,"49,300",22,0
2409,Kajran,24,2408,"34,100",22,23
2407,Miramor,24,2406,"60,900",22,27
2501,Tirin Kot,25,2501,"99,700",36,85
2503,Chora,25,2503,"49,700",15,19
2504,Shahid-e-Hassas,25,2504,"57,300",15,17
2502,Dehrawud,25,2502,"59,400",21,34
2505,Khas Uruzgan,25,2505,"54,900",0,24
2601,Qalat,26,2601,"34,300",32,80
2605,Arghandab,26,2605,"31,700",19,13
2604,Mizan,26,2604,"13,400",8,0
2602,Tarnak Wa Jaldak,26,2602,"16,700",16,20
2603,Shinkay,26,2603,"22,900",14,18
2606,Shah Joy,26,2606,"56,800",19,22
2611,Kakar,26,2611,0,0,0
2607,Day chopan,26,2607,"38,300",0,3
2608,Atghar,26,2608,"8,400",0,0
2610,Shomulzay,26,2610,"25,100",15,0
2609,Naw Bahar,26,2609,"18,300",6,0
1201,Sharan,12,1201,"48,600",40,77
1202,Mata Khan,12,1202,"24,200",19,21
1203,Yosuf Khel,12,1203,"13,100",13,19
1205,Sar Hawzeh(Rawzeh),12,1205,"22,500",15,25
1207,Zarghun Shahr,12,1207,"29,100",21,36
1204,Yahya Khel,12,1204,"16,900",17,21
1206,Omna,12,1206,"11,800",11,0
1208,Gomal,12,1208,"7,600",17,25
1210,Sarobi,12,1210,"12,100",17,0
1211,Urgun,12,1211,"53,700",17,37
1213,Nika,12,1213,"12,100",12,0
1209,Jani Khel,12,1209,"23,300",17,0
1217,Waza Khah,12,1217,"22,500",0,0
