id,name,geoId
1,Kabul,1
2,Kapisa,2
3,Parwan,3
4,Wardak,4
5,Logar,5
6,Nangarhar,6
7,Laghman,7
8,Panjsher,8
9,Baghlan,9
10,Bamyan,10
11,Ghazni,11
13,Paktya,12
15,Kunar,13
16,Nuristan,14
17,Badakhshan,15
18,Takhar,16
19,Kunduz,17
21,Balkh,18
20,Samangan,19
22,Sar-e-Pul,20
23,Ghor,21
24,Daykundi,22
25,Uruzgan,23
26,Zabul,24
12,Paktika,25
14,Khost,26
28,Jawzjan,27
29,Faryab,28
31,Badghis,29
32,Hirat,30
33,Farah,31
30,Hilmand,32
27,Kandahar,33
34,Nimroz,34
