id,name,label
1,Eng-Qutbuddin Hilal,
2,Dr. Abdullah Abdullah,Abdullah
3,Zalmai Rassoul,
4,Abdul Rahim Wardak,
5,Quayum Karzai,
6,Prof-Abdo Rabe Rasool Sayyaf,
7,Dr. Mohammad Ashraf Ghani Ahmadzai,Ashraf Ghani
8,Mohammad Daoud Sultanzoy,
9,Mohd. Shafiq Gul Agha Sherzai,
10,Mohammad Nadir Naeem,
11,Hedayat Amin Arsala,
