id,name,provId,provName,distId,distName
102298,Qalla e Babu Training Center,1,KABUL,102,PAGHMAN
102299,Ibrahim Khil High School,1,KABUL,102,PAGHMAN
102376,Paghman District Office,1,KABUL,102,PAGHMAN
102377,Abdullah Bin Omer Secondary School,1,KABUL,102,PAGHMAN
102378,Al Taqwa High School,1,KABUL,102,PAGHMAN
102379,Khwaja Lakan High School,1,KABUL,102,PAGHMAN
102380,Pashayee Boys High School,1,KABUL,102,PAGHMAN
102381,Hassan ul Basari School,1,KABUL,102,PAGHMAN
102382,Saaha e Kochi ha (Kochis location),1,KABUL,102,PAGHMAN
102383,Murghgeeran clinic,1,KABUL,102,PAGHMAN
102384,Omer Farouq Secondary School,1,KABUL,102,PAGHMAN
102385,Hazrat Abubaker Sedique School,1,KABUL,102,PAGHMAN
102386,Cheheltan High School,1,KABUL,102,PAGHMAN
102387,Sufi Ashqari High School,1,KABUL,102,PAGHMAN
102388,Hazrat Khalid Bin Waleed High School,1,KABUL,102,PAGHMAN
102389,Oryakhil Secondary School,1,KABUL,102,PAGHMAN
102390,Khaldari Mosque,1,KABUL,102,PAGHMAN
102391,Khwaja Musafir High School,1,KABUL,102,PAGHMAN
102392,Kashkak Primary School,1,KABUL,102,PAGHMAN
102393,Paghman e Qashang Secondary School,1,KABUL,102,PAGHMAN
102394,Alfalah Secondary School,1,KABUL,102,PAGHMAN
102395,Qalla e Malik High School,1,KABUL,102,PAGHMAN
102396,Abdullah Bin Abas High School,1,KABUL,102,PAGHMAN
102397,Samochak Primary School,1,KABUL,102,PAGHMAN
102398,Hazrat Usman Secondary School,1,KABUL,102,PAGHMAN
103399,Nawniaz Girls Primary School,1,KABUL,103,CHAHAR ASYAB
103400,Lewan Khil Mosque,1,KABUL,103,CHAHAR ASYAB
103401,Chehel Dukhtaran Mosque,1,KABUL,103,CHAHAR ASYAB
103402,Ilyas Khil Mosque,1,KABUL,103,CHAHAR ASYAB
103403,Haji Marjan Mosque,1,KABUL,103,CHAHAR ASYAB
103404,Malalai Shaheed High School,1,KABUL,103,CHAHAR ASYAB
103405,Khairabad Jame Mosque,1,KABUL,103,CHAHAR ASYAB
103406,Chahar Souq Mosque,1,KABUL,103,CHAHAR ASYAB
103407,Chahar Aasyab Boys High School,1,KABUL,103,CHAHAR ASYAB
103408,Qalla e Luqman Primary School,1,KABUL,103,CHAHAR ASYAB
103409,Reeshkhor Ulya Primary School,1,KABUL,103,CHAHAR ASYAB
103410,Tangi Sayeedan Girls High School,1,KABUL,103,CHAHAR ASYAB
103411,Lalandar clinic,1,KABUL,103,CHAHAR ASYAB
104412,Butkhak Boys High School,1,KABUL,104,BAGRAMI
104413,Wyearr Ahmadzai High School,1,KABUL,104,BAGRAMI
104414,Imam Abu Haneefa Mosque,1,KABUL,104,BAGRAMI
104415,Hussain Khil High School,1,KABUL,104,BAGRAMI
104416,Sheena Boys High School,1,KABUL,104,BAGRAMI
104417,Sheena Girls High School,1,KABUL,104,BAGRAMI
104418,Abdul Shukoor Reshad High School,1,KABUL,104,BAGRAMI
104419,Qalla e Ahmad Khan Girls High School,1,KABUL,104,BAGRAMI
104420,Qalla e Noman High School,1,KABUL,104,BAGRAMI
104421,Qalla e Wazeer Girls High School,1,KABUL,104,BAGRAMI
104422,Shaheed Mohammad Arif Zareef Secondary School,1,KABUL,104,BAGRAMI
104423,Zahoor Sahak Boys High School,1,KABUL,104,BAGRAMI
104424,Shewaki Boys High School,1,KABUL,104,BAGRAMI
104425,Qalla e Hassan Khan Jame Mosque,1,KABUL,104,BAGRAMI
104426,Shaheed Malik Gul Rahman High School,1,KABUL,104,BAGRAMI
104427,Kamari Girls High School,1,KABUL,104,BAGRAMI
104428,Karez Bakar Primary School,1,KABUL,104,BAGRAMI
104557,Hazrat Belal White Mosque,1,KABUL,104,BAGRAMI
104558,Shahid Shamali School,1,KABUL,104,BAGRAMI
105429,Kakarr Jame Mosque,1,KABUL,105,DEHSABZ
105430,Qais wa Lawang Mosque,1,KABUL,105,DEHSABZ
105431,Deh Sabz Khas Secondary School,1,KABUL,105,DEHSABZ
105432,Khwaja Ghar Secondary School,1,KABUL,105,DEHSABZ
105433,Deh Sabz Khas Girls High School,1,KABUL,105,DEHSABZ
105434,Baba Qashqar vocational School,1,KABUL,105,DEHSABZ
105435,Aabdara High School,1,KABUL,105,DEHSABZ
105436,Shiekho Secondary School,1,KABUL,105,DEHSABZ
105437,Shiekh Saduddin Mohammad Ansari Secondary School,1,KABUL,105,DEHSABZ
105438,Malik Zargul Mosque,1,KABUL,105,DEHSABZ
105439,Khwaja Chesht High School,1,KABUL,105,DEHSABZ
105440,Pacha Sahib Boys School,1,KABUL,105,DEHSABZ
105441,Deh Yahya High School,1,KABUL,105,DEHSABZ
105442,Haji Ahmad Shah Mosque,1,KABUL,105,DEHSABZ
105443,Pul e Sangi Health Clinic,1,KABUL,105,DEHSABZ
