id,name,ballotNumber,gender,party,incumbent
1-1118-42,Rajab Ali Andeshmand,273,M,Ind,
1-1119-14,Abdul Reza Khalili,467,M,Ind,
1-1120-4,Ahmad Zaki Faqirzadah,496,M,Ind,
1-1121-47,Sayed Edris Mir,790,M,Ind,
1-1122-1084,Taranum Sayedi,781,F,Ind,
1-1123-129,Sayed Ahmad Burhani,233,M,Ind,
1-1124-1208,Nesar Ahmad Bahlol,583,M,Ind,
1-1125-74,Elyas Faizi Ghoryani,338,M,Ind,
1-1126-1073,Mohammad Khalid Farahi,299,M,Ind,
1-1127-182,Mirzaman Haqyar,393,M,Ind,
1-1128-174,Mohammad Naser Babakarkhel,633,M,Ind,
1-1129-79,Mohammad Aref,392,M,Ind,
1-1130-73,Zabiullah Sharifi,773,M,Ind,
1-1131-1024,Najibullah Haidari,370,M,Ind,
1-1132-116,Alhaj Noor Rahman Oryakhel,628,M,Ind,
1-1133-136,Eng. Abass Nawyan,772,M,Ind,
1-1134-1214,Aqa Sayeed Malek Sayed Jaan,702,M,Ind,
1-1136-52,Eng. Wahidullah Sabawon,238,M,Political party,
1-1138-3053,Ahmadullah Aksir,153,M,Ind,
1-1139-138,Mohammad Zaman Panahi,215,M,Ind,
1-1142-59,Ahmad Timim Jurat,648,M,Ind,
1-1143-221,Freshta Amini,268,F,Ind,
1-1145-206,Mohammad Shoaib Durgi,560,M,Ind,
1-1146-1087,Samira Lame,240,F,Ind,
1-1147-213,Eng. Rohullah Zarif,144,M,Ind,
1-1148-170,Mohammad Nayem Paiman,37,M,Ind,
1-1149-80,Salim Khan Kunduzi,117,M,Ind,
1-1150-39,Haji Ezatullah Neyazai,323,M,Ind,
1-1151-60,Dr. Masooda Jalal,669,F,Ind,
1-1152-35,Habibullah Zazai,1,M,Ind,
1-1154-123,Mohammad Ayoub Osmani,573,M,Ind,
1-1155-102,Kalimullah Hamsukhan,124,M,Ind,
1-1156-37,Mohammad Salim Paigir,74,M,Ind,
1-1157-1035,Abdul Zohor Amiri,471,M,Ind,
1-1158-23,Dr. Samim Shamsi,550,M,Ind,
1-1159-24,Abdul Raqib Jawid Kohistani,537,M,Ind,
1-1160-102,Rahmat Gull Mawlazoi Hotak,776,M,Ind,
1-1161-126,Muzamel Shinwari,47,M,Ind,
1-1162-88,Khan Agha Rezayee,528,M,Ind,
1-1163-176,Abdul Mansor Rasool,97,M,Ind,
1-1164-56,Mir Amanullah Guzar,469,M,Ind,
1-1166-65,Shir Rahman Mujahid,344,M,Ind,
1-1167-148,Mohammad Tariq Eqtedari,200,M,Ind,
1-1168-2029,Amir Mohammad Lakanwal,679,M,Ind,
1-1169-30,Dr. Benafsha Bahar Nabizada,766,F,Ind,
1-1170-95,Brg-Gen. Arkan Harb Ghullam Farooq Nayemi,720,M,Ind,
1-1171-71,Alhaj Jalaluddin Fakhri,677,M,Ind,
1-1172-65,Mohammad Kabir Kamal,689,M,Ind,
1-1173-44,Alhaj Shirshah Ahmadzai,482,M,Ind,
1-1174-19,Hamed Sultani,120,M,Ind,
1-1175-48,Dr. Mohammad Shour Neyazai,624,M,Ind,
1-1176-45,Urfanullah Urfan,484,M,Ind,
1-1177-40,Sayed Farhad Hashemi,527,M,Ind,
1-1178-72,Zahra Sepher,142,F,Ind,
1-1179-9,Sultan Mahmood Daqiq,665,M,Ind,
1-1180-43,Dr. Homa Zinat,460,F,Ind,
1-1181-106,Alhaj Mohammad Dawood Paktyawal,727,M,Ind,
1-1182-2,Muslim Shirzad,224,M,Ind,
1-1183-52,Saleha Sadat,86,F,Ind,
1-1184-84,Wahid Rahman Amiri,345,M,Ind,
1-1185-51,Haji Khan Mohammad Wardak,432,M,Ind,
1-1186-37,Haji Ajmal Rahmani,384,M,Ind,
1-1188-22,Alhaj Amirgull Shahin,45,M,Ind,
1-1189-2027,Maari,80,F,Ind,
1-1190-115,Abdul Ghafoor Rezwani,785,M,Ind,
1-1191-1055,Somaya Bayat Kazemi,191,F,Ind,
1-1192-180,Dr. Maari Vida Safar,420,M,Ind,
1-1193-3067,Malem Mohammad Ghazi sultanzoi,485,M,Ind,
1-1194-127,Saranpoh. Yar Mohammad Hussainkhel,274,M,Ind,
1-1195-10,Ahmad Farid Mehrabi,371,M,Ind,
1-1196-3,Mohammad Edris Faqirzadah Formoli,307,M,Ind,
1-1197-1029,Alhaj Ahmad Arsalan Safi,456,M,Ind,
1-1198-97,Mawalawi Ihsanulhaq Hanafi,25,M,Ind,
1-1199-17,Phd. Lutfullah Safi,300,M,Ind,
1-1200-21,Shirzai salar,242,M,Ind,
1-1201-31,Sayed Qutbuddin Roydar,110,M,Ind,
1-1202-58,sayed Amanullah Amin,405,M,Ind,
1-1203-73,Alhaj Abdul Sami Arefi,480,M,Ind,
1-1204-78,Baryalai Amin,339,M,Ind,
1-1205-3,Ekramuddin Wali,107,M,Ind,
1-1206-66,Dr. Abdul Rashid Janbaz,195,M,Ind,
1-1207-66,Alhaj Abdul Satar Behzad,216,M,Ind,
1-1208-114,Deplom Eng. Noor Gull Mangal,472,M,Ind,
1-1209-19,Haji Hafizullah Jalili,354,M,Ind,
1-1210-102,Alhaj Ghullam Sakhi Parsaaye,15,M,Ind,
1-1211-78,Abdul Sabor Gardizi,172,M,Ind,
1-1212-140,Hamidullah Stanikzai,400,M,Ind,
1-1213-174,Khatera Isshaqzai,121,F,Ind,
1-1214-133,Gen. Baz Mohammad Jawhari,231,M,Ind,
1-1215-103,Abdul Bari Ramin Azimi,470,M,Political party,
1-1216-47,Ahmad Zaki Zahed,134,M,Ind,
1-1217-259,Narender Singh Khalesa,1,M,Ind,
1-1218-1206,Dr. Mir Latifa Begnezhad,746,F,Ind,
1-1219-1216,Ustad Mawlawi Shamsullah Haqani,280,M,Ind,
1-1220-1048,Fawzia Naseryar Gulldaraye,324,F,Ind,
1-1221-11,Mohammad Yousuf Rezaye,8,M,Ind,
1-1222-92,Saheb Nazar Sangin,506,M,Ind,
1-1223-100,Haji Mohammad Dawood Kalakani,199,M,Ind,
1-1224-77,Sofi Abdul Razeq Estalefi,477,M,Ind,
1-1225-123,Ziaullhaq Shafiq,62,M,Ind,
1-1226-98,Qazi Ghullam Sakhi Iqbal,465,M,Ind,
1-1227-5,Simin Hassanzadah,486,F,Ind,
1-1228-11,Gen. Nazifa Zaki,631,F,Ind,
1-1229-208,Pachah Ahmadzai,42,M,Political Party,
1-1230-17,Sayed Abdul Naser Yaqoobi,662,M,Ind,
1-1232-73,Milad Yousuf Ibrahim,565,M,Ind,
1-1233-189,Habibullah Esmati,192,M,Ind,
1-1234-1,Sayed Bahram Sadat,51,M,Ind,
1-1235-71,Dr. Mohebullah Moheb,483,M,Ind,
1-1236-18,Alhaj Nazar Mohammad Assad,774,M,Ind,
1-1237-113,Nesar Ahmad Bahawi,267,M,Ind,
1-1238-1076,Mohammad Malek Sabr,364,M,Ind,
1-1239-59,Rahmatullah Salehi,92,M,Ind,
1-1240-22,Alhaj Gull Zaman Rohani,489,M,Ind,
1-1241-49,Mohammad Hamed Shirzad,328,M,Ind,
1-1242-34,Kamela Aimaq,227,F,Ind,
1-1243-35,Dr. Mohammad Qasem Elyasi,167,M,Ind,
1-1244-82,Haji Gull Rahman Rahmani Mangal,661,M,Ind,
1-1246-41,Mohammad Masood Afghan Ghorbandi,577,M,Ind,
