id,name,provId,geoId,registeredMen,registeredWomen,registeredTotal,femalePopulationRural,malePopulationRural,totalPopulationRural,femalePopulationUrban,malePopulationUrban,totalPopulationUrban,totalPopulationFemale,totalPopulationMale,totalPopulation
702,Qarghayi,7,702,35362,20279,55641,52194,54821,107015,,,,52194,54821,107015
703,Alishang,7,703,7988,2890,10878,38088,39799,77887,,,,38088,39799,77887
704,Alingar,7,704,9598,2544,12142,51425,54178,105603,,,,51425,54178,105603
705,Dawlatshah,7,705,8458,3266,11724,17697,18615,36312,,,,17697,18615,36312
706,Badpakh,7,706,492,7,499,3976,4109,8085,,,,3976,4109,8085
801,Bazarak,8,801,8664,4029,12693,10003,10528,20531,,,,10003,10528,20531
802,Rukha,8,802,3194,2397,5591,12183,12838,25021,,,,12183,12838,25021
803,Dara,8,803,4710,3574,8284,7438,7703,15141,,,,7438,7703,15141
804,Khinj,8,804,8732,6276,15008,21288,22339,43627,,,,21288,22339,43627
805,Onaba,8,805,6971,4682,11653,9490,10143,19633,,,,9490,10143,19633
806,Shutul,8,806,2453,2621,5074,5899,6034,11933,,,,5899,6034,11933
807,Paryan,8,807,4181,3693,7874,7951,8217,16168,,,,7951,8217,16168
808,Abshar,8,808,3859,3373,7232,5899,6162,12061,,,,5899,6162,12061
901,Pul-e-khumri,9,901,34040,21417,55457,55913,59185,115098,58581,59330,117911,114494,118515,233009
902,Dahana-e-ghori,9,902,,,,30393,32097,62490,861,966,1827,31254,33063,64317
903,Doshi,9,903,15088,13796,28884,35651,37360,73011,,,,35651,37360,73011
904,Nahren,9,904,30057,23062,53119,34112,35948,70060,2724,2898,5622,36836,38846,75682
905,Baghlan-e-jadid,9,905,47650,28696,76346,56170,58543,114713,38499,37392,75891,94669,95935,190604
906,Khinjan,9,906,6254,6304,12558,16287,16947,33234,,,,16287,16947,33234
907,Andarab,9,907,6134,4870,11004,13593,14250,27843,,,,13593,14250,27843
908,Deh Salah,9,908,13336,6140,19476,16799,18102,34901,,,,16799,18102,34901
909,Khwaja Hijran,9,909,12411,8615,21026,12567,13480,26047,,,,12567,13480,26047
910,Borka,9,910,10675,9307,19982,27957,29528,57485,,,,27957,29528,57485
911,Tala Wa Barfak,9,911,17869,15423,33292,15902,17075,32977,,,,15902,17075,32977
912,Pul-e-hisar,9,912,11353,8070,19423,14491,15663,30154,,,,14491,15663,30154
913,Khost Wa Firing,9,913,23284,15320,38604,33471,35434,68905,,,,33471,35434,68905
914,Guzargah-e-nor,9,914,3551,3549,7100,5258,5777,11035,,,,5258,5777,11035
915,Firing Gharo,9,915,5467,4982,10449,8849,9244,18093,,,,8849,9244,18093
1001,Bamyan,10,1001,21743,21396,43139,38730,38644,77374,7155,6899,14054,45885,45543,91428
1002,Shebar,10,1002,5154,3874,9028,15517,16690,32207,,,,15517,16690,32207
1003,Sayghan,10,1003,5170,6254,11424,12824,13352,26176,,,,12824,13352,26176
1004,Kahmard,10,1004,10376,10200,20576,19364,20284,39648,,,,19364,20284,39648
1005,Yakawlang,10,1005,11981,12667,24648,32831,33637,66468,,,,32831,33637,66468
1006,Panjab,10,1006,8334,8812,17146,36806,37617,74423,,,,36806,37617,74423
1007,Waras,10,1007,13605,15126,28731,58607,60468,119075,,,,58607,60468,119075
1008,Yakawlang No. 2,10,1008,5745,6819,12564,14106,14893,28999,,,,14106,14893,28999
1201,Sharan,12,1201,16700,976,17676,28171,29508,57679,2381,2435,4816,30552,31943,62495
1202,Matakhan,12,1202,9083,4459,13542,12820,13439,26259,,,,12820,13439,26259
1203,Yosuf Khel,12,1203,7323,1940,9263,13688,14507,28195,,,,13688,14507,28195
1204,Yahya Khel,12,1204,11697,2673,14370,14038,14715,28753,,,,14038,14715,28753
1205,Sar Rawzah,12,1205,4017,1194,5211,17759,18026,35785,,,,17759,18026,35785
1206,Omna,12,1206,832,388,1220,11271,11725,22996,,,,11271,11725,22996
1207,Zarghon Shahr,12,1207,20644,3722,24366,19917,20690,40607,,,,19917,20690,40607
1208,Gomal,12,1208,9963,4101,14064,22051,22941,44992,,,,22051,22941,44992
1209,Janikhel,12,1209,9466,2476,11942,17272,18339,35611,,,,17272,18339,35611
1210,Sarobi,12,1210,11023,4417,15440,18762,18763,37525,,,,18762,18763,37525
1211,Urgun,12,1211,13267,5646,18913,43316,44138,87454,,,,43316,44138,87454
1212,Zerok,12,1212,7539,1936,9475,18330,19736,38066,,,,18330,19736,38066
1213,Neka,12,1213,5223,1423,6646,8044,8414,16458,,,,8044,8414,16458
1214,Birmil,12,1214,8800,412,9212,36261,38113,74374,,,,36261,38113,74374
1215,Gyan,12,1215,,,,22872,23293,46165,,,,22872,23293,46165
1216,Dela,12,1216,4132,665,4797,22382,23829,46211,,,,22382,23829,46211
1217,Wazakhah,12,1217,9224,217,9441,21647,23404,45051,,,,21647,23404,45051
1218,Wormamay,12,1218,4676,1358,6034,10257,10775,21032,,,,10257,10775,21032
1219,Turwo,12,1219,4797,608,5405,5122,5759,10881,,,,5122,5759,10881
1301,Gardez,13,1301,32870,15260,48130,31803,33252,65055,13461,13522,26983,45264,46774,92038
1302,Ahmadabad,13,1302,11583,14011,25594,15133,15278,30411,,,,15133,15278,30411
1303,Zurmat,13,1303,28408,4031,32439,46505,48671,95176,,,,46505,48671,95176
1304,Shawak,13,1304,4806,3755,8561,2950,3082,6032,,,,2950,3082,6032
1305,Zadran,13,1305,11871,7058,18929,12787,13753,26540,,,,12787,13753,26540
1306,Sayed Karam,13,1306,11789,9696,21485,29623,31197,60820,,,,29623,31197,60820
1307,Jaji,13,1307,29814,27163,56977,33471,35306,68777,,,,33471,35306,68777
1308,Lija Ahmadkhel,13,1308,13189,11934,25123,12055,12838,24893,,,,12055,12838,24893
1309,Jani Khel,13,1309,11962,9350,21312,18466,19642,38108,,,,18466,19642,38108
1310,Chamkani,13,1310,19965,15262,35227,27060,27475,54535,,,,27060,27475,54535
1311,Dand Wa Patan,13,1311,12789,14574,27363,14106,14893,28999,,,,14106,14893,28999
1312,Lija Mangal,13,1312,9126,10119,19245,10131,10399,20530,,,,10131,10399,20530
1313,Merzaka,13,1313,7485,9582,17067,4489,4879,9368,,,,4489,4879,9368
1314,Garda Siray,13,1314,5201,3846,9047,5936,6274,12210,,,,5936,6274,12210
1315,Rohani Baba,13,1315,11237,1844,13081,10819,11412,22231,,,,10819,11412,22231
1401,Maton,14,1401,53635,10486,64121,67712,70098,137810,6304,6485,12789,74016,76583,150599
1402,Mandozayi,14,1402,14351,4166,18517,29880,31711,61591,,,,29880,31711,61591
1403,Gurbuz,14,1403,8469,3818,12287,13850,14765,28615,,,,13850,14765,28615
1404,Tani,14,1404,14694,7247,21941,31933,33123,65056,,,,31933,33123,65056
1405,Mosa Khel,14,1405,8265,6054,14319,21929,22852,44781,,,,21929,22852,44781
1406,Nadir Shah Kot,14,1406,7394,1344,8738,16799,17974,34773,,,,16799,17974,34773
1407,Sabari,14,1407,17634,4631,22265,37960,39414,77374,,,,37960,39414,77374
1408,Tirezayi,14,1408,12547,3259,15806,23596,25164,48760,,,,23596,25164,48760
1409,Bak,14,1409,6763,3053,9816,11798,12325,24123,,,,11798,12325,24123
1410,Qalandar,14,1410,4927,2113,7040,5386,5777,11163,,,,5386,5777,11163
1411,Spera,14,1411,8950,1327,10277,12824,13737,26561,,,,12824,13737,26561
1412,Shamal,14,1412,5425,1203,6628,7181,7703,14884,,,,7181,7703,14884
1413,Jaji Maydan,14,1413,9327,6837,16164,12696,13608,26304,,,,12696,13608,26304
1501,Asadabad,15,1501,14170,6881,21051,10516,11170,21686,7451,7727,15178,17967,18897,36864
1502,Marawara,15,1502,6358,4671,11029,11029,11298,22327,,,,11029,11298,22327
1503,Watapor,15,1503,3459,1040,4499,14620,15278,29898,,,,14620,15278,29898
1504,Narang,15,1504,6826,3557,10383,16159,16818,32977,,,,16159,16818,32977
1505,Sarkani,15,1505,9180,5772,14952,14619,15150,29769,,,,14619,15150,29769
1506,Shegal Wa Shiltan,15,1506,9299,5106,14405,6465,6655,13120,,,,6465,6655,13120
1507,Dara-e-pech,15,1507,9147,5235,14382,28982,30684,59666,,,,28982,30684,59666
1508,Barkunar,15,1508,5941,2780,8721,11798,12196,23994,,,,11798,12196,23994
1509,Chawkay,15,1509,9962,5978,15940,18979,20027,39006,,,,18979,20027,39006
1510,Khas Kunar,15,1510,9259,7236,16495,18852,19386,38238,,,,18852,19386,38238
1511,Ghaziabad,15,1511,2326,779,3105,10003,10399,20402,,,,10003,10399,20402
1512,Dangam,15,1512,4858,1091,5949,8977,9501,18478,,,,8977,9501,18478
1513,Chapadara,15,1513,2865,520,3385,16415,17460,33875,,,,16415,17460,33875
1514,Norgal,15,1514,5686,3355,9041,16671,17845,34516,,,,16671,17845,34516
1515,Nari,15,1515,6763,6526,13289,14619,15535,30154,,,,14619,15535,30154
1516,Sheltan,15,1516,2275,451,2726,9181,9650,18831,,,,9181,9650,18831
1601,Paron,16,1601,6389,4446,10835,7181,7574,14755,,,,7181,7574,14755
1602,Waygal,16,1602,5917,3621,9538,10131,11298,21429,,,,10131,11298,21429
1603,Wama,16,1603,7408,5159,12567,5899,6162,12061,,,,5899,6162,12061
1604,Nor Giram,16,1604,7259,2970,10229,17184,18102,35286,,,,17184,18102,35286
1605,Doab,16,1605,5013,1588,6601,4361,4237,8598,,,,4361,4237,8598
1606,Kamdesh,16,1606,4223,2575,6798,13850,13738,27588,,,,13850,13738,27588
1607,Mandol,16,1607,,,,10387,11170,21557,,,,10387,11170,21557
1608,Barg-e-matal,16,1608,5915,4545,10460,8464,8473,16937,,,,8464,8473,16937
1701,Fayzabad,17,1701,16730,11754,28484,18338,18872,37210,18332,18489,36821,36670,37361,74031
1702,Argo,17,1702,17424,12242,29666,41550,44036,85586,,,,41550,44036,85586
1703,Arghanj Khwa,17,1703,2514,1163,3677,8720,8858,17578,,,,8720,8858,17578
1704,Yaftal-e-sufla,17,1704,11515,10096,21611,28598,29015,57613,,,,28598,29015,57613
1705,Khash,17,1705,5716,3609,9325,20391,21184,41575,,,,20391,21184,41575
1706,Baharak,17,1706,8795,5402,14197,15646,15792,31438,,,,15646,15792,31438
1707,Darayem,17,1707,8570,7594,16164,33087,34150,67237,,,,33087,34150,67237
1708,Kohestan,17,1708,2348,678,3026,8720,9372,18092,,,,8720,9372,18092
1709,Yawan,17,1709,8650,4649,13299,17184,18230,35414,,,,17184,18230,35414
1710,Jorm,17,1710,8455,5140,13595,18339,18744,37083,2006,2070,4076,20345,20814,41159
1711,Teshkan,17,1711,6884,5095,11979,15774,16818,32592,,,,15774,16818,32592
1712,Shuhada,17,1712,5034,4253,9287,18338,19386,37724,,,,18338,19386,37724
1713,Shahr-e-buzorg,17,1713,7832,5477,13309,28213,28886,57099,,,,28213,28886,57099
1714,Raghestan,17,1714,6209,884,7093,21032,22211,43243,,,,21032,22211,43243
1715,Keshem,17,1715,20104,15043,35147,43089,45192,88281,,,,43089,45192,88281
1716,Warduj,17,1716,,,,11670,12196,23866,,,,11670,12196,23866
1717,Tagab,17,1717,4071,2543,6614,15005,15663,30668,,,,15005,15663,30668
1718,Yamgan,17,1718,,,,13593,14508,28101,,,,13593,14508,28101
1719,Shighnan,17,1719,3503,3848,7351,14748,15663,30411,,,,14748,15663,30411
