id,name,provId,geoId,registeredMen,registeredWomen,registeredTotal,femalePopulationRural,malePopulationRural,totalPopulationRural,femalePopulationUrban,malePopulationUrban,totalPopulationUrban,totalPopulationFemale,totalPopulationMale,totalPopulation
2706,Shah Wale Kot,27,2706,3475,63,3538,23083,24266,47349,,,,23083,24266,47349
2707,Khakrez,27,2707,377,32,409,12183,12710,24893,,,,12183,12710,24893
2708,Arghistan,27,2708,9094,106,9200,18338,19258,37596,,,,18338,19258,37596
2709,Ghorak,27,2709,563,0,563,5130,5392,10522,,,,5130,5392,10522
2710,Maywand,27,2710,7865,159,8024,31548,32482,64030,,,,31548,32482,64030
2711,Spen Boldak,27,2711,72266,11801,84067,53348,56489,109837,,,,53348,56489,109837
2712,Nesh,27,2712,,,,7181,7446,14627,,,,7181,7446,14627
2713,Miyanshen,27,2713,,,,7951,8473,16424,,,,7951,8473,16424
2714,Shorabak,27,2714,199,0,199,6156,6419,12575,,,,6156,6419,12575
2715,Marof,27,2715,,,,17569,18487,36056,,,,17569,18487,36056
2716,Reg,27,2716,148,0,148,4745,5007,9752,,,,4745,5007,9752
2717,Dand,27,2717,21875,2131,24006,24110,24906,49016,,,,24110,24906,49016
2718,Takhtapul,27,2718,9336,1767,11103,6668,7189,13857,,,,6668,7189,13857
2801,Shiberghan,28,2801,26943,30715,57658,47193,48529,95722,44813,44429,89242,92006,92958,184964
2802,Khwaja Dukoh,28,2802,5186,6943,12129,14364,15021,29385,,,,14364,15021,29385
2803,Khanaqa,28,2803,1087,1487,2574,12568,12838,25406,,,,12568,12838,25406
2804,Mingajek,28,2804,660,154,814,22827,24008,46835,,,,22827,24008,46835
2805,Qoshtepa,28,2805,1258,1228,2486,12566,13095,25661,,,,12566,13095,25661
2806,Khamyab,28,2806,91,25,116,7438,7831,15269,,,,7438,7831,15269
2807,Aqcha,28,2807,6881,5043,11924,28085,29143,57228,13318,13384,26702,41403,42527,83930
2808,Fayzabad,28,2808,2758,2076,4834,22186,23238,45424,,,,22186,23238,45424
2809,Mardyan,28,2809,,,,20776,21312,42088,,,,20776,21312,42088
2810,Qarqen,28,2810,1606,708,2314,9234,9501,18735,4155,4278,8433,13389,13779,27168
2811,Darzab,28,2811,,,,25135,26319,51454,1145,1104,2249,26280,27423,53703
2901,Maymana,29,2901,19678,17497,37175,,,,45544,45946,91490,45544,45946,91490
2902,Pashton Kot,29,2902,9193,7307,16500,100027,106045,206072,,,,100027,106045,206072
2903,Khwaja Sabzposh,29,2903,944,730,1674,26931,28501,55432,,,,26931,28501,55432
2904,Almar,29,2904,6124,4382,10506,37832,38901,76733,,,,37832,38901,76733
2905,Bilcheragh,29,2905,7952,6450,14402,27700,29272,56972,,,,27700,29272,56972
2906,Shiren Tagab,29,2906,1463,2159,3622,43474,45448,88922,,,,43474,45448,88922
2907,Qaysar,29,2907,23000,16204,39204,75919,79598,155517,,,,75919,79598,155517
2908,Garzewan,29,2908,7931,2975,10906,40781,41981,82762,,,,40781,41981,82762
2909,Dawlatabad,29,2909,3196,2096,5292,23340,24265,47605,2861,2760,5621,26201,27025,53226
2910,Kohistan,29,2910,,,,29239,30299,59538,,,,29239,30299,59538
2911,Qaramqol,29,2911,3175,4164,7339,10644,10784,21428,,,,10644,10784,21428
2912,Qurghan,29,2912,6113,5214,11327,25392,26063,51455,,,,25392,26063,51455
2913,Andkhoy,29,2913,11526,10994,22520,4232,4365,8597,18319,17799,36118,22551,22164,44715
2914,Khan-e-char Bagh,29,2914,4159,4802,8961,12440,12838,25278,,,,12440,12838,25278
3001,Lashkargah,30,3001,136561,24113,160674,49682,51907,101589,44498,40621,85119,94180,92528,186708
3002,Nad-e-ali,30,3002,35194,4403,39597,87419,93116,180535,,,,87419,93116,180535
3003,Nawa-e-barakzaiy,30,3003,32598,2831,35429,52401,55054,107455,,,,52401,55054,107455
3004,Nahr-e-saraj,30,3004,31446,5430,36876,76677,81467,158144,5492,5066,10558,82169,86533,168702
3005,Washer,30,3005,3822,3,3825,13956,13999,27955,,,,13956,13999,27955
3006,Garmser,30,3006,8059,188,8247,56541,58617,115158,,,,56541,58617,115158
3007,Nawzad,30,3007,,,,46970,47507,94477,,,,46970,47507,94477
3008,Sangen,30,3008,926,0,926,36717,37991,74708,,,,36717,37991,74708
3009,Mosa Qala,30,3009,,,,58469,59116,117585,,,,58469,59116,117585
3010,Kajaki,30,3010,367,0,367,55098,57733,112831,,,,55098,57733,112831
3011,Reg,30,3011,,,,12394,13053,25447,,,,12394,13053,25447
3012,Baghran,30,3012,,,,52734,54163,106897,,,,52734,54163,106897
3013,Desho,30,3013,,,,14875,14386,29261,,,,14875,14386,29261
3014,Marja,30,3014,8963,439,9402,14234,15150,29384,,,,14234,15150,29384
3015,Nawa-i-mesh,30,3015,3773,4272,8045,8936,9475,18411,,,,8936,9475,18411
3101,Qala-e-naw,31,3101,17805,14113,31918,27572,28886,56458,8021,8140,16161,35593,37026,72619
3102,Ab Kamari,31,3102,8616,6302,14918,39242,41083,80325,,,,39242,41083,80325
3103,Muqur,31,3103,2915,1448,4363,12696,13223,25919,,,,12696,13223,25919
3104,Qades,31,3104,2905,1808,4713,48090,51226,99316,,,,48090,51226,99316
3105,Murghab,31,3105,13193,2692,15885,51809,54307,106116,,,,51809,54307,106116
3106,Jawand,31,3106,11417,5725,17142,42449,43651,86100,,,,42449,43651,86100
3107,Ghormach,31,3107,3094,795,3889,29495,30684,60179,,,,29495,30684,60179
3202,Injel,32,3202,36915,33813,70728,131192,135831,267023,,,,131192,135831,267023
3203,Guzara,32,3203,31395,22911,54306,78998,81267,160265,,,,78998,81267,160265
3204,Karukh,32,3204,14407,13004,27411,30907,31455,62362,3726,3864,7590,34633,35319,69952
3205,Zindajan,32,3205,7348,7810,15158,31036,31327,62363,,,,31036,31327,62363
3206,Pashton Zarghon,32,3206,11691,6256,17947,53605,55848,109453,,,,53605,55848,109453
3207,Kushk,32,3207,19400,13947,33347,58094,59570,117664,9587,9244,18831,67681,68814,136495
3208,Gulran,32,3208,3031,2436,5467,51298,51482,102780,,,,51298,51482,102780
3209,Adraskan,32,3209,4298,2343,6641,29111,29528,58639,,,,29111,29528,58639
3210,Kushk-e-kuhna,32,3210,9565,5743,15308,24622,25291,49913,,,,24622,25291,49913
3211,Ghoryan,32,3211,17173,16841,34014,29496,30170,59666,19048,19179,38227,48544,49349,97893
3212,Obi,32,3212,8442,2812,11254,38729,40184,78913,2003,1931,3934,40732,42115,82847
3213,Kohsan,32,3213,13874,11780,25654,29624,29785,59409,,,,29624,29785,59409
3214,Shindand,32,3214,5864,2570,8434,20258,20545,40803,2724,2898,5622,22982,23443,46425
3215,Farsi,32,3215,1714,1086,2800,16158,17332,33490,,,,16158,17332,33490
3216,Chisht-e-sharef,32,3216,832,565,1397,12696,13223,25919,,,,12696,13223,25919
3217,Zer-i-koh,32,3217,1050,61,1111,25771,26111,51882,,,,25771,26111,51882
3218,Pusht-i-koh,32,3218,,,,17176,17401,34577,,,,17176,17401,34577
3219,Koh-i-zor,32,3219,,,,6338,6421,12759,,,,6338,6421,12759
3220,Zawol,32,3220,1770,855,2625,24716,25041,49757,,,,24716,25041,49757
3301,Farah,33,3301,33172,18352,51524,40268,42110,82378,20060,20697,40757,60328,62807,123135
3302,Pushtrod,33,3302,296,0,296,21545,22853,44398,,,,21545,22853,44398
3303,Khak-e-safed,33,3303,,,,16287,16819,33106,,,,16287,16819,33106
3304,Qala-ye-kah,33,3304,848,285,1133,16543,17075,33618,,,,16543,17075,33618
3305,Shebkoh,33,3305,234,110,344,12568,12967,25535,,,,12568,12967,25535
3306,Balabulok,33,3306,2894,0,2894,37830,40184,78014,,,,37830,40184,78014
3307,Anardara,33,3307,1017,857,1874,14877,15535,30412,,,,14877,15535,30412
3308,Bakwa,33,3308,559,0,559,18851,19900,38751,,,,18851,19900,38751
3309,Lash-e-juwayn,33,3309,2845,2864,5709,14876,15663,30539,,,,14876,15663,30539
3310,Gulistan,33,3310,553,111,664,23083,24264,47347,,,,23083,24264,47347
3311,Purchaman,33,3311,274,2,276,28084,30298,58382,,,,28084,30298,58382
3401,Zaranj,34,3401,30106,16143,46249,16415,17332,33747,14463,14488,28951,30878,31820,62698
3402,Kang,34,3402,6843,4040,10883,12054,12453,24507,,,,12054,12453,24507
3403,Chakhansor,34,3403,5486,3591,9077,12696,13223,25919,,,,12696,13223,25919
3404,Char Burjak,34,3404,5979,2101,8080,13979,14893,28872,,,,13979,14893,28872
3405,Khashrod,34,3405,6001,732,6733,13593,14122,27715,,,,13593,14122,27715
3406,Dularam,34,3406,10653,2,10655,3463,3724,7187,,,,3463,3724,7187
10101,Nahia 01,1,101,15354,4966,20320,0,0,0,53187,56142,109329,53187,56142,109329
10102,Nahia 02,1,101,24703,7770,32473,0,0,0,65506,67647,133153,65506,67647,133153
10103,Nahia 03,1,101,28131,11833,39964,0,0,0,78892,82373,161265,78892,82373,161265
10104,Nahia 04,1,101,34205,16629,50834,0,0,0,169278,173838,343116,169278,173838,343116
10105,Nahia 05,1,101,54995,21475,76470,0,0,0,154587,162133,316720,154587,162133,316720
10106,Nahia 06,1,101,42657,29318,71975,0,0,0,172474,178185,350659,172474,178185,350659
10107,Nahia 07,1,101,47427,25941,73368,0,0,0,204934,214500,419434,204934,214500,419434
10108,Nahia 08,1,101,62000,27841,89841,0,0,0,170818,177861,348679,170818,177861,348679
10109,Nahia 09,1,101,38626,15774,54400,0,0,0,149140,152496,301636,149140,152496,301636
10110,Nahia 10,1,101,40975,23747,64722,0,0,0,182427,187526,369953,182427,187526,369953
10111,Nahia 11,1,101,54088,26463,80551,0,0,0,144518,145048,289566,144518,145048,289566
10112,Nahia 12,1,101,68644,23683,92327,0,0,0,25823,27503,53326,25823,27503,53326
10113,Nahia 13,1,101,71927,57774,129701,0,0,0,120828,123990,244818,120828,123990,244818
10114,Nahia 14,1,101,6048,1885,7933,0,0,0,0,0,0,0,0,0
10115,Nahia 15,1,101,47774,22815,70589,0,0,0,195810,200290,396100,195810,200290,396100
10116,Nahia 16,1,101,29194,13086,42280,0,0,0,84105,87734,171839,84105,87734,171839
10117,Nahia 17,1,101,38219,16623,54842,0,0,0,52831,54990,107821,52831,54990,107821
10118,Nahia 18,1,101,10320,2229,12549,,,,,,,,,
10119,Nahia 19,1,101,9075,3159,12234,,,,,,,,,
10121,Nahia 21,1,101,20402,4453,24855,,,,,,,,,
10122,Nahia 22,1,101,3825,2785,6610,,,,,,,,,
60101,Provincial Capital Of Nangarhar (Jalalabad),6,601,16083,5556,21639,,,,126119,128893,255012,126119,128893,255012
60102,Provincial Capital Of Nangarhar (Jalalabad),6,601,22581,5776,28357,,,,,,,,,
60103,Provincial Capital Of Nangarhar (Jalalabad),6,601,20598,10097,30695,,,,,,,,,
60104,Provincial Capital Of Nangarhar (Jalalabad),6,601,28540,11329,39869,,,,,,,,,
60105,Provincial Capital Of Nangarhar (Jalalabad),6,601,13307,5219,18526,,,,,,,,,
60106,Provincial Capital Of Nangarhar (Jalalabad),6,601,13795,4489,18284,,,,,,,,,
210101,Provincial Capital Of Balkh (Mazar-e-sharif),21,2101,11566,8851,20417,,,,225571,228886,454457,225571,228886,454457
210102,Provincial Capital Of Balkh (Mazar-e-sharif),21,2101,5105,4688,9793,,,,,,,,,
210103,Provincial Capital Of Balkh (Mazar-e-sharif),21,2101,9411,3953,13364,,,,,,,,,
210104,Provincial Capital Of Balkh (Mazar-e-sharif),21,2101,5006,4098,9104,,,,,,,,,
210105,Provincial Capital Of Balkh (Mazar-e-sharif),21,2101,10338,9007,19345,,,,,,,,,
210106,Provincial Capital Of Balkh (Mazar-e-sharif),21,2101,5064,3460,8524,,,,,,,,,
210107,Provincial Capital Of Balkh (Mazar-e-sharif),21,2101,6960,6418,13378,,,,,,,,,
210108,Provincial Capital Of Balkh (Mazar-e-sharif),21,2101,6807,7632,14439,,,,,,,,,
210109,Provincial Capital Of Balkh (Mazar-e-sharif),21,2101,4269,4208,8477,,,,,,,,,
210110,Provincial Capital Of Balkh (Mazar-e-sharif),21,2101,8418,8394,16812,,,,,,,,,
270101,Provincial Capital Of Kandahar (Kandahar),27,2701,38655,13456,52111,51296,54307,105603,242770,248050,490820,294066,302357,596423
270102,Provincial Capital Of Kandahar (Kandahar),27,2701,38596,8241,46837,,,,,,,,,
270103,Provincial Capital Of Kandahar (Kandahar),27,2701,5295,1909,7204,,,,,,,,,
270104,Provincial Capital Of Kandahar (Kandahar),27,2701,40920,5383,46303,,,,,,,,,
270105,Provincial Capital Of Kandahar (Kandahar),27,2701,4834,751,5585,,,,,,,,,
270106,Provincial Capital Of Kandahar (Kandahar),27,2701,6911,1058,7969,,,,,,,,,
270107,Provincial Capital Of Kandahar (Kandahar),27,2701,10403,3063,13466,,,,,,,,,
270108,Provincial Capital Of Kandahar (Kandahar),27,2701,11443,1123,12566,,,,,,,,,
270109,Provincial Capital Of Kandahar (Kandahar),27,2701,24985,3591,28576,,,,,,,,,
270110,Provincial Capital Of Kandahar (Kandahar),27,2701,36503,7885,44388,,,,,,,,,
270113,Provincial Capital Of Kandahar (Kandahar),27,2701,5334,571,5905,,,,,,,,,
320101,Provincial Capital Of Herat (herat),32,3201,6611,4660,11271,,,,270069,268604,538673,270069,268604,538673
320102,Provincial Capital Of Herat (herat),32,3201,2099,2289,4388,,,,,,,,,
320103,Provincial Capital Of Herat (herat),32,3201,8603,5068,13671,,,,,,,,,
320104,Provincial Capital Of Herat (herat),32,3201,3806,4502,8308,,,,,,,,,
320105,Provincial Capital Of Herat (herat),32,3201,16318,13587,29905,,,,,,,,,
320106,Provincial Capital Of Herat (herat),32,3201,9273,8571,17844,,,,,,,,,
320107,Provincial Capital Of Herat (herat),32,3201,10033,7492,17525,,,,,,,,,
320108,Provincial Capital Of Herat (herat),32,3201,8300,7094,15394,,,,,,,,,
320109,Provincial Capital Of Herat (herat),32,3201,6195,6340,12535,,,,,,,,,
320110,Provincial Capital Of Herat (herat),32,3201,6133,5523,11656,,,,,,,,,
320111,Provincial Capital Of Herat (herat),32,3201,7543,6145,13688,,,,,,,,,
320112,Provincial Capital Of Herat (herat),32,3201,10005,10765,20770,,,,,,,,,
320113,Provincial Capital Of Herat (herat),32,3201,9119,10031,19150,,,,,,,,,
320114,Provincial Capital Of Herat (herat),32,3201,2343,1886,4229,,,,,,,,,
320115,Provincial Capital Of Herat (herat),32,3201,2241,1032,3273,,,,,,,,,
35999,Kuchi,35,,,,170071,,,,,,,,,
36999,Sikh,36,,,,1105,,,,,,,,,
