ProvinceID,DistrictID,PollingCenterID,Center Name,Center Name,Hindu/Sikh,Nomad,Women,Men,Total
28,2801,2801024,لیسه افغان تپه,Afghan Tepah High School,0,1,856,861,1718
28,2801,2801025,مسجد منگوت افغانیه,Mangotai Afghania High School,0,0,260,288,548
28,2801,2801026,لیسه آلت خواجه,Alti Khwajah High School,0,1,1129,873,2003
28,2801,2801027,لیسه صوف قلعه,Soufi Qalla High School,0,1,370,274,645
28,2801,2801028,مکتب متوسطه چهار شنبه,Chahar Shanbah Secondary School,0,0,916,449,1365
28,2801,2801029,مکتب متوسطه جلال آباد,Jalalabad Secondary School,0,2,1298,987,2287
28,2801,2801030,لیسه مصرآباد,Mesar Abad High School,0,0,1429,815,2244
28,2801,2801031,لیسه ینگ اری غ,Yangi Areegh High School,0,0,1210,877,2087
28,2802,2802032,مکتب متوسطه طاغن,Taghun Secondary School,0,36,794,913,1743
28,2802,2802033,لیسه چوب باش,Chob Bash High School,0,4,2130,1547,3681
28,2802,2802034,مبل حاج صالح,Haji Saleh House,0,0,256,304,560
28,2802,2802035,لیسه ذکور خواجه دوکوه,Khwajah Du Koh Boys High School,0,0,2847,1779,4626
28,2802,2802037,لیسه قزل ایاق,Qazal Ayaq High School,0,0,916,643,1559
28,2803,2803039,مکتب متوسطه الیک رباط,Aleek Rubat Secondary School,0,0,390,275,665
28,2803,2803044,لیسه ذکور علیلی,Alilil Boys High School,0,2,1097,812,1911
28,2804,2804050,لیسه چارچنغو,Charchanghu High School,0,0,118,406,524
28,2804,2804051,مکتب منگجیک,Mangeejak School,0,0,36,254,290
28,2805,2805062,مکتب ترکمن قدوق,Turkman Qaduq School,0,7,462,473,942
28,2805,2805065,مکتب جرقدوق,Jarqadooq School,0,1,437,559,997
28,2805,2805066,مکتب متوسطه نو آباد,Nawabad Secondary School,0,0,329,226,555
28,2806,2806070,مکتب سید اسماعیل,Sayed Ismael School,0,0,11,36,47
28,2806,2806071,مکتب خم آب,Khum Aab School,0,0,14,55,69
28,2807,2807072,مکتب ذکور نمب دوم,Boys School NO. 2,0,1,528,537,1066
28,2807,2807073,لیسه ذکور آقچه,Aqcha Boys High School,0,1,1035,1475,2511
28,2807,2807074,لیسه نسوان آقچه,Aqcha Girls High School,0,2,1022,1017,2041
28,2807,2807075,لیسه ذکور نمب اول,Boys High School no. 1,0,2,892,948,1842
28,2807,2807076,مکتب نسوان بت کوت اوزبیکیه,Bati Kot Uzbekyah Girls School,0,0,276,246,522
28,2807,2807077,مسجد ابوبکر صدیق,Abu Baker Sediq Mosque,0,0,1280,2576,3856
28,2807,2807085,مکتب قره بویی,Qara Boyeen School,0,0,10,82,92
28,2808,2808090,مکتب کوکلداش,Kokaldash School,0,0,278,660,938
28,2808,2808093,لیسه چارباغ,Char Bagh High School,0,0,0,1,1
28,2808,2808094,لیسه نسوان شهید لطیفه حبیت,Shaheed Latifa Habibi Girls High School,0,1,1072,1050,2123
28,2808,2808095,لیسه ذکور شیشه خانه,Shesha Khan Boys High School,0,0,275,518,793
28,2808,2808096,مکتب متوسطه ذکور گرجک,Gerjak Boys Secondary School,0,0,183,192,375
